Value,SIBERIA_2024_ESRI_Annual_LULC_2024_42WVU_M_R,SIBERIA_2024_GLC_FCS30D_2022_42WVU_M_R,SIBERIA_2024_GSW_Yearly_2021_42WVU_M_R,SIBERIA_2024_GWL_FCS30D_2022_42WVU_M_R,SIBERIA_2024_WorldCover_2021_42WVU_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,Non_Wetland,Water
7,NULL,NULL,NULL,Non_Wetland,Forest
8,NULL,NULL,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,Non_Water,Non_Wetland,Wetland
10,NULL,NULL,Non_Water,Non_Wetland,Forest
11,NULL,NULL,Water,Non_Wetland,Grassland
12,NULL,NULL,Water,Non_Wetland,Wetland
13,NULL,NULL,Water,Non_Wetland,Water
14,NULL,NULL,Water,Non_Wetland,Forest
15,NULL,Shrubland,NULL,Non_Wetland,Grassland
16,NULL,Shrubland,NULL,Non_Wetland,Wetland
17,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
18,NULL,Shrubland,NULL,Non_Wetland,Bareland
19,NULL,Shrubland,NULL,Non_Wetland,Built-up
20,NULL,Shrubland,NULL,Non_Wetland,Water
21,NULL,Shrubland,NULL,Non_Wetland,Forest
22,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
23,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
24,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
25,NULL,Shrubland,Non_Water,Non_Wetland,Water
26,NULL,Shrubland,Non_Water,Non_Wetland,Forest
27,NULL,Shrubland,Water,Non_Wetland,Grassland
28,NULL,Shrubland,Water,Non_Wetland,Wetland
29,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
30,NULL,Shrubland,Water,Non_Wetland,Water
31,NULL,Shrubland,Water,Non_Wetland,Forest
32,NULL,Grassland,NULL,Non_Wetland,Grassland
33,NULL,Grassland,NULL,Non_Wetland,Wetland
34,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
35,NULL,Grassland,NULL,Non_Wetland,Bareland
36,NULL,Grassland,NULL,Non_Wetland,Built-up
37,NULL,Grassland,NULL,Non_Wetland,Water
38,NULL,Grassland,NULL,Non_Wetland,Forest
39,NULL,Grassland,Non_Water,Non_Wetland,Grassland
40,NULL,Grassland,Non_Water,Non_Wetland,Wetland
41,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
42,NULL,Grassland,Non_Water,Non_Wetland,Forest
43,NULL,Grassland,Water,Non_Wetland,Grassland
44,NULL,Grassland,Water,Non_Wetland,Wetland
45,NULL,Grassland,Water,Non_Wetland,Forest
46,NULL,Wetland,NULL,NULL,Grassland
47,NULL,Wetland,NULL,NULL,Lichens_and_Mosses
48,NULL,Wetland,NULL,NULL,Forest
49,NULL,Wetland,NULL,Wetland,NULL
50,NULL,Wetland,NULL,Wetland,Grassland
51,NULL,Wetland,NULL,Wetland,Wetland
52,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
53,NULL,Wetland,NULL,Wetland,Built-up
54,NULL,Wetland,NULL,Wetland,Water
55,NULL,Wetland,NULL,Wetland,Forest
56,NULL,Wetland,Non_Water,Wetland,NULL
57,NULL,Wetland,Non_Water,Wetland,Grassland
58,NULL,Wetland,Non_Water,Wetland,Wetland
59,NULL,Wetland,Non_Water,Wetland,Water
60,NULL,Wetland,Non_Water,Wetland,Forest
61,NULL,Wetland,Water,NULL,Grassland
62,NULL,Wetland,Water,Wetland,Grassland
63,NULL,Wetland,Water,Wetland,Wetland
64,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
65,NULL,Wetland,Water,Wetland,Water
66,NULL,Wetland,Water,Wetland,Forest
67,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
68,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
69,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
70,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
71,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
72,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
73,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
74,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
75,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
76,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
77,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
78,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
79,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
80,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
81,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
82,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
83,NULL,Lichens_and_Mosses,Water,Non_Wetland,Built-up
84,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
85,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
86,NULL,Bareland,NULL,Non_Wetland,NULL
87,NULL,Bareland,NULL,Non_Wetland,Grassland
88,NULL,Bareland,NULL,Non_Wetland,Wetland
89,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
90,NULL,Bareland,NULL,Non_Wetland,Bareland
91,NULL,Bareland,NULL,Non_Wetland,Built-up
92,NULL,Bareland,NULL,Non_Wetland,Water
93,NULL,Bareland,NULL,Non_Wetland,Forest
94,NULL,Bareland,Non_Water,Non_Wetland,Grassland
95,NULL,Bareland,Non_Water,Non_Wetland,Wetland
96,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
97,NULL,Bareland,Non_Water,Non_Wetland,Bareland
98,NULL,Bareland,Non_Water,Non_Wetland,Built-up
99,NULL,Bareland,Non_Water,Non_Wetland,Water
100,NULL,Bareland,Non_Water,Non_Wetland,Forest
101,NULL,Bareland,Water,Non_Wetland,Grassland
102,NULL,Bareland,Water,Non_Wetland,Wetland
103,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
104,NULL,Bareland,Water,Non_Wetland,Bareland
105,NULL,Bareland,Water,Non_Wetland,Built-up
106,NULL,Bareland,Water,Non_Wetland,Water
107,NULL,Bareland,Water,Non_Wetland,Forest
108,NULL,Built-up,NULL,Non_Wetland,Grassland
109,NULL,Built-up,NULL,Non_Wetland,Wetland
110,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
111,NULL,Built-up,NULL,Non_Wetland,Bareland
112,NULL,Built-up,NULL,Non_Wetland,Built-up
113,NULL,Built-up,NULL,Non_Wetland,Forest
114,NULL,Built-up,Water,Non_Wetland,Built-up
115,NULL,Built-up,Water,Non_Wetland,Forest
116,NULL,Water,NULL,Water,Grassland
117,NULL,Water,NULL,Water,Wetland
118,NULL,Water,NULL,Water,Lichens_and_Mosses
119,NULL,Water,NULL,Water,Water
120,NULL,Water,NULL,Water,Forest
121,NULL,Water,Non_Water,Water,Grassland
122,NULL,Water,Non_Water,Water,Wetland
123,NULL,Water,Non_Water,Water,Lichens_and_Mosses
124,NULL,Water,Non_Water,Water,Water
125,NULL,Water,Non_Water,Water,Forest
126,NULL,Water,Water,Water,Grassland
127,NULL,Water,Water,Water,Wetland
128,NULL,Water,Water,Water,Water
129,NULL,Water,Water,Water,Forest
130,NULL,Forest,NULL,Non_Wetland,NULL
131,NULL,Forest,NULL,Non_Wetland,Grassland
132,NULL,Forest,NULL,Non_Wetland,Wetland
133,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
134,NULL,Forest,NULL,Non_Wetland,Bareland
135,NULL,Forest,NULL,Non_Wetland,Built-up
136,NULL,Forest,NULL,Non_Wetland,Water
137,NULL,Forest,NULL,Non_Wetland,Forest
138,NULL,Forest,Non_Water,Non_Wetland,NULL
139,NULL,Forest,Non_Water,Non_Wetland,Grassland
140,NULL,Forest,Non_Water,Non_Wetland,Wetland
141,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
142,NULL,Forest,Non_Water,Non_Wetland,Water
143,NULL,Forest,Non_Water,Non_Wetland,Forest
144,NULL,Forest,Water,Non_Wetland,Grassland
145,NULL,Forest,Water,Non_Wetland,Wetland
146,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
147,NULL,Forest,Water,Non_Wetland,Built-up
148,NULL,Forest,Water,Non_Wetland,Water
149,NULL,Forest,Water,Non_Wetland,Forest
150,Cropland,NULL,NULL,Non_Wetland,Grassland
151,Cropland,NULL,NULL,Non_Wetland,Wetland
152,Cropland,NULL,NULL,Non_Wetland,Forest
153,Cropland,Shrubland,NULL,Non_Wetland,Grassland
154,Cropland,Shrubland,NULL,Non_Wetland,Wetland
155,Cropland,Shrubland,NULL,Non_Wetland,Forest
156,Cropland,Grassland,NULL,Non_Wetland,Grassland
157,Cropland,Grassland,NULL,Non_Wetland,Wetland
158,Cropland,Wetland,NULL,Wetland,NULL
159,Cropland,Wetland,NULL,Wetland,Grassland
160,Cropland,Wetland,NULL,Wetland,Wetland
161,Cropland,Wetland,NULL,Wetland,Forest
162,Cropland,Wetland,Non_Water,Wetland,Grassland
163,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
164,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
165,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
166,Cropland,Bareland,NULL,Non_Wetland,Grassland
167,Cropland,Bareland,NULL,Non_Wetland,Wetland
168,Cropland,Bareland,NULL,Non_Wetland,Forest
169,Cropland,Water,NULL,Water,Grassland
170,Cropland,Forest,NULL,Non_Wetland,Grassland
171,Cropland,Forest,NULL,Non_Wetland,Wetland
172,Cropland,Forest,NULL,Non_Wetland,Forest
173,Wetland,NULL,NULL,Non_Wetland,NULL
174,Wetland,NULL,NULL,Non_Wetland,Grassland
175,Wetland,NULL,NULL,Non_Wetland,Wetland
176,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
177,Wetland,NULL,NULL,Non_Wetland,Bareland
178,Wetland,NULL,NULL,Non_Wetland,Built-up
179,Wetland,NULL,NULL,Non_Wetland,Water
180,Wetland,NULL,NULL,Non_Wetland,Forest
181,Wetland,NULL,Non_Water,Non_Wetland,Grassland
182,Wetland,NULL,Non_Water,Non_Wetland,Wetland
183,Wetland,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
184,Wetland,NULL,Non_Water,Non_Wetland,Water
185,Wetland,NULL,Non_Water,Non_Wetland,Forest
186,Wetland,NULL,Water,Non_Wetland,Grassland
187,Wetland,NULL,Water,Non_Wetland,Wetland
188,Wetland,NULL,Water,Non_Wetland,Water
189,Wetland,NULL,Water,Non_Wetland,Forest
190,Wetland,Shrubland,NULL,Non_Wetland,NULL
191,Wetland,Shrubland,NULL,Non_Wetland,Grassland
192,Wetland,Shrubland,NULL,Non_Wetland,Wetland
193,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
194,Wetland,Shrubland,NULL,Non_Wetland,Bareland
195,Wetland,Shrubland,NULL,Non_Wetland,Built-up
196,Wetland,Shrubland,NULL,Non_Wetland,Water
197,Wetland,Shrubland,NULL,Non_Wetland,Forest
198,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
199,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
200,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
201,Wetland,Shrubland,Non_Water,Non_Wetland,Water
202,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
203,Wetland,Shrubland,Water,Non_Wetland,Grassland
204,Wetland,Shrubland,Water,Non_Wetland,Wetland
205,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
206,Wetland,Shrubland,Water,Non_Wetland,Bareland
207,Wetland,Shrubland,Water,Non_Wetland,Water
208,Wetland,Shrubland,Water,Non_Wetland,Forest
209,Wetland,Grassland,NULL,Non_Wetland,Grassland
210,Wetland,Grassland,NULL,Non_Wetland,Wetland
211,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
212,Wetland,Grassland,NULL,Non_Wetland,Bareland
213,Wetland,Grassland,NULL,Non_Wetland,Built-up
214,Wetland,Grassland,NULL,Non_Wetland,Water
215,Wetland,Grassland,NULL,Non_Wetland,Forest
216,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
217,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
218,Wetland,Grassland,Non_Water,Non_Wetland,Water
219,Wetland,Grassland,Non_Water,Non_Wetland,Forest
220,Wetland,Grassland,Water,Non_Wetland,Grassland
221,Wetland,Grassland,Water,Non_Wetland,Wetland
222,Wetland,Grassland,Water,Non_Wetland,Bareland
223,Wetland,Grassland,Water,Non_Wetland,Water
224,Wetland,Grassland,Water,Non_Wetland,Forest
225,Wetland,Wetland,NULL,NULL,Grassland
226,Wetland,Wetland,NULL,NULL,Wetland
227,Wetland,Wetland,NULL,NULL,Water
228,Wetland,Wetland,NULL,NULL,Forest
229,Wetland,Wetland,NULL,Wetland,NULL
230,Wetland,Wetland,NULL,Wetland,Grassland
231,Wetland,Wetland,NULL,Wetland,Wetland
232,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
233,Wetland,Wetland,NULL,Wetland,Bareland
234,Wetland,Wetland,NULL,Wetland,Built-up
235,Wetland,Wetland,NULL,Wetland,Water
236,Wetland,Wetland,NULL,Wetland,Forest
237,Wetland,Wetland,Non_Water,NULL,Wetland
238,Wetland,Wetland,Non_Water,NULL,Water
239,Wetland,Wetland,Non_Water,Wetland,NULL
240,Wetland,Wetland,Non_Water,Wetland,Grassland
241,Wetland,Wetland,Non_Water,Wetland,Wetland
242,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
243,Wetland,Wetland,Non_Water,Wetland,Water
244,Wetland,Wetland,Non_Water,Wetland,Forest
245,Wetland,Wetland,Water,NULL,Grassland
246,Wetland,Wetland,Water,NULL,Wetland
247,Wetland,Wetland,Water,NULL,Water
248,Wetland,Wetland,Water,NULL,Forest
249,Wetland,Wetland,Water,Wetland,NULL
250,Wetland,Wetland,Water,Wetland,Grassland
251,Wetland,Wetland,Water,Wetland,Wetland
252,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
253,Wetland,Wetland,Water,Wetland,Bareland
254,Wetland,Wetland,Water,Wetland,Water
255,Wetland,Wetland,Water,Wetland,Forest
256,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
257,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
258,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
259,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
