Value,SIBERIA_2024_ESA_CALU_2024_42WVB_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_42WVB_M_R,SIBERIA_2024_GLC_FCS30D_2022_42WVB_M_R,SIBERIA_2024_GSW_Yearly_2021_42WVB_M_R,SIBERIA_2024_GWL_FCS30D_2022_42WVB_M_R,SIBERIA_2024_WorldCover_2021_42WVB_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
2,NULL,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Water
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Water
10,NULL,NULL,NULL,Water,Non_Wetland,Grassland
11,NULL,NULL,NULL,Water,Non_Wetland,Wetland
12,NULL,NULL,NULL,Water,Non_Wetland,Lichens_and_Mosses
13,NULL,NULL,NULL,Water,Non_Wetland,Bareland
14,NULL,NULL,NULL,Water,Non_Wetland,Water
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
23,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
24,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
25,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
26,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
27,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
28,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
29,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
30,NULL,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
31,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
32,NULL,NULL,Shrubland,Water,Non_Wetland,Water
33,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
34,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
35,NULL,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
36,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
37,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
38,NULL,NULL,Grassland,NULL,Non_Wetland,Water
39,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
41,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
42,NULL,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
43,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
44,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
45,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
46,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
47,NULL,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
48,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
49,NULL,NULL,Grassland,Water,Non_Wetland,Water
50,NULL,NULL,Wetland,NULL,NULL,Grassland
51,NULL,NULL,Wetland,NULL,NULL,Wetland
52,NULL,NULL,Wetland,NULL,NULL,Bareland
53,NULL,NULL,Wetland,NULL,NULL,Water
54,NULL,NULL,Wetland,NULL,Wetland,Grassland
55,NULL,NULL,Wetland,NULL,Wetland,Wetland
56,NULL,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
57,NULL,NULL,Wetland,NULL,Wetland,Bareland
58,NULL,NULL,Wetland,NULL,Wetland,Water
59,NULL,NULL,Wetland,NULL,Wetland,Permanent_ice_and_snow
60,NULL,NULL,Wetland,NULL,Wetland,Forest
61,NULL,NULL,Wetland,Non_Water,NULL,Wetland
62,NULL,NULL,Wetland,Non_Water,NULL,Bareland
63,NULL,NULL,Wetland,Non_Water,NULL,Water
64,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
65,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
66,NULL,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
67,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
68,NULL,NULL,Wetland,Non_Water,Wetland,Water
69,NULL,NULL,Wetland,Water,NULL,Wetland
70,NULL,NULL,Wetland,Water,NULL,Lichens_and_Mosses
71,NULL,NULL,Wetland,Water,NULL,Bareland
72,NULL,NULL,Wetland,Water,NULL,Water
73,NULL,NULL,Wetland,Water,Wetland,Grassland
74,NULL,NULL,Wetland,Water,Wetland,Wetland
75,NULL,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
76,NULL,NULL,Wetland,Water,Wetland,Bareland
77,NULL,NULL,Wetland,Water,Wetland,Built-up
78,NULL,NULL,Wetland,Water,Wetland,Water
79,NULL,NULL,Wetland,Water,Wetland,Permanent_ice_and_snow
80,NULL,NULL,Wetland,Water,Wetland,Forest
81,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
82,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
83,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
84,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
85,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
86,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
87,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
88,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
89,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
90,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
91,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
92,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Built-up
93,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
94,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
95,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
96,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
97,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
98,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
99,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
100,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
101,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
102,NULL,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
103,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
104,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
105,NULL,NULL,Bareland,NULL,Non_Wetland,Water
106,NULL,NULL,Bareland,NULL,Non_Wetland,Permanent_ice_and_snow
107,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
