Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44VML_M_R,SIBERIA_2024_GLC_FCS30D_2022_44VML_M_R,SIBERIA_2024_GSW_Yearly_2021_44VML_M_R,SIBERIA_2024_GWL_FCS30D_2022_44VML_M_R,SIBERIA_2024_WorldCover_2021_44VML_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,Non_Water,Non_Wetland,NULL
7,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,Non_Water,Non_Wetland,Wetland
9,NULL,NULL,Non_Water,Non_Wetland,Forest
10,NULL,NULL,Water,Non_Wetland,NULL
11,NULL,NULL,Water,Non_Wetland,Grassland
12,NULL,NULL,Water,Non_Wetland,Wetland
13,NULL,NULL,Water,Non_Wetland,Forest
14,NULL,Shrubland,NULL,Non_Wetland,NULL
15,NULL,Shrubland,NULL,Non_Wetland,Grassland
16,NULL,Shrubland,NULL,Non_Wetland,Wetland
17,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
18,NULL,Shrubland,NULL,Non_Wetland,Built-up
19,NULL,Shrubland,NULL,Non_Wetland,Forest
20,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
21,NULL,Shrubland,Non_Water,Non_Wetland,Forest
22,NULL,Shrubland,Water,Non_Wetland,Grassland
23,NULL,Shrubland,Water,Non_Wetland,Wetland
24,NULL,Shrubland,Water,Non_Wetland,Forest
25,NULL,Grassland,NULL,Non_Wetland,Grassland
26,NULL,Grassland,NULL,Non_Wetland,Wetland
27,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
28,NULL,Grassland,NULL,Non_Wetland,Bareland
29,NULL,Grassland,NULL,Non_Wetland,Forest
30,NULL,Grassland,Non_Water,Non_Wetland,Grassland
31,NULL,Grassland,Non_Water,Non_Wetland,Wetland
32,NULL,Grassland,Water,Non_Wetland,Grassland
33,NULL,Grassland,Water,Non_Wetland,Wetland
34,NULL,Grassland,Water,Non_Wetland,Bareland
35,NULL,Grassland,Water,Non_Wetland,Forest
36,NULL,Cropland,NULL,Non_Wetland,NULL
37,NULL,Cropland,NULL,Non_Wetland,Grassland
38,NULL,Cropland,NULL,Non_Wetland,Cropland
39,NULL,Cropland,NULL,Non_Wetland,Wetland
40,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
41,NULL,Cropland,NULL,Non_Wetland,Bareland
42,NULL,Cropland,NULL,Non_Wetland,Built-up
43,NULL,Cropland,NULL,Non_Wetland,Forest
44,NULL,Cropland,Non_Water,Non_Wetland,Grassland
45,NULL,Cropland,Non_Water,Non_Wetland,Wetland
46,NULL,Cropland,Non_Water,Non_Wetland,Forest
47,NULL,Cropland,Water,Non_Wetland,Grassland
48,NULL,Cropland,Water,Non_Wetland,Wetland
49,NULL,Cropland,Water,Non_Wetland,Lichens_and_Mosses
50,NULL,Cropland,Water,Non_Wetland,Water
51,NULL,Cropland,Water,Non_Wetland,Forest
52,NULL,Wetland,NULL,Wetland,NULL
53,NULL,Wetland,NULL,Wetland,Grassland
54,NULL,Wetland,NULL,Wetland,Cropland
55,NULL,Wetland,NULL,Wetland,Wetland
56,NULL,Wetland,NULL,Wetland,Built-up
57,NULL,Wetland,NULL,Wetland,Water
58,NULL,Wetland,NULL,Wetland,Forest
59,NULL,Wetland,Non_Water,Wetland,NULL
60,NULL,Wetland,Non_Water,Wetland,Grassland
61,NULL,Wetland,Non_Water,Wetland,Wetland
62,NULL,Wetland,Non_Water,Wetland,Water
63,NULL,Wetland,Non_Water,Wetland,Forest
64,NULL,Wetland,Water,Wetland,NULL
65,NULL,Wetland,Water,Wetland,Grassland
66,NULL,Wetland,Water,Wetland,Wetland
67,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
68,NULL,Wetland,Water,Wetland,Water
69,NULL,Wetland,Water,Wetland,Forest
70,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
71,NULL,Bareland,NULL,Non_Wetland,NULL
72,NULL,Bareland,NULL,Non_Wetland,Grassland
73,NULL,Bareland,NULL,Non_Wetland,Cropland
74,NULL,Bareland,NULL,Non_Wetland,Wetland
75,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
76,NULL,Bareland,NULL,Non_Wetland,Bareland
77,NULL,Bareland,NULL,Non_Wetland,Built-up
78,NULL,Bareland,NULL,Non_Wetland,Forest
79,NULL,Bareland,Non_Water,Non_Wetland,Grassland
80,NULL,Bareland,Non_Water,Non_Wetland,Wetland
81,NULL,Bareland,Non_Water,Non_Wetland,Forest
82,NULL,Bareland,Water,Non_Wetland,Grassland
83,NULL,Bareland,Water,Non_Wetland,Wetland
84,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
85,NULL,Bareland,Water,Non_Wetland,Bareland
86,NULL,Bareland,Water,Non_Wetland,Water
87,NULL,Bareland,Water,Non_Wetland,Forest
88,NULL,Built-up,NULL,Non_Wetland,NULL
89,NULL,Built-up,NULL,Non_Wetland,Grassland
90,NULL,Built-up,NULL,Non_Wetland,Wetland
91,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
92,NULL,Built-up,NULL,Non_Wetland,Bareland
93,NULL,Built-up,NULL,Non_Wetland,Built-up
94,NULL,Built-up,NULL,Non_Wetland,Forest
95,NULL,Built-up,Non_Water,Non_Wetland,Grassland
96,NULL,Built-up,Non_Water,Non_Wetland,Wetland
97,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
98,NULL,Built-up,Non_Water,Non_Wetland,Bareland
99,NULL,Built-up,Non_Water,Non_Wetland,Built-up
100,NULL,Built-up,Non_Water,Non_Wetland,Forest
101,NULL,Built-up,Water,Non_Wetland,Grassland
102,NULL,Built-up,Water,Non_Wetland,Wetland
103,NULL,Built-up,Water,Non_Wetland,Bareland
104,NULL,Built-up,Water,Non_Wetland,Water
105,NULL,Built-up,Water,Non_Wetland,Forest
106,NULL,Water,NULL,Water,NULL
107,NULL,Water,NULL,Water,Grassland
108,NULL,Water,NULL,Water,Wetland
109,NULL,Water,NULL,Water,Forest
110,NULL,Water,Non_Water,Water,Wetland
111,NULL,Water,Non_Water,Water,Forest
112,NULL,Water,Water,Water,NULL
113,NULL,Water,Water,Water,Grassland
114,NULL,Water,Water,Water,Wetland
115,NULL,Water,Water,Water,Water
116,NULL,Water,Water,Water,Forest
117,NULL,Forest,NULL,Non_Wetland,NULL
118,NULL,Forest,NULL,Non_Wetland,Grassland
119,NULL,Forest,NULL,Non_Wetland,Cropland
120,NULL,Forest,NULL,Non_Wetland,Wetland
121,NULL,Forest,NULL,Non_Wetland,Bareland
122,NULL,Forest,NULL,Non_Wetland,Built-up
123,NULL,Forest,NULL,Non_Wetland,Forest
124,NULL,Forest,Non_Water,Non_Wetland,NULL
125,NULL,Forest,Non_Water,Non_Wetland,Grassland
126,NULL,Forest,Non_Water,Non_Wetland,Wetland
127,NULL,Forest,Non_Water,Non_Wetland,Forest
128,NULL,Forest,Water,Non_Wetland,NULL
129,NULL,Forest,Water,Non_Wetland,Grassland
130,NULL,Forest,Water,Non_Wetland,Wetland
131,NULL,Forest,Water,Non_Wetland,Water
132,NULL,Forest,Water,Non_Wetland,Forest
133,Cropland,NULL,NULL,Non_Wetland,Grassland
134,Cropland,NULL,NULL,Non_Wetland,Wetland
135,Cropland,NULL,NULL,Non_Wetland,Forest
136,Cropland,Grassland,NULL,Non_Wetland,Grassland
137,Cropland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
138,Cropland,Cropland,NULL,Non_Wetland,Grassland
139,Cropland,Cropland,NULL,Non_Wetland,Wetland
140,Cropland,Cropland,NULL,Non_Wetland,Bareland
141,Cropland,Cropland,NULL,Non_Wetland,Forest
142,Cropland,Wetland,NULL,Wetland,NULL
143,Cropland,Wetland,NULL,Wetland,Grassland
144,Cropland,Wetland,NULL,Wetland,Wetland
145,Cropland,Wetland,NULL,Wetland,Forest
146,Cropland,Bareland,NULL,Non_Wetland,Grassland
147,Cropland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
148,Cropland,Forest,NULL,Non_Wetland,NULL
149,Cropland,Forest,NULL,Non_Wetland,Grassland
150,Cropland,Forest,NULL,Non_Wetland,Wetland
151,Cropland,Forest,NULL,Non_Wetland,Forest
152,Wetland,NULL,NULL,Non_Wetland,NULL
153,Wetland,NULL,NULL,Non_Wetland,Grassland
154,Wetland,NULL,NULL,Non_Wetland,Wetland
155,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
156,Wetland,NULL,NULL,Non_Wetland,Water
157,Wetland,NULL,NULL,Non_Wetland,Forest
158,Wetland,NULL,Non_Water,Non_Wetland,Grassland
159,Wetland,NULL,Non_Water,Non_Wetland,Wetland
160,Wetland,NULL,Non_Water,Non_Wetland,Water
161,Wetland,NULL,Non_Water,Non_Wetland,Forest
162,Wetland,NULL,Water,Non_Wetland,Grassland
163,Wetland,NULL,Water,Non_Wetland,Wetland
164,Wetland,NULL,Water,Non_Wetland,Water
165,Wetland,NULL,Water,Non_Wetland,Forest
166,Wetland,Shrubland,NULL,Non_Wetland,Grassland
167,Wetland,Shrubland,NULL,Non_Wetland,Wetland
168,Wetland,Shrubland,NULL,Non_Wetland,Water
169,Wetland,Shrubland,NULL,Non_Wetland,Forest
170,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
171,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
172,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
173,Wetland,Shrubland,Water,Non_Wetland,Grassland
174,Wetland,Shrubland,Water,Non_Wetland,Wetland
175,Wetland,Shrubland,Water,Non_Wetland,Water
176,Wetland,Shrubland,Water,Non_Wetland,Forest
177,Wetland,Grassland,NULL,Non_Wetland,Grassland
178,Wetland,Grassland,NULL,Non_Wetland,Wetland
179,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
180,Wetland,Grassland,NULL,Non_Wetland,Bareland
181,Wetland,Grassland,NULL,Non_Wetland,Water
182,Wetland,Grassland,NULL,Non_Wetland,Forest
183,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
184,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
185,Wetland,Grassland,Non_Water,Non_Wetland,Forest
186,Wetland,Grassland,Water,Non_Wetland,NULL
187,Wetland,Grassland,Water,Non_Wetland,Grassland
188,Wetland,Grassland,Water,Non_Wetland,Wetland
189,Wetland,Grassland,Water,Non_Wetland,Water
190,Wetland,Grassland,Water,Non_Wetland,Forest
191,Wetland,Cropland,NULL,Non_Wetland,Grassland
192,Wetland,Cropland,NULL,Non_Wetland,Wetland
193,Wetland,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
194,Wetland,Cropland,NULL,Non_Wetland,Bareland
195,Wetland,Cropland,NULL,Non_Wetland,Water
196,Wetland,Cropland,NULL,Non_Wetland,Forest
197,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
198,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
199,Wetland,Cropland,Non_Water,Non_Wetland,Lichens_and_Mosses
200,Wetland,Cropland,Non_Water,Non_Wetland,Water
201,Wetland,Cropland,Non_Water,Non_Wetland,Forest
202,Wetland,Cropland,Water,Non_Wetland,Grassland
203,Wetland,Cropland,Water,Non_Wetland,Wetland
204,Wetland,Cropland,Water,Non_Wetland,Lichens_and_Mosses
205,Wetland,Cropland,Water,Non_Wetland,Bareland
206,Wetland,Cropland,Water,Non_Wetland,Water
207,Wetland,Cropland,Water,Non_Wetland,Forest
208,Wetland,Wetland,NULL,Wetland,NULL
209,Wetland,Wetland,NULL,Wetland,Grassland
210,Wetland,Wetland,NULL,Wetland,Cropland
211,Wetland,Wetland,NULL,Wetland,Wetland
212,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
213,Wetland,Wetland,NULL,Wetland,Water
214,Wetland,Wetland,NULL,Wetland,Forest
215,Wetland,Wetland,Non_Water,Wetland,NULL
216,Wetland,Wetland,Non_Water,Wetland,Grassland
217,Wetland,Wetland,Non_Water,Wetland,Wetland
218,Wetland,Wetland,Non_Water,Wetland,Water
219,Wetland,Wetland,Non_Water,Wetland,Forest
220,Wetland,Wetland,Water,Wetland,NULL
221,Wetland,Wetland,Water,Wetland,Grassland
222,Wetland,Wetland,Water,Wetland,Wetland
223,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
224,Wetland,Wetland,Water,Wetland,Bareland
225,Wetland,Wetland,Water,Wetland,Water
226,Wetland,Wetland,Water,Wetland,Forest
227,Wetland,Bareland,NULL,Non_Wetland,NULL
228,Wetland,Bareland,NULL,Non_Wetland,Grassland
229,Wetland,Bareland,NULL,Non_Wetland,Wetland
230,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
231,Wetland,Bareland,NULL,Non_Wetland,Bareland
232,Wetland,Bareland,NULL,Non_Wetland,Water
233,Wetland,Bareland,NULL,Non_Wetland,Forest
234,Wetland,Bareland,Non_Water,Non_Wetland,NULL
235,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
236,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
237,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
238,Wetland,Bareland,Non_Water,Non_Wetland,Water
239,Wetland,Bareland,Non_Water,Non_Wetland,Forest
240,Wetland,Bareland,Water,Non_Wetland,NULL
241,Wetland,Bareland,Water,Non_Wetland,Grassland
242,Wetland,Bareland,Water,Non_Wetland,Wetland
243,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
244,Wetland,Bareland,Water,Non_Wetland,Water
245,Wetland,Bareland,Water,Non_Wetland,Forest
246,Wetland,Built-up,NULL,Non_Wetland,Grassland
247,Wetland,Built-up,NULL,Non_Wetland,Wetland
248,Wetland,Built-up,NULL,Non_Wetland,Bareland
249,Wetland,Built-up,NULL,Non_Wetland,Forest
250,Wetland,Built-up,Non_Water,Non_Wetland,NULL
251,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
252,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
253,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
254,Wetland,Built-up,Non_Water,Non_Wetland,Forest
255,Wetland,Built-up,Water,Non_Wetland,NULL
256,Wetland,Built-up,Water,Non_Wetland,Grassland
257,Wetland,Built-up,Water,Non_Wetland,Wetland
258,Wetland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
259,Wetland,Built-up,Water,Non_Wetland,Bareland
260,Wetland,Built-up,Water,Non_Wetland,Water
261,Wetland,Built-up,Water,Non_Wetland,Forest
262,Wetland,Water,NULL,Water,NULL
263,Wetland,Water,NULL,Water,Grassland
264,Wetland,Water,NULL,Water,Wetland
265,Wetland,Water,NULL,Water,Water
266,Wetland,Water,NULL,Water,Forest
