Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44WMV_M_R,SIBERIA_2024_GLC_FCS30D_2022_44WMV_M_R,SIBERIA_2024_GSW_Yearly_2021_44WMV_M_R,SIBERIA_2024_GWL_FCS30D_2022_44WMV_M_R,SIBERIA_2024_WorldCover_2021_44WMV_M_R
170,Wetland,NULL,Non_Water,Non_Wetland,Grassland
171,Wetland,NULL,Non_Water,Non_Wetland,Wetland
172,Wetland,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
173,Wetland,NULL,Non_Water,Non_Wetland,Bareland
174,Wetland,NULL,Non_Water,Non_Wetland,Water
175,Wetland,NULL,Non_Water,Non_Wetland,Forest
176,Wetland,NULL,Water,Non_Wetland,NULL
177,Wetland,NULL,Water,Non_Wetland,Grassland
178,Wetland,NULL,Water,Non_Wetland,Wetland
179,Wetland,NULL,Water,Non_Wetland,Lichens_and_Mosses
180,Wetland,NULL,Water,Non_Wetland,Bareland
181,Wetland,NULL,Water,Non_Wetland,Water
182,Wetland,NULL,Water,Non_Wetland,Forest
183,Wetland,Shrubland,NULL,Non_Wetland,Grassland
184,Wetland,Shrubland,NULL,Non_Wetland,Wetland
185,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
186,Wetland,Shrubland,NULL,Non_Wetland,Bareland
187,Wetland,Shrubland,NULL,Non_Wetland,Water
188,Wetland,Shrubland,NULL,Non_Wetland,Forest
189,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
190,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
191,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
192,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
193,Wetland,Shrubland,Non_Water,Non_Wetland,Water
194,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
195,Wetland,Shrubland,Water,Non_Wetland,Grassland
196,Wetland,Shrubland,Water,Non_Wetland,Wetland
197,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
198,Wetland,Shrubland,Water,Non_Wetland,Bareland
199,Wetland,Shrubland,Water,Non_Wetland,Water
200,Wetland,Shrubland,Water,Non_Wetland,Forest
201,Wetland,Grassland,NULL,Non_Wetland,Grassland
202,Wetland,Grassland,NULL,Non_Wetland,Wetland
203,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
204,Wetland,Grassland,NULL,Non_Wetland,Bareland
205,Wetland,Grassland,NULL,Non_Wetland,Built-up
206,Wetland,Grassland,NULL,Non_Wetland,Water
207,Wetland,Grassland,NULL,Non_Wetland,Forest
208,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
209,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
210,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
211,Wetland,Grassland,Non_Water,Non_Wetland,Bareland
212,Wetland,Grassland,Non_Water,Non_Wetland,Water
213,Wetland,Grassland,Non_Water,Non_Wetland,Forest
214,Wetland,Grassland,Water,Non_Wetland,Grassland
215,Wetland,Grassland,Water,Non_Wetland,Wetland
216,Wetland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
217,Wetland,Grassland,Water,Non_Wetland,Bareland
218,Wetland,Grassland,Water,Non_Wetland,Water
219,Wetland,Grassland,Water,Non_Wetland,Forest
220,Wetland,Wetland,NULL,Wetland,NULL
221,Wetland,Wetland,NULL,Wetland,Grassland
222,Wetland,Wetland,NULL,Wetland,Wetland
223,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
224,Wetland,Wetland,NULL,Wetland,Bareland
225,Wetland,Wetland,NULL,Wetland,Water
226,Wetland,Wetland,NULL,Wetland,Forest
227,Wetland,Wetland,Non_Water,NULL,Wetland
228,Wetland,Wetland,Non_Water,Wetland,Grassland
229,Wetland,Wetland,Non_Water,Wetland,Wetland
230,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
231,Wetland,Wetland,Non_Water,Wetland,Bareland
232,Wetland,Wetland,Non_Water,Wetland,Water
233,Wetland,Wetland,Non_Water,Wetland,Permanent_ice_and_snow
234,Wetland,Wetland,Non_Water,Wetland,Forest
235,Wetland,Wetland,Water,NULL,Wetland
236,Wetland,Wetland,Water,NULL,Water
237,Wetland,Wetland,Water,Wetland,Grassland
238,Wetland,Wetland,Water,Wetland,Wetland
239,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
240,Wetland,Wetland,Water,Wetland,Bareland
241,Wetland,Wetland,Water,Wetland,Water
242,Wetland,Wetland,Water,Wetland,Forest
243,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
244,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
245,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
246,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
247,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
248,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
249,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
250,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
251,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
252,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
253,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
254,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
255,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
256,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
257,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
258,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
259,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
260,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
261,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
262,Wetland,Bareland,NULL,Non_Wetland,Grassland
263,Wetland,Bareland,NULL,Non_Wetland,Wetland
264,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
265,Wetland,Bareland,NULL,Non_Wetland,Bareland
266,Wetland,Bareland,NULL,Non_Wetland,Built-up
267,Wetland,Bareland,NULL,Non_Wetland,Water
268,Wetland,Bareland,NULL,Non_Wetland,Forest
269,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
270,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
271,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
272,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
273,Wetland,Bareland,Non_Water,Non_Wetland,Water
274,Wetland,Bareland,Non_Water,Non_Wetland,Forest
275,Wetland,Bareland,Water,Non_Wetland,NULL
276,Wetland,Bareland,Water,Non_Wetland,Grassland
277,Wetland,Bareland,Water,Non_Wetland,Wetland
278,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
279,Wetland,Bareland,Water,Non_Wetland,Bareland
280,Wetland,Bareland,Water,Non_Wetland,Built-up
281,Wetland,Bareland,Water,Non_Wetland,Water
282,Wetland,Bareland,Water,Non_Wetland,Forest
283,Wetland,Built-up,NULL,Non_Wetland,Grassland
284,Wetland,Built-up,NULL,Non_Wetland,Wetland
285,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
286,Wetland,Built-up,NULL,Non_Wetland,Bareland
287,Wetland,Built-up,NULL,Non_Wetland,Built-up
288,Wetland,Built-up,NULL,Non_Wetland,Water
289,Wetland,Built-up,NULL,Non_Wetland,Permanent_ice_and_snow
290,Wetland,Built-up,NULL,Non_Wetland,Forest
291,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
292,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
293,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
294,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
295,Wetland,Built-up,Non_Water,Non_Wetland,Water
296,Wetland,Built-up,Non_Water,Non_Wetland,Forest
297,Wetland,Built-up,Water,Non_Wetland,Grassland
298,Wetland,Built-up,Water,Non_Wetland,Wetland
299,Wetland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
300,Wetland,Built-up,Water,Non_Wetland,Bareland
301,Wetland,Built-up,Water,Non_Wetland,Built-up
302,Wetland,Built-up,Water,Non_Wetland,Water
303,Wetland,Built-up,Water,Non_Wetland,Forest
304,Wetland,Water,NULL,NULL,Wetland
305,Wetland,Water,NULL,NULL,Water
306,Wetland,Water,NULL,Water,NULL
307,Wetland,Water,NULL,Water,Grassland
308,Wetland,Water,NULL,Water,Wetland
309,Wetland,Water,NULL,Water,Lichens_and_Mosses
310,Wetland,Water,NULL,Water,Bareland
311,Wetland,Water,NULL,Water,Built-up
312,Wetland,Water,NULL,Water,Water
313,Wetland,Water,NULL,Water,Forest
314,Wetland,Water,Non_Water,NULL,Wetland
315,Wetland,Water,Non_Water,NULL,Water
316,Wetland,Water,Non_Water,NULL,Forest
317,Wetland,Water,Non_Water,Water,NULL
318,Wetland,Water,Non_Water,Water,Grassland
319,Wetland,Water,Non_Water,Water,Wetland
320,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
321,Wetland,Water,Non_Water,Water,Bareland
322,Wetland,Water,Non_Water,Water,Built-up
323,Wetland,Water,Non_Water,Water,Water
324,Wetland,Water,Non_Water,Water,Forest
325,Wetland,Water,Water,NULL,Grassland
326,Wetland,Water,Water,NULL,Wetland
327,Wetland,Water,Water,NULL,Water
328,Wetland,Water,Water,NULL,Forest
329,Wetland,Water,Water,Water,NULL
330,Wetland,Water,Water,Water,Grassland
331,Wetland,Water,Water,Water,Wetland
332,Wetland,Water,Water,Water,Lichens_and_Mosses
333,Wetland,Water,Water,Water,Bareland
334,Wetland,Water,Water,Water,Built-up
335,Wetland,Water,Water,Water,Water
336,Wetland,Water,Water,Water,Forest
337,Wetland,Forest,NULL,Non_Wetland,NULL
338,Wetland,Forest,NULL,Non_Wetland,Grassland
339,Wetland,Forest,NULL,Non_Wetland,Wetland
340,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
341,Wetland,Forest,NULL,Non_Wetland,Bareland
342,Wetland,Forest,NULL,Non_Wetland,Built-up
343,Wetland,Forest,NULL,Non_Wetland,Water
344,Wetland,Forest,NULL,Non_Wetland,Forest
345,Wetland,Forest,Non_Water,Non_Wetland,NULL
346,Wetland,Forest,Non_Water,Non_Wetland,Grassland
347,Wetland,Forest,Non_Water,Non_Wetland,Wetland
348,Wetland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
349,Wetland,Forest,Non_Water,Non_Wetland,Bareland
350,Wetland,Forest,Non_Water,Non_Wetland,Water
351,Wetland,Forest,Non_Water,Non_Wetland,Forest
352,Wetland,Forest,Water,Non_Wetland,NULL
353,Wetland,Forest,Water,Non_Wetland,Grassland
354,Wetland,Forest,Water,Non_Wetland,Wetland
355,Wetland,Forest,Water,Non_Wetland,Lichens_and_Mosses
356,Wetland,Forest,Water,Non_Wetland,Bareland
357,Wetland,Forest,Water,Non_Wetland,Water
358,Wetland,Forest,Water,Non_Wetland,Forest
359,Bareland,NULL,NULL,Non_Wetland,Grassland
360,Bareland,NULL,NULL,Non_Wetland,Wetland
361,Bareland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
362,Bareland,NULL,NULL,Non_Wetland,Bareland
363,Bareland,NULL,NULL,Non_Wetland,Water
364,Bareland,NULL,NULL,Non_Wetland,Forest
365,Bareland,NULL,Non_Water,Non_Wetland,Water
366,Bareland,NULL,Water,Non_Wetland,Bareland
367,Bareland,NULL,Water,Non_Wetland,Water
368,Bareland,Shrubland,NULL,Non_Wetland,Grassland
369,Bareland,Shrubland,NULL,Non_Wetland,Wetland
370,Bareland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
371,Bareland,Shrubland,NULL,Non_Wetland,Bareland
372,Bareland,Shrubland,NULL,Non_Wetland,Water
373,Bareland,Shrubland,NULL,Non_Wetland,Forest
374,Bareland,Shrubland,Non_Water,Non_Wetland,Wetland
375,Bareland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
376,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
377,Bareland,Shrubland,Water,Non_Wetland,Grassland
378,Bareland,Shrubland,Water,Non_Wetland,Wetland
379,Bareland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
380,Bareland,Shrubland,Water,Non_Wetland,Bareland
381,Bareland,Shrubland,Water,Non_Wetland,Water
382,Bareland,Grassland,NULL,Non_Wetland,Grassland
383,Bareland,Grassland,NULL,Non_Wetland,Wetland
384,Bareland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
385,Bareland,Grassland,NULL,Non_Wetland,Bareland
386,Bareland,Grassland,NULL,Non_Wetland,Water
387,Bareland,Grassland,NULL,Non_Wetland,Forest
388,Bareland,Grassland,Non_Water,Non_Wetland,Grassland
389,Bareland,Grassland,Non_Water,Non_Wetland,Wetland
390,Bareland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
391,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
392,Bareland,Grassland,Water,Non_Wetland,Bareland
393,Bareland,Grassland,Water,Non_Wetland,Water
394,Bareland,Wetland,NULL,Wetland,Grassland
395,Bareland,Wetland,NULL,Wetland,Wetland
396,Bareland,Wetland,NULL,Wetland,Lichens_and_Mosses
397,Bareland,Wetland,NULL,Wetland,Bareland
398,Bareland,Wetland,NULL,Wetland,Water
399,Bareland,Wetland,NULL,Wetland,Forest
400,Bareland,Wetland,Non_Water,Wetland,Grassland
401,Bareland,Wetland,Non_Water,Wetland,Wetland
402,Bareland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
403,Bareland,Wetland,Non_Water,Wetland,Bareland
404,Bareland,Wetland,Non_Water,Wetland,Water
405,Bareland,Wetland,Water,Wetland,Grassland
406,Bareland,Wetland,Water,Wetland,Wetland
407,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
408,Bareland,Wetland,Water,Wetland,Bareland
409,Bareland,Wetland,Water,Wetland,Water
410,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
411,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
412,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
413,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
414,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Water
415,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
416,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
417,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
418,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
419,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
420,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
421,Bareland,Bareland,NULL,Non_Wetland,Grassland
422,Bareland,Bareland,NULL,Non_Wetland,Wetland
423,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
424,Bareland,Bareland,NULL,Non_Wetland,Bareland
425,Bareland,Bareland,NULL,Non_Wetland,Built-up
426,Bareland,Bareland,NULL,Non_Wetland,Water
427,Bareland,Bareland,NULL,Non_Wetland,Forest
428,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
429,Bareland,Bareland,Non_Water,Non_Wetland,Wetland
430,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
431,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
432,Bareland,Bareland,Non_Water,Non_Wetland,Water
433,Bareland,Bareland,Water,Non_Wetland,Grassland
434,Bareland,Bareland,Water,Non_Wetland,Wetland
435,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
436,Bareland,Bareland,Water,Non_Wetland,Bareland
437,Bareland,Bareland,Water,Non_Wetland,Water
438,Bareland,Bareland,Water,Non_Wetland,Forest
439,Bareland,Built-up,NULL,Non_Wetland,Grassland
440,Bareland,Built-up,NULL,Non_Wetland,Wetland
441,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
442,Bareland,Built-up,NULL,Non_Wetland,Bareland
443,Bareland,Built-up,NULL,Non_Wetland,Built-up
444,Bareland,Built-up,NULL,Non_Wetland,Water
445,Bareland,Built-up,NULL,Non_Wetland,Forest
446,Bareland,Built-up,Non_Water,Non_Wetland,Wetland
447,Bareland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
448,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
449,Bareland,Built-up,Non_Water,Non_Wetland,Built-up
450,Bareland,Built-up,Non_Water,Non_Wetland,Water
451,Bareland,Built-up,Water,Non_Wetland,Grassland
452,Bareland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
453,Bareland,Built-up,Water,Non_Wetland,Bareland
454,Bareland,Built-up,Water,Non_Wetland,Built-up
455,Bareland,Built-up,Water,Non_Wetland,Water
456,Bareland,Water,NULL,Water,Wetland
457,Bareland,Water,NULL,Water,Lichens_and_Mosses
458,Bareland,Water,NULL,Water,Bareland
459,Bareland,Water,NULL,Water,Water
460,Bareland,Water,Non_Water,Water,Wetland
461,Bareland,Water,Non_Water,Water,Lichens_and_Mosses
462,Bareland,Water,Non_Water,Water,Bareland
463,Bareland,Water,Non_Water,Water,Water
464,Bareland,Water,Water,Water,Grassland
465,Bareland,Water,Water,Water,Wetland
466,Bareland,Water,Water,Water,Lichens_and_Mosses
467,Bareland,Water,Water,Water,Bareland
468,Bareland,Water,Water,Water,Water
469,Bareland,Forest,NULL,Non_Wetland,Grassland
470,Bareland,Forest,NULL,Non_Wetland,Wetland
471,Bareland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
