Value,SIBERIA_2024_ESRI_Annual_LULC_2024_45WVQ_M_R,SIBERIA_2024_GLC_FCS30D_2022_45WVQ_M_R,SIBERIA_2024_GSW_Yearly_2021_45WVQ_M_R,SIBERIA_2024_GWL_FCS30D_2022_45WVQ_M_R,SIBERIA_2024_WorldCover_2021_45WVQ_M_R
0,NULL,NULL,NULL,Non_Wetland,Grassland
1,NULL,NULL,NULL,Non_Wetland,Wetland
2,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
3,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,Non_Wetland,Water
5,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,Non_Water,Non_Wetland,Wetland
8,NULL,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
9,NULL,NULL,Non_Water,Non_Wetland,Bareland
10,NULL,NULL,Non_Water,Non_Wetland,Water
11,NULL,NULL,Non_Water,Non_Wetland,Forest
12,NULL,NULL,Water,Non_Wetland,Grassland
13,NULL,NULL,Water,Non_Wetland,Wetland
14,NULL,NULL,Water,Non_Wetland,Lichens_and_Mosses
15,NULL,NULL,Water,Non_Wetland,Bareland
16,NULL,NULL,Water,Non_Wetland,Water
17,NULL,NULL,Water,Non_Wetland,Forest
18,NULL,Shrubland,NULL,Non_Wetland,Grassland
19,NULL,Shrubland,NULL,Non_Wetland,Wetland
20,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
21,NULL,Shrubland,NULL,Non_Wetland,Bareland
22,NULL,Shrubland,NULL,Non_Wetland,Built-up
23,NULL,Shrubland,NULL,Non_Wetland,Water
24,NULL,Shrubland,NULL,Non_Wetland,Forest
25,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
26,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
27,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
28,NULL,Shrubland,Non_Water,Non_Wetland,Water
29,NULL,Shrubland,Non_Water,Non_Wetland,Forest
30,NULL,Shrubland,Water,Non_Wetland,Grassland
31,NULL,Shrubland,Water,Non_Wetland,Wetland
32,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
33,NULL,Shrubland,Water,Non_Wetland,Bareland
34,NULL,Shrubland,Water,Non_Wetland,Water
35,NULL,Shrubland,Water,Non_Wetland,Forest
36,NULL,Grassland,NULL,Non_Wetland,Grassland
37,NULL,Grassland,NULL,Non_Wetland,Wetland
38,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
39,NULL,Grassland,NULL,Non_Wetland,Bareland
40,NULL,Grassland,NULL,Non_Wetland,Water
41,NULL,Grassland,NULL,Non_Wetland,Forest
42,NULL,Grassland,Non_Water,Non_Wetland,Grassland
43,NULL,Grassland,Non_Water,Non_Wetland,Wetland
44,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
45,NULL,Grassland,Non_Water,Non_Wetland,Forest
46,NULL,Grassland,Water,Non_Wetland,Grassland
47,NULL,Grassland,Water,Non_Wetland,Wetland
48,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
49,NULL,Grassland,Water,Non_Wetland,Bareland
50,NULL,Grassland,Water,Non_Wetland,Water
51,NULL,Grassland,Water,Non_Wetland,Forest
52,NULL,Wetland,NULL,Wetland,Grassland
53,NULL,Wetland,NULL,Wetland,Wetland
54,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
55,NULL,Wetland,NULL,Wetland,Bareland
56,NULL,Wetland,NULL,Wetland,Water
57,NULL,Wetland,NULL,Wetland,Forest
58,NULL,Wetland,Non_Water,Wetland,Grassland
59,NULL,Wetland,Non_Water,Wetland,Wetland
60,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
61,NULL,Wetland,Non_Water,Wetland,Water
62,NULL,Wetland,Non_Water,Wetland,Forest
63,NULL,Wetland,Water,Wetland,Grassland
64,NULL,Wetland,Water,Wetland,Wetland
65,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
66,NULL,Wetland,Water,Wetland,Bareland
67,NULL,Wetland,Water,Wetland,Water
68,NULL,Wetland,Water,Wetland,Forest
69,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
70,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
71,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
72,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
73,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
74,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
75,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
76,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
77,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
78,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
79,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
80,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
81,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
82,NULL,Bareland,NULL,Non_Wetland,Grassland
83,NULL,Bareland,NULL,Non_Wetland,Wetland
84,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
85,NULL,Bareland,NULL,Non_Wetland,Bareland
86,NULL,Bareland,NULL,Non_Wetland,Built-up
87,NULL,Bareland,NULL,Non_Wetland,Water
88,NULL,Bareland,NULL,Non_Wetland,Forest
89,NULL,Bareland,Non_Water,Non_Wetland,Grassland
90,NULL,Bareland,Non_Water,Non_Wetland,Wetland
91,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
92,NULL,Bareland,Non_Water,Non_Wetland,Bareland
93,NULL,Bareland,Non_Water,Non_Wetland,Water
94,NULL,Bareland,Non_Water,Non_Wetland,Forest
95,NULL,Bareland,Water,Non_Wetland,Grassland
96,NULL,Bareland,Water,Non_Wetland,Wetland
97,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
98,NULL,Bareland,Water,Non_Wetland,Bareland
99,NULL,Bareland,Water,Non_Wetland,Water
100,NULL,Bareland,Water,Non_Wetland,Forest
101,NULL,Built-up,NULL,Non_Wetland,Grassland
102,NULL,Built-up,NULL,Non_Wetland,Wetland
103,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
104,NULL,Built-up,NULL,Non_Wetland,Bareland
105,NULL,Built-up,NULL,Non_Wetland,Built-up
106,NULL,Built-up,NULL,Non_Wetland,Water
107,NULL,Built-up,NULL,Non_Wetland,Forest
108,NULL,Built-up,Non_Water,Non_Wetland,Grassland
109,NULL,Built-up,Non_Water,Non_Wetland,Wetland
110,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
111,NULL,Built-up,Non_Water,Non_Wetland,Bareland
112,NULL,Built-up,Non_Water,Non_Wetland,Forest
113,NULL,Built-up,Water,Non_Wetland,Grassland
114,NULL,Built-up,Water,Non_Wetland,Wetland
115,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
116,NULL,Built-up,Water,Non_Wetland,Bareland
117,NULL,Built-up,Water,Non_Wetland,Water
118,NULL,Built-up,Water,Non_Wetland,Forest
119,NULL,Water,NULL,Water,Grassland
120,NULL,Water,NULL,Water,Wetland
121,NULL,Water,NULL,Water,Lichens_and_Mosses
122,NULL,Water,NULL,Water,Water
123,NULL,Water,NULL,Water,Forest
124,NULL,Water,Non_Water,Water,Grassland
125,NULL,Water,Non_Water,Water,Wetland
126,NULL,Water,Non_Water,Water,Lichens_and_Mosses
127,NULL,Water,Non_Water,Water,Water
128,NULL,Water,Non_Water,Water,Forest
129,NULL,Water,Water,Water,Grassland
130,NULL,Water,Water,Water,Wetland
131,NULL,Water,Water,Water,Lichens_and_Mosses
132,NULL,Water,Water,Water,Bareland
133,NULL,Water,Water,Water,Water
134,NULL,Water,Water,Water,Forest
135,NULL,Forest,NULL,Non_Wetland,Grassland
136,NULL,Forest,NULL,Non_Wetland,Wetland
137,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
138,NULL,Forest,NULL,Non_Wetland,Bareland
139,NULL,Forest,NULL,Non_Wetland,Built-up
140,NULL,Forest,NULL,Non_Wetland,Water
141,NULL,Forest,NULL,Non_Wetland,Forest
142,NULL,Forest,Non_Water,Non_Wetland,Grassland
143,NULL,Forest,Non_Water,Non_Wetland,Wetland
144,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
145,NULL,Forest,Non_Water,Non_Wetland,Built-up
146,NULL,Forest,Non_Water,Non_Wetland,Water
147,NULL,Forest,Non_Water,Non_Wetland,Forest
148,NULL,Forest,Water,Non_Wetland,Grassland
149,NULL,Forest,Water,Non_Wetland,Wetland
150,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
151,NULL,Forest,Water,Non_Wetland,Bareland
152,NULL,Forest,Water,Non_Wetland,Water
153,NULL,Forest,Water,Non_Wetland,Forest
154,Cropland,NULL,NULL,Non_Wetland,Grassland
155,Cropland,NULL,NULL,Non_Wetland,Forest
156,Cropland,Shrubland,NULL,Non_Wetland,Grassland
157,Cropland,Shrubland,NULL,Non_Wetland,Wetland
158,Cropland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
159,Cropland,Shrubland,NULL,Non_Wetland,Bareland
160,Cropland,Grassland,NULL,Non_Wetland,Grassland
161,Cropland,Grassland,NULL,Non_Wetland,Wetland
162,Cropland,Grassland,NULL,Non_Wetland,Bareland
163,Cropland,Wetland,NULL,Wetland,Grassland
164,Cropland,Wetland,NULL,Wetland,Wetland
165,Cropland,Wetland,NULL,Wetland,Forest
166,Cropland,Wetland,Water,Wetland,Water
167,Cropland,Wetland,Water,Wetland,Forest
168,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
169,Cropland,Bareland,NULL,Non_Wetland,Grassland
170,Cropland,Bareland,NULL,Non_Wetland,Wetland
