Value,SIBERIA_2024_ESA_CALU_2024_43WEU_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_43WEU_M_R,SIBERIA_2024_GLC_FCS30D_2022_43WEU_M_R,SIBERIA_2024_GSW_Yearly_2021_43WEU_M_R,SIBERIA_2024_GWL_FCS30D_2022_43WEU_M_R,SIBERIA_2024_WorldCover_2021_43WEU_M_R
0,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
1,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
2,NULL,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
3,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
6,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
8,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
9,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
10,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
11,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
12,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
13,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
14,NULL,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
15,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
16,NULL,NULL,Shrubland,Water,Non_Wetland,Water
17,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
18,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
19,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
20,NULL,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
21,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
22,NULL,NULL,Grassland,NULL,Non_Wetland,Water
23,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
24,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
25,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
26,NULL,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
27,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
28,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
29,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
30,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
31,NULL,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
32,NULL,NULL,Grassland,Water,Non_Wetland,Water
33,NULL,NULL,Grassland,Water,Non_Wetland,Forest
34,NULL,NULL,Wetland,NULL,NULL,Grassland
35,NULL,NULL,Wetland,NULL,NULL,Wetland
36,NULL,NULL,Wetland,NULL,NULL,Water
37,NULL,NULL,Wetland,NULL,Wetland,Grassland
38,NULL,NULL,Wetland,NULL,Wetland,Wetland
39,NULL,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
40,NULL,NULL,Wetland,NULL,Wetland,Bareland
41,NULL,NULL,Wetland,NULL,Wetland,Water
42,NULL,NULL,Wetland,NULL,Wetland,Forest
43,NULL,NULL,Wetland,Non_Water,NULL,Wetland
44,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
45,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
46,NULL,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
47,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
48,NULL,NULL,Wetland,Non_Water,Wetland,Water
49,NULL,NULL,Wetland,Non_Water,Wetland,Forest
50,NULL,NULL,Wetland,Water,NULL,Wetland
51,NULL,NULL,Wetland,Water,Wetland,Grassland
52,NULL,NULL,Wetland,Water,Wetland,Wetland
53,NULL,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
54,NULL,NULL,Wetland,Water,Wetland,Bareland
55,NULL,NULL,Wetland,Water,Wetland,Water
56,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
57,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
58,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
59,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
60,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
61,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
62,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
63,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
64,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
65,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
66,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
67,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
68,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
69,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
70,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
71,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
72,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
73,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
74,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
75,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
76,NULL,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
77,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
78,NULL,NULL,Bareland,NULL,Non_Wetland,Water
79,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
80,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
81,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
82,NULL,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
83,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
84,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
85,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
86,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
87,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
88,NULL,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
89,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
90,NULL,NULL,Bareland,Water,Non_Wetland,Water
91,NULL,NULL,Bareland,Water,Non_Wetland,Forest
92,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
93,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
94,NULL,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
95,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
96,NULL,NULL,Built-up,NULL,Non_Wetland,Water
97,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
98,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
99,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
100,NULL,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
101,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
102,NULL,NULL,Built-up,Non_Water,Non_Wetland,Water
103,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
104,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
105,NULL,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
106,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
107,NULL,NULL,Built-up,Water,Non_Wetland,Water
108,NULL,NULL,Water,NULL,NULL,Wetland
109,NULL,NULL,Water,NULL,Water,Grassland
110,NULL,NULL,Water,NULL,Water,Wetland
111,NULL,NULL,Water,NULL,Water,Lichens_and_Mosses
112,NULL,NULL,Water,NULL,Water,Water
113,NULL,NULL,Water,NULL,Water,Forest
114,NULL,NULL,Water,Non_Water,Water,Grassland
115,NULL,NULL,Water,Non_Water,Water,Wetland
116,NULL,NULL,Water,Non_Water,Water,Lichens_and_Mosses
117,NULL,NULL,Water,Non_Water,Water,Water
118,NULL,NULL,Water,Water,NULL,Wetland
119,NULL,NULL,Water,Water,Water,Grassland
120,NULL,NULL,Water,Water,Water,Wetland
121,NULL,NULL,Water,Water,Water,Lichens_and_Mosses
122,NULL,NULL,Water,Water,Water,Bareland
123,NULL,NULL,Water,Water,Water,Water
124,NULL,NULL,Water,Water,Water,Forest
125,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
126,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
127,NULL,NULL,Forest,NULL,Non_Wetland,Forest
128,NULL,NULL,Forest,Water,Non_Wetland,Grassland
129,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
130,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
131,NULL,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
132,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland
133,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water
134,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
135,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
136,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
137,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
138,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
139,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Water
140,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
141,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
142,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
143,NULL,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
144,NULL,Wetland,Shrubland,Water,Non_Wetland,Bareland
145,NULL,Wetland,Shrubland,Water,Non_Wetland,Water
146,NULL,Wetland,Shrubland,Water,Non_Wetland,Forest
147,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
148,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
149,NULL,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
150,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland
151,NULL,Wetland,Grassland,NULL,Non_Wetland,Water
152,NULL,Wetland,Grassland,NULL,Non_Wetland,Forest
153,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
154,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
155,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
156,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Water
157,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Forest
158,NULL,Wetland,Grassland,Water,Non_Wetland,Grassland
159,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland
160,NULL,Wetland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
161,NULL,Wetland,Grassland,Water,Non_Wetland,Water
162,NULL,Wetland,Grassland,Water,Non_Wetland,Forest
163,NULL,Wetland,Wetland,NULL,NULL,Grassland
164,NULL,Wetland,Wetland,NULL,NULL,Wetland
165,NULL,Wetland,Wetland,NULL,NULL,Lichens_and_Mosses
166,NULL,Wetland,Wetland,NULL,NULL,Water
167,NULL,Wetland,Wetland,NULL,Wetland,Grassland
168,NULL,Wetland,Wetland,NULL,Wetland,Wetland
169,NULL,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
170,NULL,Wetland,Wetland,NULL,Wetland,Bareland
171,NULL,Wetland,Wetland,NULL,Wetland,Water
172,NULL,Wetland,Wetland,NULL,Wetland,Forest
173,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
174,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
175,NULL,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
176,NULL,Wetland,Wetland,Non_Water,Wetland,Bareland
177,NULL,Wetland,Wetland,Non_Water,Wetland,Water
178,NULL,Wetland,Wetland,Non_Water,Wetland,Forest
179,NULL,Wetland,Wetland,Water,NULL,Water
180,NULL,Wetland,Wetland,Water,Wetland,Grassland
181,NULL,Wetland,Wetland,Water,Wetland,Wetland
182,NULL,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
183,NULL,Wetland,Wetland,Water,Wetland,Bareland
184,NULL,Wetland,Wetland,Water,Wetland,Water
185,NULL,Wetland,Wetland,Water,Wetland,Forest
186,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
187,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
188,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
