Value,SIBERIA_2024_ESRI_Annual_LULC_2024_43VFH_M_R,SIBERIA_2024_GLC_FCS30D_2022_43VFH_M_R,SIBERIA_2024_GSW_Yearly_2021_43VFH_M_R,SIBERIA_2024_GWL_FCS30D_2022_43VFH_M_R,SIBERIA_2024_WorldCover_2021_43VFH_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,Non_Water,Non_Wetland,Wetland
8,NULL,NULL,Non_Water,Non_Wetland,Forest
9,NULL,NULL,Water,Non_Wetland,Grassland
10,NULL,NULL,Water,Non_Wetland,Wetland
11,NULL,NULL,Water,Non_Wetland,Forest
12,NULL,Shrubland,NULL,Non_Wetland,NULL
13,NULL,Shrubland,NULL,Non_Wetland,Grassland
14,NULL,Shrubland,NULL,Non_Wetland,Wetland
15,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
16,NULL,Shrubland,NULL,Non_Wetland,Bareland
17,NULL,Shrubland,NULL,Non_Wetland,Built-up
18,NULL,Shrubland,NULL,Non_Wetland,Water
19,NULL,Shrubland,NULL,Non_Wetland,Forest
20,NULL,Shrubland,Non_Water,Non_Wetland,NULL
21,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
22,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
23,NULL,Shrubland,Non_Water,Non_Wetland,Forest
24,NULL,Shrubland,Water,Non_Wetland,NULL
25,NULL,Shrubland,Water,Non_Wetland,Grassland
26,NULL,Shrubland,Water,Non_Wetland,Wetland
27,NULL,Shrubland,Water,Non_Wetland,Bareland
28,NULL,Shrubland,Water,Non_Wetland,Forest
29,NULL,Grassland,NULL,Non_Wetland,NULL
30,NULL,Grassland,NULL,Non_Wetland,Grassland
31,NULL,Grassland,NULL,Non_Wetland,Wetland
32,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
33,NULL,Grassland,NULL,Non_Wetland,Bareland
34,NULL,Grassland,NULL,Non_Wetland,Built-up
35,NULL,Grassland,NULL,Non_Wetland,Forest
36,NULL,Grassland,Non_Water,Non_Wetland,Grassland
37,NULL,Grassland,Non_Water,Non_Wetland,Wetland
38,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
39,NULL,Grassland,Non_Water,Non_Wetland,Bareland
40,NULL,Grassland,Non_Water,Non_Wetland,Forest
41,NULL,Grassland,Water,Non_Wetland,Grassland
42,NULL,Grassland,Water,Non_Wetland,Wetland
43,NULL,Grassland,Water,Non_Wetland,Bareland
44,NULL,Grassland,Water,Non_Wetland,Water
45,NULL,Grassland,Water,Non_Wetland,Forest
46,NULL,Wetland,NULL,Wetland,NULL
47,NULL,Wetland,NULL,Wetland,Grassland
48,NULL,Wetland,NULL,Wetland,Wetland
49,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
50,NULL,Wetland,NULL,Wetland,Bareland
51,NULL,Wetland,NULL,Wetland,Built-up
52,NULL,Wetland,NULL,Wetland,Water
53,NULL,Wetland,NULL,Wetland,Forest
54,NULL,Wetland,Non_Water,Wetland,NULL
55,NULL,Wetland,Non_Water,Wetland,Grassland
56,NULL,Wetland,Non_Water,Wetland,Wetland
57,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
58,NULL,Wetland,Non_Water,Wetland,Bareland
59,NULL,Wetland,Non_Water,Wetland,Water
60,NULL,Wetland,Non_Water,Wetland,Forest
61,NULL,Wetland,Water,Wetland,NULL
62,NULL,Wetland,Water,Wetland,Grassland
63,NULL,Wetland,Water,Wetland,Wetland
64,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
65,NULL,Wetland,Water,Wetland,Bareland
66,NULL,Wetland,Water,Wetland,Water
67,NULL,Wetland,Water,Wetland,Forest
68,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
69,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
70,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
71,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
72,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
73,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
74,NULL,Bareland,NULL,Non_Wetland,NULL
75,NULL,Bareland,NULL,Non_Wetland,Grassland
76,NULL,Bareland,NULL,Non_Wetland,Wetland
77,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
78,NULL,Bareland,NULL,Non_Wetland,Bareland
79,NULL,Bareland,NULL,Non_Wetland,Built-up
80,NULL,Bareland,NULL,Non_Wetland,Water
81,NULL,Bareland,NULL,Non_Wetland,Forest
82,NULL,Bareland,Non_Water,Non_Wetland,Grassland
83,NULL,Bareland,Non_Water,Non_Wetland,Wetland
84,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
85,NULL,Bareland,Non_Water,Non_Wetland,Bareland
86,NULL,Bareland,Non_Water,Non_Wetland,Built-up
87,NULL,Bareland,Non_Water,Non_Wetland,Forest
88,NULL,Bareland,Water,Non_Wetland,Grassland
89,NULL,Bareland,Water,Non_Wetland,Wetland
90,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
91,NULL,Bareland,Water,Non_Wetland,Bareland
92,NULL,Bareland,Water,Non_Wetland,Built-up
93,NULL,Bareland,Water,Non_Wetland,Water
94,NULL,Bareland,Water,Non_Wetland,Forest
95,NULL,Built-up,NULL,Non_Wetland,NULL
96,NULL,Built-up,NULL,Non_Wetland,Grassland
97,NULL,Built-up,NULL,Non_Wetland,Wetland
98,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
99,NULL,Built-up,NULL,Non_Wetland,Bareland
100,NULL,Built-up,NULL,Non_Wetland,Built-up
101,NULL,Built-up,NULL,Non_Wetland,Forest
102,NULL,Built-up,Non_Water,Non_Wetland,Grassland
103,NULL,Built-up,Non_Water,Non_Wetland,Wetland
104,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
105,NULL,Built-up,Non_Water,Non_Wetland,Bareland
106,NULL,Built-up,Non_Water,Non_Wetland,Built-up
107,NULL,Built-up,Non_Water,Non_Wetland,Forest
108,NULL,Built-up,Water,Non_Wetland,Bareland
109,NULL,Built-up,Water,Non_Wetland,Built-up
110,NULL,Built-up,Water,Non_Wetland,Water
111,NULL,Water,NULL,Water,NULL
112,NULL,Water,NULL,Water,Grassland
113,NULL,Water,NULL,Water,Wetland
114,NULL,Water,NULL,Water,Bareland
115,NULL,Water,NULL,Water,Water
116,NULL,Water,NULL,Water,Forest
117,NULL,Water,Non_Water,Water,NULL
118,NULL,Water,Non_Water,Water,Grassland
119,NULL,Water,Non_Water,Water,Wetland
120,NULL,Water,Non_Water,Water,Forest
121,NULL,Water,Water,Water,NULL
122,NULL,Water,Water,Water,Grassland
123,NULL,Water,Water,Water,Wetland
124,NULL,Water,Water,Water,Lichens_and_Mosses
125,NULL,Water,Water,Water,Bareland
126,NULL,Water,Water,Water,Water
127,NULL,Water,Water,Water,Forest
128,NULL,Forest,NULL,Non_Wetland,NULL
129,NULL,Forest,NULL,Non_Wetland,Grassland
130,NULL,Forest,NULL,Non_Wetland,Wetland
131,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
132,NULL,Forest,NULL,Non_Wetland,Bareland
133,NULL,Forest,NULL,Non_Wetland,Built-up
134,NULL,Forest,NULL,Non_Wetland,Water
135,NULL,Forest,NULL,Non_Wetland,Forest
136,NULL,Forest,Non_Water,Non_Wetland,NULL
137,NULL,Forest,Non_Water,Non_Wetland,Grassland
138,NULL,Forest,Non_Water,Non_Wetland,Wetland
139,NULL,Forest,Non_Water,Non_Wetland,Bareland
140,NULL,Forest,Non_Water,Non_Wetland,Built-up
141,NULL,Forest,Non_Water,Non_Wetland,Water
142,NULL,Forest,Non_Water,Non_Wetland,Forest
143,NULL,Forest,Water,Non_Wetland,NULL
144,NULL,Forest,Water,Non_Wetland,Grassland
145,NULL,Forest,Water,Non_Wetland,Wetland
146,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
147,NULL,Forest,Water,Non_Wetland,Bareland
148,NULL,Forest,Water,Non_Wetland,Water
149,NULL,Forest,Water,Non_Wetland,Forest
150,Cropland,NULL,NULL,Non_Wetland,NULL
151,Cropland,NULL,NULL,Non_Wetland,Grassland
152,Cropland,NULL,NULL,Non_Wetland,Wetland
153,Cropland,NULL,NULL,Non_Wetland,Forest
154,Cropland,NULL,Water,Non_Wetland,Forest
155,Cropland,Shrubland,NULL,Non_Wetland,NULL
156,Cropland,Shrubland,NULL,Non_Wetland,Grassland
157,Cropland,Shrubland,NULL,Non_Wetland,Wetland
158,Cropland,Shrubland,NULL,Non_Wetland,Built-up
159,Cropland,Shrubland,NULL,Non_Wetland,Forest
160,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
161,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
162,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
163,Cropland,Shrubland,Water,Non_Wetland,Forest
164,Cropland,Grassland,NULL,Non_Wetland,NULL
165,Cropland,Grassland,NULL,Non_Wetland,Grassland
166,Cropland,Grassland,NULL,Non_Wetland,Wetland
167,Cropland,Grassland,NULL,Non_Wetland,Bareland
168,Cropland,Grassland,NULL,Non_Wetland,Forest
169,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
170,Cropland,Grassland,Non_Water,Non_Wetland,Wetland
171,Cropland,Grassland,Non_Water,Non_Wetland,Forest
172,Cropland,Wetland,NULL,Wetland,NULL
173,Cropland,Wetland,NULL,Wetland,Grassland
174,Cropland,Wetland,NULL,Wetland,Wetland
175,Cropland,Wetland,NULL,Wetland,Built-up
176,Cropland,Wetland,NULL,Wetland,Water
177,Cropland,Wetland,NULL,Wetland,Forest
178,Cropland,Wetland,Non_Water,Wetland,Grassland
179,Cropland,Wetland,Non_Water,Wetland,Wetland
180,Cropland,Wetland,Water,Wetland,NULL
181,Cropland,Wetland,Water,Wetland,Grassland
182,Cropland,Wetland,Water,Wetland,Wetland
183,Cropland,Wetland,Water,Wetland,Water
184,Cropland,Wetland,Water,Wetland,Forest
185,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
186,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
187,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
188,Cropland,Bareland,NULL,Non_Wetland,NULL
189,Cropland,Bareland,NULL,Non_Wetland,Grassland
190,Cropland,Bareland,NULL,Non_Wetland,Wetland
191,Cropland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
192,Cropland,Bareland,NULL,Non_Wetland,Bareland
193,Cropland,Bareland,NULL,Non_Wetland,Built-up
194,Cropland,Bareland,NULL,Non_Wetland,Water
195,Cropland,Bareland,NULL,Non_Wetland,Forest
196,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
197,Cropland,Bareland,Non_Water,Non_Wetland,Wetland
198,Cropland,Bareland,Non_Water,Non_Wetland,Forest
199,Cropland,Bareland,Water,Non_Wetland,Wetland
200,Cropland,Bareland,Water,Non_Wetland,Water
201,Cropland,Bareland,Water,Non_Wetland,Forest
202,Cropland,Built-up,NULL,Non_Wetland,Grassland
203,Cropland,Built-up,NULL,Non_Wetland,Wetland
204,Cropland,Built-up,NULL,Non_Wetland,Bareland
205,Cropland,Built-up,NULL,Non_Wetland,Built-up
206,Cropland,Built-up,NULL,Non_Wetland,Forest
207,Cropland,Water,NULL,Water,Grassland
208,Cropland,Water,NULL,Water,Wetland
209,Cropland,Water,NULL,Water,Water
210,Cropland,Water,NULL,Water,Forest
211,Cropland,Water,Non_Water,Water,Water
212,Cropland,Water,Water,Water,NULL
213,Cropland,Water,Water,Water,Wetland
214,Cropland,Water,Water,Water,Water
215,Cropland,Water,Water,Water,Forest
216,Cropland,Forest,NULL,Non_Wetland,NULL
217,Cropland,Forest,NULL,Non_Wetland,Grassland
218,Cropland,Forest,NULL,Non_Wetland,Wetland
219,Cropland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
220,Cropland,Forest,NULL,Non_Wetland,Bareland
221,Cropland,Forest,NULL,Non_Wetland,Built-up
222,Cropland,Forest,NULL,Non_Wetland,Water
223,Cropland,Forest,NULL,Non_Wetland,Forest
224,Cropland,Forest,Non_Water,Non_Wetland,Grassland
225,Cropland,Forest,Non_Water,Non_Wetland,Wetland
226,Cropland,Forest,Non_Water,Non_Wetland,Forest
227,Cropland,Forest,Water,Non_Wetland,NULL
228,Cropland,Forest,Water,Non_Wetland,Grassland
229,Cropland,Forest,Water,Non_Wetland,Wetland
230,Cropland,Forest,Water,Non_Wetland,Water
231,Cropland,Forest,Water,Non_Wetland,Forest
232,Wetland,NULL,NULL,Non_Wetland,NULL
233,Wetland,NULL,NULL,Non_Wetland,Grassland
234,Wetland,NULL,NULL,Non_Wetland,Wetland
235,Wetland,NULL,NULL,Non_Wetland,Bareland
236,Wetland,NULL,NULL,Non_Wetland,Water
237,Wetland,NULL,NULL,Non_Wetland,Forest
238,Wetland,NULL,Non_Water,Non_Wetland,Grassland
239,Wetland,NULL,Non_Water,Non_Wetland,Wetland
240,Wetland,NULL,Non_Water,Non_Wetland,Water
241,Wetland,NULL,Non_Water,Non_Wetland,Forest
242,Wetland,NULL,Water,Non_Wetland,Grassland
243,Wetland,NULL,Water,Non_Wetland,Wetland
244,Wetland,NULL,Water,Non_Wetland,Water
245,Wetland,NULL,Water,Non_Wetland,Forest
246,Wetland,Shrubland,NULL,Non_Wetland,NULL
247,Wetland,Shrubland,NULL,Non_Wetland,Grassland
248,Wetland,Shrubland,NULL,Non_Wetland,Wetland
249,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
250,Wetland,Shrubland,NULL,Non_Wetland,Bareland
251,Wetland,Shrubland,NULL,Non_Wetland,Built-up
252,Wetland,Shrubland,NULL,Non_Wetland,Water
253,Wetland,Shrubland,NULL,Non_Wetland,Forest
254,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
255,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
256,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
257,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
258,Wetland,Shrubland,Non_Water,Non_Wetland,Built-up
259,Wetland,Shrubland,Non_Water,Non_Wetland,Water
260,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
261,Wetland,Shrubland,Water,Non_Wetland,NULL
262,Wetland,Shrubland,Water,Non_Wetland,Grassland
263,Wetland,Shrubland,Water,Non_Wetland,Wetland
264,Wetland,Shrubland,Water,Non_Wetland,Built-up
265,Wetland,Shrubland,Water,Non_Wetland,Water
266,Wetland,Shrubland,Water,Non_Wetland,Forest
