Value,SIBERIA_2024_ESRI_Annual_LULC_2024_41VPJ_M_R,SIBERIA_2024_GLC_FCS30D_2022_41VPJ_M_R,SIBERIA_2024_GSW_Yearly_2021_41VPJ_M_R,SIBERIA_2024_GWL_FCS30D_2022_41VPJ_M_R,SIBERIA_2024_WorldCover_2021_41VPJ_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,Non_Wetland,Water
7,NULL,NULL,NULL,Non_Wetland,Forest
8,NULL,NULL,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,Non_Water,Non_Wetland,Wetland
10,NULL,NULL,Non_Water,Non_Wetland,Forest
11,NULL,NULL,Water,Non_Wetland,Grassland
12,NULL,NULL,Water,Non_Wetland,Wetland
13,NULL,NULL,Water,Non_Wetland,Water
14,NULL,NULL,Water,Non_Wetland,Forest
15,NULL,Shrubland,NULL,Non_Wetland,NULL
16,NULL,Shrubland,NULL,Non_Wetland,Grassland
17,NULL,Shrubland,NULL,Non_Wetland,Cropland
18,NULL,Shrubland,NULL,Non_Wetland,Wetland
19,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
20,NULL,Shrubland,NULL,Non_Wetland,Bareland
21,NULL,Shrubland,NULL,Non_Wetland,Built-up
22,NULL,Shrubland,NULL,Non_Wetland,Water
23,NULL,Shrubland,NULL,Non_Wetland,Forest
24,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
25,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
26,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
27,NULL,Shrubland,Non_Water,Non_Wetland,Forest
28,NULL,Shrubland,Water,Non_Wetland,Grassland
29,NULL,Shrubland,Water,Non_Wetland,Wetland
30,NULL,Shrubland,Water,Non_Wetland,Water
31,NULL,Shrubland,Water,Non_Wetland,Forest
32,NULL,Grassland,NULL,Non_Wetland,NULL
33,NULL,Grassland,NULL,Non_Wetland,Grassland
34,NULL,Grassland,NULL,Non_Wetland,Cropland
35,NULL,Grassland,NULL,Non_Wetland,Wetland
36,NULL,Grassland,NULL,Non_Wetland,Bareland
37,NULL,Grassland,NULL,Non_Wetland,Built-up
38,NULL,Grassland,NULL,Non_Wetland,Forest
39,NULL,Grassland,Non_Water,Non_Wetland,Grassland
40,NULL,Grassland,Non_Water,Non_Wetland,Wetland
41,NULL,Grassland,Non_Water,Non_Wetland,Forest
42,NULL,Grassland,Water,Non_Wetland,Grassland
43,NULL,Grassland,Water,Non_Wetland,Wetland
44,NULL,Cropland,NULL,Non_Wetland,NULL
45,NULL,Cropland,NULL,Non_Wetland,Grassland
46,NULL,Cropland,NULL,Non_Wetland,Wetland
47,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
48,NULL,Cropland,NULL,Non_Wetland,Bareland
49,NULL,Cropland,NULL,Non_Wetland,Built-up
50,NULL,Cropland,NULL,Non_Wetland,Water
51,NULL,Cropland,NULL,Non_Wetland,Forest
52,NULL,Cropland,Non_Water,Non_Wetland,Grassland
53,NULL,Cropland,Non_Water,Non_Wetland,Wetland
54,NULL,Cropland,Non_Water,Non_Wetland,Bareland
55,NULL,Cropland,Non_Water,Non_Wetland,Forest
56,NULL,Cropland,Water,Non_Wetland,Wetland
57,NULL,Cropland,Water,Non_Wetland,Bareland
58,NULL,Cropland,Water,Non_Wetland,Water
59,NULL,Cropland,Water,Non_Wetland,Forest
60,NULL,Wetland,NULL,Wetland,NULL
61,NULL,Wetland,NULL,Wetland,Grassland
62,NULL,Wetland,NULL,Wetland,Cropland
63,NULL,Wetland,NULL,Wetland,Wetland
64,NULL,Wetland,NULL,Wetland,Bareland
65,NULL,Wetland,NULL,Wetland,Built-up
66,NULL,Wetland,NULL,Wetland,Water
67,NULL,Wetland,NULL,Wetland,Forest
68,NULL,Wetland,Non_Water,Wetland,NULL
69,NULL,Wetland,Non_Water,Wetland,Grassland
70,NULL,Wetland,Non_Water,Wetland,Cropland
71,NULL,Wetland,Non_Water,Wetland,Wetland
72,NULL,Wetland,Non_Water,Wetland,Water
73,NULL,Wetland,Non_Water,Wetland,Forest
74,NULL,Wetland,Water,Wetland,NULL
75,NULL,Wetland,Water,Wetland,Grassland
76,NULL,Wetland,Water,Wetland,Wetland
77,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
78,NULL,Wetland,Water,Wetland,Water
79,NULL,Wetland,Water,Wetland,Forest
80,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
81,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
82,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
83,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
84,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
85,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
86,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
87,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
88,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
89,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
90,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
91,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
92,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
93,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
94,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
95,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
96,NULL,Bareland,NULL,Non_Wetland,NULL
97,NULL,Bareland,NULL,Non_Wetland,Grassland
98,NULL,Bareland,NULL,Non_Wetland,Cropland
99,NULL,Bareland,NULL,Non_Wetland,Wetland
100,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
101,NULL,Bareland,NULL,Non_Wetland,Bareland
102,NULL,Bareland,NULL,Non_Wetland,Built-up
103,NULL,Bareland,NULL,Non_Wetland,Water
104,NULL,Bareland,NULL,Non_Wetland,Forest
105,NULL,Bareland,Non_Water,Non_Wetland,Grassland
106,NULL,Bareland,Non_Water,Non_Wetland,Wetland
107,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
108,NULL,Bareland,Non_Water,Non_Wetland,Bareland
109,NULL,Bareland,Non_Water,Non_Wetland,Built-up
110,NULL,Bareland,Non_Water,Non_Wetland,Water
111,NULL,Bareland,Non_Water,Non_Wetland,Forest
112,NULL,Bareland,Water,Non_Wetland,Grassland
113,NULL,Bareland,Water,Non_Wetland,Wetland
114,NULL,Bareland,Water,Non_Wetland,Bareland
115,NULL,Bareland,Water,Non_Wetland,Water
116,NULL,Bareland,Water,Non_Wetland,Forest
117,NULL,Built-up,NULL,Non_Wetland,NULL
118,NULL,Built-up,NULL,Non_Wetland,Grassland
119,NULL,Built-up,NULL,Non_Wetland,Cropland
120,NULL,Built-up,NULL,Non_Wetland,Wetland
121,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
122,NULL,Built-up,NULL,Non_Wetland,Bareland
123,NULL,Built-up,NULL,Non_Wetland,Built-up
124,NULL,Built-up,NULL,Non_Wetland,Water
125,NULL,Built-up,NULL,Non_Wetland,Forest
126,NULL,Built-up,Non_Water,Non_Wetland,Grassland
127,NULL,Built-up,Non_Water,Non_Wetland,Wetland
128,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
129,NULL,Built-up,Non_Water,Non_Wetland,Bareland
130,NULL,Built-up,Non_Water,Non_Wetland,Built-up
131,NULL,Built-up,Non_Water,Non_Wetland,Water
132,NULL,Built-up,Non_Water,Non_Wetland,Forest
133,NULL,Built-up,Water,Non_Wetland,Grassland
134,NULL,Built-up,Water,Non_Wetland,Bareland
135,NULL,Built-up,Water,Non_Wetland,Built-up
136,NULL,Built-up,Water,Non_Wetland,Water
137,NULL,Built-up,Water,Non_Wetland,Forest
138,NULL,Water,NULL,Water,NULL
139,NULL,Water,NULL,Water,Grassland
140,NULL,Water,NULL,Water,Wetland
141,NULL,Water,NULL,Water,Lichens_and_Mosses
142,NULL,Water,NULL,Water,Bareland
143,NULL,Water,NULL,Water,Water
144,NULL,Water,NULL,Water,Forest
145,NULL,Water,Non_Water,Water,Grassland
146,NULL,Water,Non_Water,Water,Wetland
147,NULL,Water,Non_Water,Water,Water
148,NULL,Water,Non_Water,Water,Forest
149,NULL,Water,Water,Water,NULL
150,NULL,Water,Water,Water,Grassland
151,NULL,Water,Water,Water,Wetland
152,NULL,Water,Water,Water,Water
153,NULL,Water,Water,Water,Forest
154,NULL,Forest,NULL,Non_Wetland,NULL
155,NULL,Forest,NULL,Non_Wetland,Grassland
156,NULL,Forest,NULL,Non_Wetland,Cropland
157,NULL,Forest,NULL,Non_Wetland,Wetland
158,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
159,NULL,Forest,NULL,Non_Wetland,Bareland
160,NULL,Forest,NULL,Non_Wetland,Built-up
161,NULL,Forest,NULL,Non_Wetland,Water
162,NULL,Forest,NULL,Non_Wetland,Forest
163,NULL,Forest,Non_Water,Non_Wetland,NULL
164,NULL,Forest,Non_Water,Non_Wetland,Grassland
165,NULL,Forest,Non_Water,Non_Wetland,Wetland
166,NULL,Forest,Non_Water,Non_Wetland,Bareland
167,NULL,Forest,Non_Water,Non_Wetland,Water
168,NULL,Forest,Non_Water,Non_Wetland,Forest
169,NULL,Forest,Water,Non_Wetland,Grassland
170,NULL,Forest,Water,Non_Wetland,Wetland
171,NULL,Forest,Water,Non_Wetland,Bareland
172,NULL,Forest,Water,Non_Wetland,Water
173,NULL,Forest,Water,Non_Wetland,Forest
174,Cropland,NULL,NULL,Non_Wetland,NULL
175,Cropland,NULL,NULL,Non_Wetland,Grassland
176,Cropland,NULL,NULL,Non_Wetland,Wetland
177,Cropland,NULL,NULL,Non_Wetland,Forest
178,Cropland,Shrubland,NULL,Non_Wetland,NULL
179,Cropland,Shrubland,NULL,Non_Wetland,Grassland
180,Cropland,Shrubland,NULL,Non_Wetland,Wetland
181,Cropland,Shrubland,NULL,Non_Wetland,Forest
182,Cropland,Grassland,NULL,Non_Wetland,Grassland
183,Cropland,Grassland,NULL,Non_Wetland,Wetland
184,Cropland,Grassland,NULL,Non_Wetland,Forest
185,Cropland,Cropland,NULL,Non_Wetland,NULL
186,Cropland,Cropland,NULL,Non_Wetland,Grassland
187,Cropland,Cropland,NULL,Non_Wetland,Wetland
188,Cropland,Cropland,NULL,Non_Wetland,Bareland
189,Cropland,Cropland,NULL,Non_Wetland,Forest
190,Cropland,Wetland,NULL,Wetland,NULL
191,Cropland,Wetland,NULL,Wetland,Grassland
192,Cropland,Wetland,NULL,Wetland,Wetland
193,Cropland,Wetland,NULL,Wetland,Built-up
194,Cropland,Wetland,NULL,Wetland,Forest
195,Cropland,Wetland,Non_Water,Wetland,Grassland
196,Cropland,Wetland,Non_Water,Wetland,Wetland
197,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
198,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
199,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
200,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
201,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
202,Cropland,Lichens_and_Mosses,Water,Non_Wetland,Forest
203,Cropland,Bareland,NULL,Non_Wetland,NULL
204,Cropland,Bareland,NULL,Non_Wetland,Grassland
205,Cropland,Bareland,NULL,Non_Wetland,Wetland
206,Cropland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
207,Cropland,Bareland,NULL,Non_Wetland,Bareland
208,Cropland,Bareland,NULL,Non_Wetland,Built-up
209,Cropland,Bareland,NULL,Non_Wetland,Forest
210,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
211,Cropland,Bareland,Non_Water,Non_Wetland,Forest
212,Cropland,Built-up,NULL,Non_Wetland,NULL
213,Cropland,Built-up,NULL,Non_Wetland,Grassland
214,Cropland,Built-up,NULL,Non_Wetland,Wetland
215,Cropland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
216,Cropland,Built-up,NULL,Non_Wetland,Bareland
217,Cropland,Built-up,NULL,Non_Wetland,Built-up
218,Cropland,Built-up,NULL,Non_Wetland,Forest
219,Cropland,Built-up,Non_Water,Non_Wetland,Bareland
220,Cropland,Water,Water,Water,Wetland
221,Cropland,Forest,NULL,Non_Wetland,NULL
222,Cropland,Forest,NULL,Non_Wetland,Grassland
223,Cropland,Forest,NULL,Non_Wetland,Wetland
224,Cropland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
225,Cropland,Forest,NULL,Non_Wetland,Bareland
226,Cropland,Forest,NULL,Non_Wetland,Forest
227,Cropland,Forest,Non_Water,Non_Wetland,Grassland
228,Wetland,NULL,NULL,Non_Wetland,NULL
229,Wetland,NULL,NULL,Non_Wetland,Grassland
230,Wetland,NULL,NULL,Non_Wetland,Wetland
231,Wetland,NULL,NULL,Non_Wetland,Water
232,Wetland,NULL,NULL,Non_Wetland,Forest
233,Wetland,NULL,Non_Water,Non_Wetland,Grassland
234,Wetland,NULL,Non_Water,Non_Wetland,Wetland
235,Wetland,NULL,Non_Water,Non_Wetland,Water
236,Wetland,NULL,Non_Water,Non_Wetland,Forest
237,Wetland,NULL,Water,Non_Wetland,Grassland
238,Wetland,NULL,Water,Non_Wetland,Wetland
239,Wetland,NULL,Water,Non_Wetland,Water
240,Wetland,NULL,Water,Non_Wetland,Forest
241,Wetland,Shrubland,NULL,Non_Wetland,NULL
242,Wetland,Shrubland,NULL,Non_Wetland,Grassland
243,Wetland,Shrubland,NULL,Non_Wetland,Wetland
244,Wetland,Shrubland,NULL,Non_Wetland,Bareland
245,Wetland,Shrubland,NULL,Non_Wetland,Built-up
246,Wetland,Shrubland,NULL,Non_Wetland,Water
247,Wetland,Shrubland,NULL,Non_Wetland,Forest
248,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
249,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
250,Wetland,Shrubland,Non_Water,Non_Wetland,Water
251,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
252,Wetland,Shrubland,Water,Non_Wetland,Grassland
253,Wetland,Shrubland,Water,Non_Wetland,Wetland
254,Wetland,Shrubland,Water,Non_Wetland,Water
255,Wetland,Shrubland,Water,Non_Wetland,Forest
256,Wetland,Grassland,NULL,Non_Wetland,Grassland
257,Wetland,Grassland,NULL,Non_Wetland,Wetland
258,Wetland,Grassland,NULL,Non_Wetland,Bareland
259,Wetland,Grassland,NULL,Non_Wetland,Water
260,Wetland,Grassland,NULL,Non_Wetland,Forest
261,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
