Value,SIBERIA_2024_ESA_CALU_2024_44WND_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_44WND_M_R,SIBERIA_2024_GLC_FCS30D_2022_44WND_M_R,SIBERIA_2024_GSW_Yearly_2021_44WND_M_R,SIBERIA_2024_GWL_FCS30D_2022_44WND_M_R,SIBERIA_2024_WorldCover_2021_44WND_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
1,NULL,NULL,NULL,NULL,Non_Wetland,Forest
2,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
9,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
10,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
11,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
12,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
13,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
15,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
16,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
17,NULL,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
18,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
19,NULL,NULL,Shrubland,Water,Non_Wetland,Water
20,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
21,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
22,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
23,NULL,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
24,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
25,NULL,NULL,Grassland,NULL,Non_Wetland,Water
26,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
27,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
28,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
29,NULL,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
30,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
31,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
32,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
33,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
34,NULL,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
35,NULL,NULL,Grassland,Water,Non_Wetland,Water
36,NULL,NULL,Grassland,Water,Non_Wetland,Forest
37,NULL,NULL,Wetland,NULL,NULL,Grassland
38,NULL,NULL,Wetland,NULL,NULL,Wetland
39,NULL,NULL,Wetland,NULL,NULL,Lichens_and_Mosses
40,NULL,NULL,Wetland,NULL,NULL,Bareland
41,NULL,NULL,Wetland,NULL,NULL,Water
42,NULL,NULL,Wetland,NULL,NULL,Forest
43,NULL,NULL,Wetland,NULL,Wetland,Grassland
44,NULL,NULL,Wetland,NULL,Wetland,Wetland
45,NULL,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
46,NULL,NULL,Wetland,NULL,Wetland,Bareland
47,NULL,NULL,Wetland,NULL,Wetland,Water
48,NULL,NULL,Wetland,NULL,Wetland,Forest
49,NULL,NULL,Wetland,Non_Water,NULL,Grassland
50,NULL,NULL,Wetland,Non_Water,NULL,Wetland
51,NULL,NULL,Wetland,Non_Water,NULL,Lichens_and_Mosses
52,NULL,NULL,Wetland,Non_Water,NULL,Bareland
53,NULL,NULL,Wetland,Non_Water,NULL,Water
54,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
55,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
56,NULL,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
57,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
58,NULL,NULL,Wetland,Non_Water,Wetland,Water
59,NULL,NULL,Wetland,Non_Water,Wetland,Forest
60,NULL,NULL,Wetland,Water,NULL,Grassland
