Value,SIBERIA_2024_ESRI_Annual_LULC_2024_41VNL_M_R,SIBERIA_2024_GLC_FCS30D_2022_41VNL_M_R,SIBERIA_2024_GSW_Yearly_2021_41VNL_M_R,SIBERIA_2024_GWL_FCS30D_2022_41VNL_M_R,SIBERIA_2024_WorldCover_2021_41VNL_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,Non_Wetland,Water
6,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,Non_Water,Non_Wetland,NULL
8,NULL,NULL,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,Non_Water,Non_Wetland,Wetland
10,NULL,NULL,Non_Water,Non_Wetland,Forest
11,NULL,NULL,Water,Non_Wetland,Grassland
12,NULL,NULL,Water,Non_Wetland,Wetland
13,NULL,NULL,Water,Non_Wetland,Forest
14,NULL,Shrubland,NULL,Non_Wetland,NULL
15,NULL,Shrubland,NULL,Non_Wetland,Grassland
16,NULL,Shrubland,NULL,Non_Wetland,Wetland
17,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
18,NULL,Shrubland,NULL,Non_Wetland,Bareland
19,NULL,Shrubland,NULL,Non_Wetland,Built-up
20,NULL,Shrubland,NULL,Non_Wetland,Forest
21,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
22,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
23,NULL,Shrubland,Non_Water,Non_Wetland,Forest
24,NULL,Shrubland,Water,Non_Wetland,NULL
25,NULL,Shrubland,Water,Non_Wetland,Grassland
26,NULL,Shrubland,Water,Non_Wetland,Wetland
27,NULL,Shrubland,Water,Non_Wetland,Forest
28,NULL,Grassland,NULL,Non_Wetland,NULL
29,NULL,Grassland,NULL,Non_Wetland,Grassland
30,NULL,Grassland,NULL,Non_Wetland,Wetland
31,NULL,Grassland,NULL,Non_Wetland,Built-up
32,NULL,Grassland,NULL,Non_Wetland,Forest
33,NULL,Grassland,Non_Water,Non_Wetland,Grassland
34,NULL,Grassland,Non_Water,Non_Wetland,Wetland
35,NULL,Grassland,Non_Water,Non_Wetland,Water
36,NULL,Grassland,Non_Water,Non_Wetland,Forest
37,NULL,Grassland,Water,Non_Wetland,Grassland
38,NULL,Grassland,Water,Non_Wetland,Wetland
39,NULL,Grassland,Water,Non_Wetland,Forest
40,NULL,Cropland,NULL,Non_Wetland,Grassland
41,NULL,Cropland,NULL,Non_Wetland,Wetland
42,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
43,NULL,Cropland,NULL,Non_Wetland,Bareland
44,NULL,Cropland,NULL,Non_Wetland,Forest
45,NULL,Cropland,Non_Water,Non_Wetland,Grassland
46,NULL,Cropland,Non_Water,Non_Wetland,Cropland
47,NULL,Cropland,Non_Water,Non_Wetland,Wetland
48,NULL,Cropland,Non_Water,Non_Wetland,Forest
49,NULL,Cropland,Water,Non_Wetland,Grassland
50,NULL,Cropland,Water,Non_Wetland,Wetland
51,NULL,Cropland,Water,Non_Wetland,Water
52,NULL,Cropland,Water,Non_Wetland,Forest
53,NULL,Wetland,NULL,Wetland,NULL
54,NULL,Wetland,NULL,Wetland,Grassland
55,NULL,Wetland,NULL,Wetland,Cropland
56,NULL,Wetland,NULL,Wetland,Wetland
57,NULL,Wetland,NULL,Wetland,Built-up
58,NULL,Wetland,NULL,Wetland,Water
59,NULL,Wetland,NULL,Wetland,Forest
60,NULL,Wetland,Non_Water,Wetland,NULL
61,NULL,Wetland,Non_Water,Wetland,Grassland
62,NULL,Wetland,Non_Water,Wetland,Cropland
63,NULL,Wetland,Non_Water,Wetland,Wetland
64,NULL,Wetland,Non_Water,Wetland,Water
65,NULL,Wetland,Non_Water,Wetland,Forest
66,NULL,Wetland,Water,Wetland,NULL
67,NULL,Wetland,Water,Wetland,Grassland
68,NULL,Wetland,Water,Wetland,Wetland
69,NULL,Wetland,Water,Wetland,Water
70,NULL,Wetland,Water,Wetland,Forest
71,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
72,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
73,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
74,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
75,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
76,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
77,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
78,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
79,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
80,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
81,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
82,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
83,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
84,NULL,Bareland,NULL,Non_Wetland,NULL
85,NULL,Bareland,NULL,Non_Wetland,Grassland
86,NULL,Bareland,NULL,Non_Wetland,Wetland
87,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
88,NULL,Bareland,NULL,Non_Wetland,Bareland
89,NULL,Bareland,NULL,Non_Wetland,Built-up
90,NULL,Bareland,NULL,Non_Wetland,Water
91,NULL,Bareland,NULL,Non_Wetland,Forest
92,NULL,Bareland,Non_Water,Non_Wetland,NULL
93,NULL,Bareland,Non_Water,Non_Wetland,Grassland
94,NULL,Bareland,Non_Water,Non_Wetland,Wetland
95,NULL,Bareland,Non_Water,Non_Wetland,Water
96,NULL,Bareland,Non_Water,Non_Wetland,Forest
97,NULL,Bareland,Water,Non_Wetland,Grassland
98,NULL,Bareland,Water,Non_Wetland,Wetland
99,NULL,Bareland,Water,Non_Wetland,Water
100,NULL,Bareland,Water,Non_Wetland,Forest
101,NULL,Built-up,NULL,Non_Wetland,NULL
102,NULL,Built-up,NULL,Non_Wetland,Grassland
103,NULL,Built-up,NULL,Non_Wetland,Wetland
104,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
105,NULL,Built-up,NULL,Non_Wetland,Bareland
106,NULL,Built-up,NULL,Non_Wetland,Built-up
107,NULL,Built-up,NULL,Non_Wetland,Water
108,NULL,Built-up,NULL,Non_Wetland,Forest
109,NULL,Built-up,Non_Water,Non_Wetland,Grassland
110,NULL,Built-up,Non_Water,Non_Wetland,Wetland
111,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
112,NULL,Built-up,Non_Water,Non_Wetland,Bareland
113,NULL,Built-up,Non_Water,Non_Wetland,Built-up
114,NULL,Built-up,Non_Water,Non_Wetland,Forest
115,NULL,Built-up,Water,Non_Wetland,Bareland
116,NULL,Built-up,Water,Non_Wetland,Forest
117,NULL,Water,NULL,Water,NULL
118,NULL,Water,NULL,Water,Grassland
119,NULL,Water,NULL,Water,Wetland
120,NULL,Water,NULL,Water,Forest
121,NULL,Water,Non_Water,Water,NULL
122,NULL,Water,Non_Water,Water,Grassland
123,NULL,Water,Non_Water,Water,Wetland
124,NULL,Water,Non_Water,Water,Water
125,NULL,Water,Non_Water,Water,Forest
126,NULL,Water,Water,Water,NULL
127,NULL,Water,Water,Water,Grassland
128,NULL,Water,Water,Water,Wetland
129,NULL,Water,Water,Water,Water
130,NULL,Water,Water,Water,Forest
131,NULL,Forest,NULL,Non_Wetland,NULL
132,NULL,Forest,NULL,Non_Wetland,Grassland
133,NULL,Forest,NULL,Non_Wetland,Wetland
134,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
135,NULL,Forest,NULL,Non_Wetland,Built-up
136,NULL,Forest,NULL,Non_Wetland,Water
137,NULL,Forest,NULL,Non_Wetland,Forest
138,NULL,Forest,Non_Water,Non_Wetland,NULL
139,NULL,Forest,Non_Water,Non_Wetland,Grassland
140,NULL,Forest,Non_Water,Non_Wetland,Wetland
141,NULL,Forest,Non_Water,Non_Wetland,Water
142,NULL,Forest,Non_Water,Non_Wetland,Forest
143,NULL,Forest,Water,Non_Wetland,NULL
144,NULL,Forest,Water,Non_Wetland,Grassland
145,NULL,Forest,Water,Non_Wetland,Wetland
146,NULL,Forest,Water,Non_Wetland,Water
147,NULL,Forest,Water,Non_Wetland,Forest
148,Cropland,NULL,NULL,Non_Wetland,Forest
149,Cropland,Shrubland,NULL,Non_Wetland,Grassland
150,Cropland,Shrubland,NULL,Non_Wetland,Wetland
151,Cropland,Shrubland,NULL,Non_Wetland,Forest
152,Cropland,Grassland,NULL,Non_Wetland,Grassland
153,Cropland,Wetland,NULL,Wetland,NULL
154,Cropland,Wetland,NULL,Wetland,Grassland
155,Cropland,Wetland,NULL,Wetland,Wetland
156,Cropland,Wetland,NULL,Wetland,Built-up
157,Cropland,Wetland,NULL,Wetland,Forest
158,Cropland,Bareland,NULL,Non_Wetland,Forest
159,Cropland,Water,NULL,Water,Forest
160,Cropland,Forest,NULL,Non_Wetland,Forest
161,Wetland,NULL,NULL,Non_Wetland,NULL
162,Wetland,NULL,NULL,Non_Wetland,Grassland
163,Wetland,NULL,NULL,Non_Wetland,Wetland
164,Wetland,NULL,NULL,Non_Wetland,Water
165,Wetland,NULL,NULL,Non_Wetland,Forest
166,Wetland,NULL,Non_Water,Non_Wetland,NULL
167,Wetland,NULL,Non_Water,Non_Wetland,Grassland
168,Wetland,NULL,Non_Water,Non_Wetland,Wetland
169,Wetland,NULL,Non_Water,Non_Wetland,Water
170,Wetland,NULL,Non_Water,Non_Wetland,Forest
171,Wetland,NULL,Water,Non_Wetland,Grassland
172,Wetland,NULL,Water,Non_Wetland,Wetland
173,Wetland,NULL,Water,Non_Wetland,Water
174,Wetland,NULL,Water,Non_Wetland,Forest
175,Wetland,Shrubland,NULL,Non_Wetland,NULL
176,Wetland,Shrubland,NULL,Non_Wetland,Grassland
177,Wetland,Shrubland,NULL,Non_Wetland,Cropland
178,Wetland,Shrubland,NULL,Non_Wetland,Wetland
179,Wetland,Shrubland,NULL,Non_Wetland,Water
180,Wetland,Shrubland,NULL,Non_Wetland,Forest
181,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
182,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
183,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
184,Wetland,Shrubland,Non_Water,Non_Wetland,Water
185,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
186,Wetland,Shrubland,Water,Non_Wetland,Grassland
187,Wetland,Shrubland,Water,Non_Wetland,Wetland
188,Wetland,Shrubland,Water,Non_Wetland,Water
189,Wetland,Shrubland,Water,Non_Wetland,Forest
190,Wetland,Grassland,NULL,Non_Wetland,Grassland
191,Wetland,Grassland,NULL,Non_Wetland,Cropland
192,Wetland,Grassland,NULL,Non_Wetland,Wetland
193,Wetland,Grassland,NULL,Non_Wetland,Built-up
194,Wetland,Grassland,NULL,Non_Wetland,Water
195,Wetland,Grassland,NULL,Non_Wetland,Forest
196,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
197,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
198,Wetland,Grassland,Non_Water,Non_Wetland,Water
199,Wetland,Grassland,Non_Water,Non_Wetland,Forest
200,Wetland,Grassland,Water,Non_Wetland,Grassland
201,Wetland,Grassland,Water,Non_Wetland,Wetland
202,Wetland,Grassland,Water,Non_Wetland,Water
203,Wetland,Cropland,NULL,Non_Wetland,Grassland
204,Wetland,Cropland,NULL,Non_Wetland,Cropland
205,Wetland,Cropland,NULL,Non_Wetland,Wetland
206,Wetland,Cropland,NULL,Non_Wetland,Built-up
207,Wetland,Cropland,NULL,Non_Wetland,Water
208,Wetland,Cropland,NULL,Non_Wetland,Forest
209,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
210,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
211,Wetland,Cropland,Non_Water,Non_Wetland,Water
212,Wetland,Cropland,Non_Water,Non_Wetland,Forest
213,Wetland,Cropland,Water,Non_Wetland,Grassland
214,Wetland,Cropland,Water,Non_Wetland,Wetland
215,Wetland,Cropland,Water,Non_Wetland,Water
216,Wetland,Cropland,Water,Non_Wetland,Forest
217,Wetland,Wetland,NULL,Wetland,NULL
218,Wetland,Wetland,NULL,Wetland,Grassland
219,Wetland,Wetland,NULL,Wetland,Cropland
220,Wetland,Wetland,NULL,Wetland,Wetland
221,Wetland,Wetland,NULL,Wetland,Built-up
222,Wetland,Wetland,NULL,Wetland,Water
223,Wetland,Wetland,NULL,Wetland,Forest
224,Wetland,Wetland,Non_Water,Wetland,NULL
225,Wetland,Wetland,Non_Water,Wetland,Grassland
226,Wetland,Wetland,Non_Water,Wetland,Cropland
227,Wetland,Wetland,Non_Water,Wetland,Wetland
228,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
229,Wetland,Wetland,Non_Water,Wetland,Water
230,Wetland,Wetland,Non_Water,Wetland,Forest
231,Wetland,Wetland,Water,Wetland,NULL
232,Wetland,Wetland,Water,Wetland,Grassland
233,Wetland,Wetland,Water,Wetland,Cropland
234,Wetland,Wetland,Water,Wetland,Wetland
235,Wetland,Wetland,Water,Wetland,Water
236,Wetland,Wetland,Water,Wetland,Forest
237,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
238,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
239,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
240,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
241,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
242,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
243,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
244,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
245,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
246,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
247,Wetland,Bareland,NULL,Non_Wetland,NULL
248,Wetland,Bareland,NULL,Non_Wetland,Grassland
249,Wetland,Bareland,NULL,Non_Wetland,Cropland
250,Wetland,Bareland,NULL,Non_Wetland,Wetland
251,Wetland,Bareland,NULL,Non_Wetland,Water
252,Wetland,Bareland,NULL,Non_Wetland,Forest
253,Wetland,Bareland,Non_Water,Non_Wetland,NULL
254,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
255,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
256,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
257,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
258,Wetland,Bareland,Non_Water,Non_Wetland,Water
259,Wetland,Bareland,Non_Water,Non_Wetland,Forest
260,Wetland,Bareland,Water,Non_Wetland,Grassland
261,Wetland,Bareland,Water,Non_Wetland,Wetland
