Value,SIBERIA_2024_ESRI_Annual_LULC_2024_41VPK_M_R,SIBERIA_2024_GLC_FCS30D_2022_41VPK_M_R,SIBERIA_2024_GSW_Yearly_2021_41VPK_M_R,SIBERIA_2024_GWL_FCS30D_2022_41VPK_M_R,SIBERIA_2024_WorldCover_2021_41VPK_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,Non_Wetland,Water
6,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,Non_Water,Non_Wetland,Wetland
9,NULL,NULL,Non_Water,Non_Wetland,Forest
10,NULL,NULL,Water,Non_Wetland,Grassland
11,NULL,NULL,Water,Non_Wetland,Wetland
12,NULL,NULL,Water,Non_Wetland,Water
13,NULL,NULL,Water,Non_Wetland,Forest
14,NULL,Shrubland,NULL,Non_Wetland,NULL
15,NULL,Shrubland,NULL,Non_Wetland,Grassland
16,NULL,Shrubland,NULL,Non_Wetland,Wetland
17,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
18,NULL,Shrubland,NULL,Non_Wetland,Bareland
19,NULL,Shrubland,NULL,Non_Wetland,Built-up
20,NULL,Shrubland,NULL,Non_Wetland,Water
21,NULL,Shrubland,NULL,Non_Wetland,Forest
22,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
23,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
24,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
25,NULL,Shrubland,Non_Water,Non_Wetland,Water
26,NULL,Shrubland,Non_Water,Non_Wetland,Forest
27,NULL,Shrubland,Water,Non_Wetland,Grassland
28,NULL,Shrubland,Water,Non_Wetland,Wetland
29,NULL,Shrubland,Water,Non_Wetland,Forest
30,NULL,Grassland,NULL,Non_Wetland,NULL
31,NULL,Grassland,NULL,Non_Wetland,Grassland
32,NULL,Grassland,NULL,Non_Wetland,Wetland
33,NULL,Grassland,NULL,Non_Wetland,Bareland
34,NULL,Grassland,NULL,Non_Wetland,Built-up
35,NULL,Grassland,NULL,Non_Wetland,Forest
36,NULL,Grassland,Non_Water,Non_Wetland,Grassland
37,NULL,Grassland,Non_Water,Non_Wetland,Wetland
38,NULL,Grassland,Non_Water,Non_Wetland,Forest
39,NULL,Grassland,Water,Non_Wetland,Grassland
40,NULL,Grassland,Water,Non_Wetland,Wetland
41,NULL,Cropland,NULL,Non_Wetland,NULL
42,NULL,Cropland,NULL,Non_Wetland,Grassland
43,NULL,Cropland,NULL,Non_Wetland,Wetland
44,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
45,NULL,Cropland,NULL,Non_Wetland,Bareland
46,NULL,Cropland,NULL,Non_Wetland,Built-up
47,NULL,Cropland,NULL,Non_Wetland,Forest
48,NULL,Cropland,Non_Water,Non_Wetland,Grassland
49,NULL,Cropland,Non_Water,Non_Wetland,Wetland
50,NULL,Cropland,Non_Water,Non_Wetland,Bareland
51,NULL,Cropland,Non_Water,Non_Wetland,Forest
52,NULL,Cropland,Water,Non_Wetland,Grassland
53,NULL,Cropland,Water,Non_Wetland,Wetland
54,NULL,Cropland,Water,Non_Wetland,Forest
55,NULL,Wetland,NULL,Wetland,NULL
56,NULL,Wetland,NULL,Wetland,Grassland
57,NULL,Wetland,NULL,Wetland,Cropland
58,NULL,Wetland,NULL,Wetland,Wetland
59,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
60,NULL,Wetland,NULL,Wetland,Bareland
61,NULL,Wetland,NULL,Wetland,Built-up
62,NULL,Wetland,NULL,Wetland,Water
63,NULL,Wetland,NULL,Wetland,Forest
64,NULL,Wetland,Non_Water,Wetland,NULL
65,NULL,Wetland,Non_Water,Wetland,Grassland
66,NULL,Wetland,Non_Water,Wetland,Cropland
67,NULL,Wetland,Non_Water,Wetland,Wetland
68,NULL,Wetland,Non_Water,Wetland,Bareland
69,NULL,Wetland,Non_Water,Wetland,Water
70,NULL,Wetland,Non_Water,Wetland,Forest
71,NULL,Wetland,Water,Wetland,Grassland
72,NULL,Wetland,Water,Wetland,Cropland
73,NULL,Wetland,Water,Wetland,Wetland
74,NULL,Wetland,Water,Wetland,Bareland
75,NULL,Wetland,Water,Wetland,Water
76,NULL,Wetland,Water,Wetland,Forest
77,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
78,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
79,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
80,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
81,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
82,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
83,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
84,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
85,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
86,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
87,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
88,NULL,Bareland,NULL,Non_Wetland,NULL
89,NULL,Bareland,NULL,Non_Wetland,Grassland
90,NULL,Bareland,NULL,Non_Wetland,Cropland
91,NULL,Bareland,NULL,Non_Wetland,Wetland
92,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
93,NULL,Bareland,NULL,Non_Wetland,Bareland
94,NULL,Bareland,NULL,Non_Wetland,Built-up
95,NULL,Bareland,NULL,Non_Wetland,Water
96,NULL,Bareland,NULL,Non_Wetland,Forest
97,NULL,Bareland,Non_Water,Non_Wetland,Grassland
98,NULL,Bareland,Non_Water,Non_Wetland,Wetland
99,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
100,NULL,Bareland,Non_Water,Non_Wetland,Bareland
101,NULL,Bareland,Non_Water,Non_Wetland,Water
102,NULL,Bareland,Non_Water,Non_Wetland,Forest
103,NULL,Bareland,Water,Non_Wetland,Grassland
104,NULL,Bareland,Water,Non_Wetland,Wetland
105,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
106,NULL,Bareland,Water,Non_Wetland,Bareland
107,NULL,Bareland,Water,Non_Wetland,Water
108,NULL,Bareland,Water,Non_Wetland,Forest
109,NULL,Built-up,NULL,Non_Wetland,NULL
110,NULL,Built-up,NULL,Non_Wetland,Grassland
111,NULL,Built-up,NULL,Non_Wetland,Wetland
112,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
113,NULL,Built-up,NULL,Non_Wetland,Bareland
114,NULL,Built-up,NULL,Non_Wetland,Built-up
115,NULL,Built-up,NULL,Non_Wetland,Water
116,NULL,Built-up,NULL,Non_Wetland,Forest
117,NULL,Built-up,Non_Water,Non_Wetland,Grassland
118,NULL,Built-up,Non_Water,Non_Wetland,Wetland
119,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
120,NULL,Built-up,Non_Water,Non_Wetland,Bareland
121,NULL,Built-up,Non_Water,Non_Wetland,Built-up
122,NULL,Built-up,Non_Water,Non_Wetland,Water
123,NULL,Built-up,Non_Water,Non_Wetland,Forest
124,NULL,Built-up,Water,Non_Wetland,Grassland
125,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
126,NULL,Built-up,Water,Non_Wetland,Bareland
127,NULL,Built-up,Water,Non_Wetland,Built-up
128,NULL,Built-up,Water,Non_Wetland,Water
129,NULL,Built-up,Water,Non_Wetland,Forest
130,NULL,Water,NULL,Water,NULL
131,NULL,Water,NULL,Water,Grassland
132,NULL,Water,NULL,Water,Wetland
133,NULL,Water,NULL,Water,Lichens_and_Mosses
134,NULL,Water,NULL,Water,Bareland
135,NULL,Water,NULL,Water,Water
136,NULL,Water,NULL,Water,Forest
137,NULL,Water,Non_Water,Water,Grassland
138,NULL,Water,Non_Water,Water,Wetland
139,NULL,Water,Non_Water,Water,Bareland
140,NULL,Water,Non_Water,Water,Water
141,NULL,Water,Non_Water,Water,Forest
142,NULL,Water,Water,Water,NULL
143,NULL,Water,Water,Water,Grassland
144,NULL,Water,Water,Water,Wetland
145,NULL,Water,Water,Water,Water
146,NULL,Water,Water,Water,Forest
147,NULL,Forest,NULL,Non_Wetland,NULL
148,NULL,Forest,NULL,Non_Wetland,Grassland
149,NULL,Forest,NULL,Non_Wetland,Wetland
150,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
151,NULL,Forest,NULL,Non_Wetland,Bareland
152,NULL,Forest,NULL,Non_Wetland,Built-up
153,NULL,Forest,NULL,Non_Wetland,Water
154,NULL,Forest,NULL,Non_Wetland,Forest
155,NULL,Forest,Non_Water,Non_Wetland,Grassland
156,NULL,Forest,Non_Water,Non_Wetland,Wetland
157,NULL,Forest,Non_Water,Non_Wetland,Water
158,NULL,Forest,Non_Water,Non_Wetland,Forest
159,NULL,Forest,Water,Non_Wetland,NULL
160,NULL,Forest,Water,Non_Wetland,Grassland
161,NULL,Forest,Water,Non_Wetland,Wetland
162,NULL,Forest,Water,Non_Wetland,Water
163,NULL,Forest,Water,Non_Wetland,Forest
164,Cropland,NULL,NULL,Non_Wetland,NULL
165,Cropland,NULL,NULL,Non_Wetland,Grassland
166,Cropland,NULL,NULL,Non_Wetland,Wetland
167,Cropland,NULL,NULL,Non_Wetland,Forest
168,Cropland,Shrubland,NULL,Non_Wetland,NULL
169,Cropland,Shrubland,NULL,Non_Wetland,Grassland
170,Cropland,Shrubland,NULL,Non_Wetland,Wetland
171,Cropland,Shrubland,NULL,Non_Wetland,Built-up
172,Cropland,Shrubland,NULL,Non_Wetland,Forest
173,Cropland,Grassland,NULL,Non_Wetland,Grassland
174,Cropland,Grassland,NULL,Non_Wetland,Forest
175,Cropland,Cropland,NULL,Non_Wetland,Wetland
176,Cropland,Cropland,NULL,Non_Wetland,Forest
177,Cropland,Wetland,NULL,Wetland,NULL
178,Cropland,Wetland,NULL,Wetland,Grassland
179,Cropland,Wetland,NULL,Wetland,Wetland
180,Cropland,Wetland,NULL,Wetland,Built-up
181,Cropland,Wetland,NULL,Wetland,Water
182,Cropland,Wetland,NULL,Wetland,Forest
183,Cropland,Wetland,Non_Water,Wetland,Grassland
184,Cropland,Wetland,Non_Water,Wetland,Wetland
185,Cropland,Wetland,Water,Wetland,Water
186,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
187,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
188,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
189,Cropland,Bareland,NULL,Non_Wetland,NULL
190,Cropland,Bareland,NULL,Non_Wetland,Grassland
191,Cropland,Bareland,NULL,Non_Wetland,Wetland
192,Cropland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
193,Cropland,Bareland,NULL,Non_Wetland,Built-up
194,Cropland,Bareland,NULL,Non_Wetland,Water
195,Cropland,Bareland,NULL,Non_Wetland,Forest
196,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
197,Cropland,Bareland,Non_Water,Non_Wetland,Forest
198,Cropland,Built-up,NULL,Non_Wetland,Grassland
199,Cropland,Built-up,NULL,Non_Wetland,Wetland
200,Cropland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
201,Cropland,Built-up,NULL,Non_Wetland,Bareland
202,Cropland,Built-up,NULL,Non_Wetland,Built-up
203,Cropland,Built-up,NULL,Non_Wetland,Forest
204,Cropland,Water,NULL,Water,Water
205,Cropland,Water,Water,Water,Water
206,Cropland,Forest,NULL,Non_Wetland,NULL
207,Cropland,Forest,NULL,Non_Wetland,Grassland
208,Cropland,Forest,NULL,Non_Wetland,Wetland
209,Cropland,Forest,NULL,Non_Wetland,Built-up
210,Cropland,Forest,NULL,Non_Wetland,Water
211,Cropland,Forest,NULL,Non_Wetland,Forest
212,Cropland,Forest,Non_Water,Non_Wetland,Grassland
213,Cropland,Forest,Non_Water,Non_Wetland,Wetland
214,Cropland,Forest,Non_Water,Non_Wetland,Forest
215,Cropland,Forest,Water,Non_Wetland,Water
216,Wetland,NULL,NULL,Non_Wetland,NULL
217,Wetland,NULL,NULL,Non_Wetland,Grassland
218,Wetland,NULL,NULL,Non_Wetland,Wetland
219,Wetland,NULL,NULL,Non_Wetland,Water
220,Wetland,NULL,NULL,Non_Wetland,Forest
221,Wetland,NULL,Non_Water,Non_Wetland,Grassland
222,Wetland,NULL,Non_Water,Non_Wetland,Wetland
223,Wetland,NULL,Non_Water,Non_Wetland,Water
224,Wetland,NULL,Non_Water,Non_Wetland,Forest
225,Wetland,NULL,Water,Non_Wetland,Grassland
226,Wetland,NULL,Water,Non_Wetland,Wetland
227,Wetland,NULL,Water,Non_Wetland,Water
228,Wetland,NULL,Water,Non_Wetland,Forest
229,Wetland,Shrubland,NULL,Non_Wetland,NULL
230,Wetland,Shrubland,NULL,Non_Wetland,Grassland
231,Wetland,Shrubland,NULL,Non_Wetland,Wetland
232,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
233,Wetland,Shrubland,NULL,Non_Wetland,Water
234,Wetland,Shrubland,NULL,Non_Wetland,Forest
235,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
236,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
237,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
238,Wetland,Shrubland,Non_Water,Non_Wetland,Water
239,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
240,Wetland,Shrubland,Water,Non_Wetland,Grassland
241,Wetland,Shrubland,Water,Non_Wetland,Wetland
242,Wetland,Shrubland,Water,Non_Wetland,Water
243,Wetland,Shrubland,Water,Non_Wetland,Forest
244,Wetland,Grassland,NULL,Non_Wetland,Grassland
245,Wetland,Grassland,NULL,Non_Wetland,Wetland
246,Wetland,Grassland,NULL,Non_Wetland,Bareland
247,Wetland,Grassland,NULL,Non_Wetland,Built-up
248,Wetland,Grassland,NULL,Non_Wetland,Water
249,Wetland,Grassland,NULL,Non_Wetland,Forest
250,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
251,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
252,Wetland,Grassland,Non_Water,Non_Wetland,Water
253,Wetland,Grassland,Non_Water,Non_Wetland,Forest
254,Wetland,Grassland,Water,Non_Wetland,Grassland
255,Wetland,Grassland,Water,Non_Wetland,Wetland
256,Wetland,Grassland,Water,Non_Wetland,Water
257,Wetland,Grassland,Water,Non_Wetland,Forest
258,Wetland,Cropland,NULL,Non_Wetland,Grassland
259,Wetland,Cropland,NULL,Non_Wetland,Wetland
260,Wetland,Cropland,NULL,Non_Wetland,Bareland
261,Wetland,Cropland,NULL,Non_Wetland,Built-up
262,Wetland,Cropland,NULL,Non_Wetland,Water
263,Wetland,Cropland,NULL,Non_Wetland,Forest
264,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
