Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44VLM_M_R,SIBERIA_2024_GLC_FCS30D_2022_44VLM_M_R,SIBERIA_2024_GSW_Yearly_2021_44VLM_M_R,SIBERIA_2024_GWL_FCS30D_2022_44VLM_M_R,SIBERIA_2024_WorldCover_2021_44VLM_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,Non_Water,Non_Wetland,Grassland
6,NULL,NULL,Non_Water,Non_Wetland,Wetland
7,NULL,NULL,Non_Water,Non_Wetland,Forest
8,NULL,NULL,Water,Non_Wetland,Grassland
9,NULL,NULL,Water,Non_Wetland,Wetland
10,NULL,NULL,Water,Non_Wetland,Forest
11,NULL,Shrubland,NULL,Non_Wetland,NULL
12,NULL,Shrubland,NULL,Non_Wetland,Grassland
13,NULL,Shrubland,NULL,Non_Wetland,Wetland
14,NULL,Shrubland,NULL,Non_Wetland,Bareland
15,NULL,Shrubland,NULL,Non_Wetland,Built-up
16,NULL,Shrubland,NULL,Non_Wetland,Forest
17,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
18,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
19,NULL,Shrubland,Non_Water,Non_Wetland,Forest
20,NULL,Shrubland,Water,Non_Wetland,Grassland
21,NULL,Shrubland,Water,Non_Wetland,Wetland
22,NULL,Shrubland,Water,Non_Wetland,Forest
23,NULL,Grassland,NULL,Non_Wetland,NULL
24,NULL,Grassland,NULL,Non_Wetland,Grassland
25,NULL,Grassland,NULL,Non_Wetland,Wetland
26,NULL,Grassland,NULL,Non_Wetland,Bareland
27,NULL,Grassland,NULL,Non_Wetland,Built-up
28,NULL,Grassland,NULL,Non_Wetland,Forest
29,NULL,Grassland,Non_Water,Non_Wetland,Grassland
30,NULL,Grassland,Non_Water,Non_Wetland,Wetland
31,NULL,Grassland,Non_Water,Non_Wetland,Forest
32,NULL,Grassland,Water,Non_Wetland,Grassland
33,NULL,Grassland,Water,Non_Wetland,Wetland
34,NULL,Grassland,Water,Non_Wetland,Forest
35,NULL,Cropland,NULL,Non_Wetland,Grassland
36,NULL,Cropland,NULL,Non_Wetland,Wetland
37,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
38,NULL,Cropland,NULL,Non_Wetland,Bareland
39,NULL,Cropland,NULL,Non_Wetland,Built-up
40,NULL,Cropland,NULL,Non_Wetland,Forest
41,NULL,Cropland,Non_Water,Non_Wetland,Grassland
42,NULL,Cropland,Non_Water,Non_Wetland,Wetland
43,NULL,Cropland,Non_Water,Non_Wetland,Forest
44,NULL,Cropland,Water,Non_Wetland,Grassland
45,NULL,Cropland,Water,Non_Wetland,Wetland
46,NULL,Cropland,Water,Non_Wetland,Forest
47,NULL,Wetland,NULL,Wetland,NULL
48,NULL,Wetland,NULL,Wetland,Grassland
49,NULL,Wetland,NULL,Wetland,Wetland
50,NULL,Wetland,NULL,Wetland,Built-up
51,NULL,Wetland,NULL,Wetland,Water
52,NULL,Wetland,NULL,Wetland,Forest
53,NULL,Wetland,Non_Water,Wetland,NULL
54,NULL,Wetland,Non_Water,Wetland,Grassland
55,NULL,Wetland,Non_Water,Wetland,Wetland
56,NULL,Wetland,Non_Water,Wetland,Forest
57,NULL,Wetland,Water,Wetland,NULL
58,NULL,Wetland,Water,Wetland,Grassland
59,NULL,Wetland,Water,Wetland,Wetland
60,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
61,NULL,Wetland,Water,Wetland,Water
62,NULL,Wetland,Water,Wetland,Forest
63,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
64,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
65,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
66,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
67,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
68,NULL,Bareland,NULL,Non_Wetland,NULL
69,NULL,Bareland,NULL,Non_Wetland,Grassland
70,NULL,Bareland,NULL,Non_Wetland,Wetland
71,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
72,NULL,Bareland,NULL,Non_Wetland,Bareland
73,NULL,Bareland,NULL,Non_Wetland,Built-up
74,NULL,Bareland,NULL,Non_Wetland,Water
75,NULL,Bareland,NULL,Non_Wetland,Permanent_ice_and_snow
76,NULL,Bareland,NULL,Non_Wetland,Forest
77,NULL,Bareland,Non_Water,Non_Wetland,Grassland
78,NULL,Bareland,Non_Water,Non_Wetland,Wetland
79,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
80,NULL,Bareland,Non_Water,Non_Wetland,Bareland
81,NULL,Bareland,Non_Water,Non_Wetland,Forest
82,NULL,Bareland,Water,Non_Wetland,Grassland
83,NULL,Bareland,Water,Non_Wetland,Wetland
84,NULL,Bareland,Water,Non_Wetland,Bareland
85,NULL,Bareland,Water,Non_Wetland,Water
86,NULL,Bareland,Water,Non_Wetland,Forest
87,NULL,Built-up,NULL,Non_Wetland,Grassland
88,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
89,NULL,Built-up,NULL,Non_Wetland,Bareland
90,NULL,Built-up,NULL,Non_Wetland,Built-up
91,NULL,Built-up,NULL,Non_Wetland,Water
92,NULL,Built-up,NULL,Non_Wetland,Forest
93,NULL,Built-up,Non_Water,Non_Wetland,Grassland
94,NULL,Built-up,Non_Water,Non_Wetland,Bareland
95,NULL,Built-up,Water,Non_Wetland,Bareland
96,NULL,Built-up,Water,Non_Wetland,Water
97,NULL,Water,NULL,Water,NULL
98,NULL,Water,NULL,Water,Grassland
99,NULL,Water,NULL,Water,Wetland
100,NULL,Water,NULL,Water,Bareland
101,NULL,Water,NULL,Water,Forest
102,NULL,Water,Non_Water,Water,Grassland
103,NULL,Water,Non_Water,Water,Wetland
104,NULL,Water,Non_Water,Water,Forest
105,NULL,Water,Water,Water,NULL
106,NULL,Water,Water,Water,Grassland
107,NULL,Water,Water,Water,Wetland
108,NULL,Water,Water,Water,Lichens_and_Mosses
109,NULL,Water,Water,Water,Water
110,NULL,Water,Water,Water,Forest
111,NULL,Forest,NULL,Non_Wetland,NULL
112,NULL,Forest,NULL,Non_Wetland,Grassland
113,NULL,Forest,NULL,Non_Wetland,Wetland
114,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
115,NULL,Forest,NULL,Non_Wetland,Bareland
116,NULL,Forest,NULL,Non_Wetland,Built-up
117,NULL,Forest,NULL,Non_Wetland,Water
118,NULL,Forest,NULL,Non_Wetland,Forest
119,NULL,Forest,Non_Water,Non_Wetland,NULL
120,NULL,Forest,Non_Water,Non_Wetland,Grassland
121,NULL,Forest,Non_Water,Non_Wetland,Wetland
122,NULL,Forest,Non_Water,Non_Wetland,Forest
123,NULL,Forest,Water,Non_Wetland,NULL
124,NULL,Forest,Water,Non_Wetland,Grassland
125,NULL,Forest,Water,Non_Wetland,Wetland
126,NULL,Forest,Water,Non_Wetland,Forest
127,Cropland,NULL,NULL,Non_Wetland,Wetland
128,Cropland,NULL,NULL,Non_Wetland,Forest
129,Cropland,Shrubland,NULL,Non_Wetland,Grassland
130,Cropland,Shrubland,NULL,Non_Wetland,Wetland
131,Cropland,Shrubland,NULL,Non_Wetland,Forest
132,Cropland,Grassland,NULL,Non_Wetland,Grassland
133,Cropland,Grassland,NULL,Non_Wetland,Forest
134,Cropland,Cropland,NULL,Non_Wetland,Grassland
135,Cropland,Cropland,NULL,Non_Wetland,Wetland
136,Cropland,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
137,Cropland,Cropland,NULL,Non_Wetland,Forest
138,Cropland,Wetland,NULL,Wetland,NULL
139,Cropland,Wetland,NULL,Wetland,Grassland
140,Cropland,Wetland,NULL,Wetland,Wetland
141,Cropland,Wetland,NULL,Wetland,Forest
142,Cropland,Wetland,Non_Water,Wetland,Wetland
143,Cropland,Bareland,NULL,Non_Wetland,Grassland
144,Cropland,Bareland,NULL,Non_Wetland,Wetland
145,Cropland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
146,Cropland,Bareland,NULL,Non_Wetland,Built-up
147,Cropland,Bareland,NULL,Non_Wetland,Forest
148,Cropland,Built-up,NULL,Non_Wetland,Forest
149,Cropland,Forest,NULL,Non_Wetland,NULL
150,Cropland,Forest,NULL,Non_Wetland,Grassland
151,Cropland,Forest,NULL,Non_Wetland,Wetland
152,Cropland,Forest,NULL,Non_Wetland,Forest
153,Wetland,NULL,NULL,Non_Wetland,NULL
154,Wetland,NULL,NULL,Non_Wetland,Grassland
155,Wetland,NULL,NULL,Non_Wetland,Wetland
156,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
157,Wetland,NULL,NULL,Non_Wetland,Water
158,Wetland,NULL,NULL,Non_Wetland,Forest
159,Wetland,NULL,Non_Water,Non_Wetland,Grassland
160,Wetland,NULL,Non_Water,Non_Wetland,Wetland
161,Wetland,NULL,Non_Water,Non_Wetland,Water
162,Wetland,NULL,Non_Water,Non_Wetland,Forest
163,Wetland,NULL,Water,Non_Wetland,Grassland
164,Wetland,NULL,Water,Non_Wetland,Wetland
165,Wetland,NULL,Water,Non_Wetland,Water
166,Wetland,NULL,Water,Non_Wetland,Forest
167,Wetland,Shrubland,NULL,Non_Wetland,NULL
168,Wetland,Shrubland,NULL,Non_Wetland,Grassland
169,Wetland,Shrubland,NULL,Non_Wetland,Wetland
170,Wetland,Shrubland,NULL,Non_Wetland,Water
171,Wetland,Shrubland,NULL,Non_Wetland,Forest
172,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
173,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
174,Wetland,Shrubland,Non_Water,Non_Wetland,Water
175,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
176,Wetland,Shrubland,Water,Non_Wetland,NULL
177,Wetland,Shrubland,Water,Non_Wetland,Grassland
178,Wetland,Shrubland,Water,Non_Wetland,Wetland
179,Wetland,Shrubland,Water,Non_Wetland,Water
180,Wetland,Shrubland,Water,Non_Wetland,Forest
181,Wetland,Grassland,NULL,Non_Wetland,Grassland
182,Wetland,Grassland,NULL,Non_Wetland,Wetland
183,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
184,Wetland,Grassland,NULL,Non_Wetland,Bareland
185,Wetland,Grassland,NULL,Non_Wetland,Built-up
186,Wetland,Grassland,NULL,Non_Wetland,Water
187,Wetland,Grassland,NULL,Non_Wetland,Forest
188,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
189,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
190,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
191,Wetland,Grassland,Non_Water,Non_Wetland,Water
192,Wetland,Grassland,Non_Water,Non_Wetland,Forest
193,Wetland,Grassland,Water,Non_Wetland,Grassland
194,Wetland,Grassland,Water,Non_Wetland,Wetland
195,Wetland,Grassland,Water,Non_Wetland,Forest
196,Wetland,Cropland,NULL,Non_Wetland,Grassland
197,Wetland,Cropland,NULL,Non_Wetland,Wetland
198,Wetland,Cropland,NULL,Non_Wetland,Built-up
199,Wetland,Cropland,NULL,Non_Wetland,Forest
200,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
201,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
202,Wetland,Cropland,Non_Water,Non_Wetland,Water
203,Wetland,Cropland,Non_Water,Non_Wetland,Forest
204,Wetland,Cropland,Water,Non_Wetland,Grassland
205,Wetland,Cropland,Water,Non_Wetland,Wetland
206,Wetland,Cropland,Water,Non_Wetland,Lichens_and_Mosses
207,Wetland,Cropland,Water,Non_Wetland,Water
208,Wetland,Cropland,Water,Non_Wetland,Forest
209,Wetland,Wetland,NULL,Wetland,NULL
210,Wetland,Wetland,NULL,Wetland,Grassland
211,Wetland,Wetland,NULL,Wetland,Wetland
212,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
213,Wetland,Wetland,NULL,Wetland,Water
214,Wetland,Wetland,NULL,Wetland,Forest
215,Wetland,Wetland,Non_Water,Wetland,NULL
216,Wetland,Wetland,Non_Water,Wetland,Grassland
217,Wetland,Wetland,Non_Water,Wetland,Wetland
218,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
219,Wetland,Wetland,Non_Water,Wetland,Water
220,Wetland,Wetland,Non_Water,Wetland,Forest
221,Wetland,Wetland,Water,Wetland,NULL
222,Wetland,Wetland,Water,Wetland,Grassland
223,Wetland,Wetland,Water,Wetland,Wetland
224,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
225,Wetland,Wetland,Water,Wetland,Water
226,Wetland,Wetland,Water,Wetland,Forest
227,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
228,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
229,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
230,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
231,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
232,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
233,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
234,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
235,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
236,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
237,Wetland,Bareland,NULL,Non_Wetland,NULL
238,Wetland,Bareland,NULL,Non_Wetland,Grassland
239,Wetland,Bareland,NULL,Non_Wetland,Wetland
240,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
241,Wetland,Bareland,NULL,Non_Wetland,Bareland
242,Wetland,Bareland,NULL,Non_Wetland,Built-up
243,Wetland,Bareland,NULL,Non_Wetland,Water
244,Wetland,Bareland,NULL,Non_Wetland,Forest
245,Wetland,Bareland,Non_Water,Non_Wetland,NULL
246,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
247,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
248,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
249,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
250,Wetland,Bareland,Non_Water,Non_Wetland,Water
251,Wetland,Bareland,Non_Water,Non_Wetland,Forest
252,Wetland,Bareland,Water,Non_Wetland,Grassland
253,Wetland,Bareland,Water,Non_Wetland,Wetland
254,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
255,Wetland,Bareland,Water,Non_Wetland,Bareland
256,Wetland,Bareland,Water,Non_Wetland,Water
257,Wetland,Bareland,Water,Non_Wetland,Forest
258,Wetland,Built-up,NULL,Non_Wetland,Grassland
259,Wetland,Built-up,NULL,Non_Wetland,Wetland
260,Wetland,Built-up,NULL,Non_Wetland,Built-up
