Value,SIBERIA_2024_ESRI_Annual_LULC_2024_41VPG_M_R,SIBERIA_2024_GLC_FCS30D_2022_41VPG_M_R,SIBERIA_2024_GSW_Yearly_2021_41VPG_M_R,SIBERIA_2024_GWL_FCS30D_2022_41VPG_M_R,SIBERIA_2024_WorldCover_2021_41VPG_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
5,NULL,NULL,NULL,Non_Wetland,Bareland
6,NULL,NULL,NULL,Non_Wetland,Built-up
7,NULL,NULL,NULL,Non_Wetland,Water
8,NULL,NULL,NULL,Non_Wetland,Forest
9,NULL,NULL,Non_Water,Non_Wetland,NULL
10,NULL,NULL,Non_Water,Non_Wetland,Grassland
11,NULL,NULL,Non_Water,Non_Wetland,Cropland
12,NULL,NULL,Non_Water,Non_Wetland,Wetland
13,NULL,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
14,NULL,NULL,Non_Water,Non_Wetland,Water
15,NULL,NULL,Non_Water,Non_Wetland,Forest
16,NULL,NULL,Water,Non_Wetland,Grassland
17,NULL,NULL,Water,Non_Wetland,Cropland
18,NULL,NULL,Water,Non_Wetland,Wetland
19,NULL,NULL,Water,Non_Wetland,Water
20,NULL,NULL,Water,Non_Wetland,Forest
21,NULL,Shrubland,NULL,Non_Wetland,NULL
22,NULL,Shrubland,NULL,Non_Wetland,Grassland
23,NULL,Shrubland,NULL,Non_Wetland,Cropland
24,NULL,Shrubland,NULL,Non_Wetland,Wetland
25,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
26,NULL,Shrubland,NULL,Non_Wetland,Bareland
27,NULL,Shrubland,NULL,Non_Wetland,Built-up
28,NULL,Shrubland,NULL,Non_Wetland,Water
29,NULL,Shrubland,NULL,Non_Wetland,Forest
30,NULL,Shrubland,Non_Water,Non_Wetland,NULL
31,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
32,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
33,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
34,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
35,NULL,Shrubland,Non_Water,Non_Wetland,Built-up
36,NULL,Shrubland,Non_Water,Non_Wetland,Water
37,NULL,Shrubland,Non_Water,Non_Wetland,Forest
38,NULL,Shrubland,Water,Non_Wetland,Grassland
39,NULL,Shrubland,Water,Non_Wetland,Cropland
40,NULL,Shrubland,Water,Non_Wetland,Wetland
41,NULL,Shrubland,Water,Non_Wetland,Water
42,NULL,Shrubland,Water,Non_Wetland,Forest
43,NULL,Grassland,NULL,Non_Wetland,NULL
44,NULL,Grassland,NULL,Non_Wetland,Grassland
45,NULL,Grassland,NULL,Non_Wetland,Cropland
46,NULL,Grassland,NULL,Non_Wetland,Wetland
47,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
48,NULL,Grassland,NULL,Non_Wetland,Bareland
49,NULL,Grassland,NULL,Non_Wetland,Built-up
50,NULL,Grassland,NULL,Non_Wetland,Forest
51,NULL,Grassland,Non_Water,Non_Wetland,Grassland
52,NULL,Grassland,Non_Water,Non_Wetland,Wetland
53,NULL,Grassland,Non_Water,Non_Wetland,Forest
54,NULL,Grassland,Water,Non_Wetland,Grassland
55,NULL,Grassland,Water,Non_Wetland,Wetland
56,NULL,Cropland,NULL,Non_Wetland,NULL
57,NULL,Cropland,NULL,Non_Wetland,Grassland
58,NULL,Cropland,NULL,Non_Wetland,Cropland
59,NULL,Cropland,NULL,Non_Wetland,Wetland
60,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
61,NULL,Cropland,NULL,Non_Wetland,Bareland
62,NULL,Cropland,NULL,Non_Wetland,Built-up
63,NULL,Cropland,NULL,Non_Wetland,Water
64,NULL,Cropland,NULL,Non_Wetland,Forest
65,NULL,Cropland,Non_Water,Non_Wetland,Grassland
66,NULL,Cropland,Non_Water,Non_Wetland,Cropland
67,NULL,Cropland,Non_Water,Non_Wetland,Wetland
68,NULL,Cropland,Non_Water,Non_Wetland,Lichens_and_Mosses
69,NULL,Cropland,Non_Water,Non_Wetland,Water
70,NULL,Cropland,Non_Water,Non_Wetland,Forest
71,NULL,Cropland,Water,Non_Wetland,Grassland
72,NULL,Cropland,Water,Non_Wetland,Cropland
73,NULL,Cropland,Water,Non_Wetland,Wetland
74,NULL,Cropland,Water,Non_Wetland,Lichens_and_Mosses
75,NULL,Cropland,Water,Non_Wetland,Water
76,NULL,Cropland,Water,Non_Wetland,Forest
77,NULL,Wetland,NULL,Wetland,NULL
78,NULL,Wetland,NULL,Wetland,Grassland
79,NULL,Wetland,NULL,Wetland,Cropland
80,NULL,Wetland,NULL,Wetland,Wetland
81,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
82,NULL,Wetland,NULL,Wetland,Bareland
83,NULL,Wetland,NULL,Wetland,Built-up
84,NULL,Wetland,NULL,Wetland,Water
85,NULL,Wetland,NULL,Wetland,Forest
86,NULL,Wetland,Non_Water,Wetland,NULL
87,NULL,Wetland,Non_Water,Wetland,Grassland
88,NULL,Wetland,Non_Water,Wetland,Cropland
89,NULL,Wetland,Non_Water,Wetland,Wetland
90,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
91,NULL,Wetland,Non_Water,Wetland,Water
92,NULL,Wetland,Non_Water,Wetland,Forest
93,NULL,Wetland,Water,Wetland,NULL
94,NULL,Wetland,Water,Wetland,Grassland
95,NULL,Wetland,Water,Wetland,Cropland
96,NULL,Wetland,Water,Wetland,Wetland
97,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
98,NULL,Wetland,Water,Wetland,Bareland
99,NULL,Wetland,Water,Wetland,Built-up
100,NULL,Wetland,Water,Wetland,Water
101,NULL,Wetland,Water,Wetland,Forest
102,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
103,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
104,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
105,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
106,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
107,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
108,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
109,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
110,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
111,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
112,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
113,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
114,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
115,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
116,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
117,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
118,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
119,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
120,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
121,NULL,Bareland,NULL,Non_Wetland,NULL
122,NULL,Bareland,NULL,Non_Wetland,Grassland
123,NULL,Bareland,NULL,Non_Wetland,Cropland
124,NULL,Bareland,NULL,Non_Wetland,Wetland
125,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
126,NULL,Bareland,NULL,Non_Wetland,Bareland
127,NULL,Bareland,NULL,Non_Wetland,Built-up
128,NULL,Bareland,NULL,Non_Wetland,Water
129,NULL,Bareland,NULL,Non_Wetland,Forest
130,NULL,Bareland,Non_Water,Non_Wetland,NULL
131,NULL,Bareland,Non_Water,Non_Wetland,Grassland
132,NULL,Bareland,Non_Water,Non_Wetland,Cropland
133,NULL,Bareland,Non_Water,Non_Wetland,Wetland
134,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
135,NULL,Bareland,Non_Water,Non_Wetland,Bareland
136,NULL,Bareland,Non_Water,Non_Wetland,Built-up
137,NULL,Bareland,Non_Water,Non_Wetland,Water
138,NULL,Bareland,Non_Water,Non_Wetland,Forest
139,NULL,Bareland,Water,Non_Wetland,NULL
140,NULL,Bareland,Water,Non_Wetland,Grassland
141,NULL,Bareland,Water,Non_Wetland,Cropland
142,NULL,Bareland,Water,Non_Wetland,Wetland
143,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
144,NULL,Bareland,Water,Non_Wetland,Bareland
145,NULL,Bareland,Water,Non_Wetland,Water
146,NULL,Bareland,Water,Non_Wetland,Forest
147,NULL,Built-up,NULL,Non_Wetland,NULL
148,NULL,Built-up,NULL,Non_Wetland,Grassland
149,NULL,Built-up,NULL,Non_Wetland,Cropland
150,NULL,Built-up,NULL,Non_Wetland,Wetland
151,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
152,NULL,Built-up,NULL,Non_Wetland,Bareland
153,NULL,Built-up,NULL,Non_Wetland,Built-up
154,NULL,Built-up,NULL,Non_Wetland,Water
155,NULL,Built-up,NULL,Non_Wetland,Forest
156,NULL,Built-up,Non_Water,Non_Wetland,Grassland
157,NULL,Built-up,Non_Water,Non_Wetland,Cropland
158,NULL,Built-up,Non_Water,Non_Wetland,Wetland
159,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
160,NULL,Built-up,Non_Water,Non_Wetland,Water
161,NULL,Built-up,Non_Water,Non_Wetland,Forest
162,NULL,Built-up,Water,Non_Wetland,Grassland
163,NULL,Built-up,Water,Non_Wetland,Cropland
164,NULL,Built-up,Water,Non_Wetland,Wetland
165,NULL,Built-up,Water,Non_Wetland,Built-up
166,NULL,Built-up,Water,Non_Wetland,Water
167,NULL,Built-up,Water,Non_Wetland,Forest
168,NULL,Water,NULL,Water,NULL
169,NULL,Water,NULL,Water,Grassland
170,NULL,Water,NULL,Water,Cropland
171,NULL,Water,NULL,Water,Wetland
172,NULL,Water,NULL,Water,Lichens_and_Mosses
173,NULL,Water,NULL,Water,Bareland
174,NULL,Water,NULL,Water,Water
175,NULL,Water,NULL,Water,Forest
176,NULL,Water,Non_Water,Water,Grassland
177,NULL,Water,Non_Water,Water,Cropland
178,NULL,Water,Non_Water,Water,Wetland
179,NULL,Water,Non_Water,Water,Lichens_and_Mosses
180,NULL,Water,Non_Water,Water,Water
181,NULL,Water,Non_Water,Water,Forest
182,NULL,Water,Water,Water,NULL
183,NULL,Water,Water,Water,Grassland
184,NULL,Water,Water,Water,Cropland
185,NULL,Water,Water,Water,Wetland
186,NULL,Water,Water,Water,Bareland
187,NULL,Water,Water,Water,Water
188,NULL,Water,Water,Water,Forest
189,NULL,Forest,NULL,Non_Wetland,NULL
190,NULL,Forest,NULL,Non_Wetland,Grassland
191,NULL,Forest,NULL,Non_Wetland,Cropland
192,NULL,Forest,NULL,Non_Wetland,Wetland
193,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
194,NULL,Forest,NULL,Non_Wetland,Bareland
195,NULL,Forest,NULL,Non_Wetland,Built-up
196,NULL,Forest,NULL,Non_Wetland,Water
197,NULL,Forest,NULL,Non_Wetland,Forest
198,NULL,Forest,Non_Water,Non_Wetland,NULL
199,NULL,Forest,Non_Water,Non_Wetland,Grassland
200,NULL,Forest,Non_Water,Non_Wetland,Cropland
201,NULL,Forest,Non_Water,Non_Wetland,Wetland
202,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
203,NULL,Forest,Non_Water,Non_Wetland,Built-up
204,NULL,Forest,Non_Water,Non_Wetland,Water
205,NULL,Forest,Non_Water,Non_Wetland,Forest
206,NULL,Forest,Water,Non_Wetland,NULL
207,NULL,Forest,Water,Non_Wetland,Grassland
208,NULL,Forest,Water,Non_Wetland,Cropland
209,NULL,Forest,Water,Non_Wetland,Wetland
210,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
211,NULL,Forest,Water,Non_Wetland,Water
212,NULL,Forest,Water,Non_Wetland,Forest
213,Cropland,NULL,NULL,Non_Wetland,Grassland
214,Cropland,NULL,NULL,Non_Wetland,Cropland
215,Cropland,NULL,NULL,Non_Wetland,Wetland
216,Cropland,NULL,NULL,Non_Wetland,Forest
217,Cropland,NULL,Non_Water,Non_Wetland,Cropland
218,Cropland,NULL,Non_Water,Non_Wetland,Wetland
219,Cropland,Shrubland,NULL,Non_Wetland,NULL
220,Cropland,Shrubland,NULL,Non_Wetland,Grassland
221,Cropland,Shrubland,NULL,Non_Wetland,Cropland
222,Cropland,Shrubland,NULL,Non_Wetland,Wetland
223,Cropland,Shrubland,NULL,Non_Wetland,Forest
224,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
225,Cropland,Grassland,NULL,Non_Wetland,Grassland
226,Cropland,Grassland,NULL,Non_Wetland,Cropland
227,Cropland,Grassland,NULL,Non_Wetland,Forest
228,Cropland,Cropland,NULL,Non_Wetland,Grassland
229,Cropland,Cropland,NULL,Non_Wetland,Cropland
230,Cropland,Cropland,NULL,Non_Wetland,Wetland
231,Cropland,Cropland,NULL,Non_Wetland,Bareland
232,Cropland,Cropland,NULL,Non_Wetland,Built-up
233,Cropland,Cropland,NULL,Non_Wetland,Forest
234,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
235,Cropland,Cropland,Non_Water,Non_Wetland,Wetland
236,Cropland,Cropland,Water,Non_Wetland,Grassland
237,Cropland,Cropland,Water,Non_Wetland,Cropland
238,Cropland,Cropland,Water,Non_Wetland,Wetland
239,Cropland,Wetland,NULL,Wetland,NULL
240,Cropland,Wetland,NULL,Wetland,Grassland
241,Cropland,Wetland,NULL,Wetland,Cropland
242,Cropland,Wetland,NULL,Wetland,Wetland
243,Cropland,Wetland,NULL,Wetland,Forest
244,Cropland,Wetland,Non_Water,Wetland,Grassland
245,Cropland,Wetland,Non_Water,Wetland,Wetland
246,Cropland,Wetland,Water,Wetland,Wetland
247,Cropland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
248,Cropland,Bareland,NULL,Non_Wetland,Grassland
249,Cropland,Bareland,NULL,Non_Wetland,Cropland
250,Cropland,Bareland,NULL,Non_Wetland,Wetland
251,Cropland,Bareland,NULL,Non_Wetland,Built-up
252,Cropland,Bareland,NULL,Non_Wetland,Forest
253,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
254,Cropland,Bareland,Non_Water,Non_Wetland,Wetland
255,Cropland,Built-up,NULL,Non_Wetland,Grassland
256,Cropland,Built-up,NULL,Non_Wetland,Cropland
257,Cropland,Built-up,NULL,Non_Wetland,Wetland
258,Cropland,Built-up,NULL,Non_Wetland,Built-up
259,Cropland,Built-up,NULL,Non_Wetland,Forest
260,Cropland,Built-up,Non_Water,Non_Wetland,Grassland
261,Cropland,Built-up,Non_Water,Non_Wetland,Wetland
