Value,SIBERIA_2024_ESRI_Annual_LULC_2024_45WVP_M_R,SIBERIA_2024_GLC_FCS30D_2022_45WVP_M_R,SIBERIA_2024_GSW_Yearly_2021_45WVP_M_R,SIBERIA_2024_GWL_FCS30D_2022_45WVP_M_R,SIBERIA_2024_WorldCover_2021_45WVP_M_R
0,NULL,NULL,NULL,Non_Wetland,Grassland
1,NULL,NULL,NULL,Non_Wetland,Wetland
2,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
3,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,Non_Wetland,Water
5,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,Non_Water,Non_Wetland,Wetland
8,NULL,NULL,Non_Water,Non_Wetland,Forest
9,NULL,NULL,Water,Non_Wetland,Grassland
10,NULL,NULL,Water,Non_Wetland,Wetland
11,NULL,NULL,Water,Non_Wetland,Water
12,NULL,NULL,Water,Non_Wetland,Forest
13,NULL,Shrubland,NULL,Non_Wetland,NULL
14,NULL,Shrubland,NULL,Non_Wetland,Grassland
15,NULL,Shrubland,NULL,Non_Wetland,Wetland
16,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
17,NULL,Shrubland,NULL,Non_Wetland,Bareland
18,NULL,Shrubland,NULL,Non_Wetland,Water
19,NULL,Shrubland,NULL,Non_Wetland,Forest
20,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
21,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
22,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
23,NULL,Shrubland,Non_Water,Non_Wetland,Water
24,NULL,Shrubland,Non_Water,Non_Wetland,Forest
25,NULL,Shrubland,Water,Non_Wetland,Grassland
26,NULL,Shrubland,Water,Non_Wetland,Wetland
27,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
28,NULL,Shrubland,Water,Non_Wetland,Bareland
29,NULL,Shrubland,Water,Non_Wetland,Water
30,NULL,Shrubland,Water,Non_Wetland,Forest
31,NULL,Grassland,NULL,Non_Wetland,Grassland
32,NULL,Grassland,NULL,Non_Wetland,Wetland
33,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
34,NULL,Grassland,NULL,Non_Wetland,Bareland
35,NULL,Grassland,NULL,Non_Wetland,Forest
36,NULL,Grassland,Non_Water,Non_Wetland,Grassland
37,NULL,Grassland,Non_Water,Non_Wetland,Wetland
38,NULL,Grassland,Non_Water,Non_Wetland,Forest
39,NULL,Grassland,Water,Non_Wetland,Grassland
40,NULL,Grassland,Water,Non_Wetland,Wetland
41,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
42,NULL,Grassland,Water,Non_Wetland,Bareland
43,NULL,Grassland,Water,Non_Wetland,Forest
44,NULL,Wetland,NULL,Wetland,NULL
45,NULL,Wetland,NULL,Wetland,Grassland
46,NULL,Wetland,NULL,Wetland,Wetland
47,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
48,NULL,Wetland,NULL,Wetland,Bareland
49,NULL,Wetland,NULL,Wetland,Water
50,NULL,Wetland,NULL,Wetland,Forest
51,NULL,Wetland,Non_Water,Wetland,Grassland
52,NULL,Wetland,Non_Water,Wetland,Wetland
53,NULL,Wetland,Non_Water,Wetland,Water
54,NULL,Wetland,Non_Water,Wetland,Forest
55,NULL,Wetland,Water,Wetland,Grassland
56,NULL,Wetland,Water,Wetland,Wetland
57,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
58,NULL,Wetland,Water,Wetland,Bareland
59,NULL,Wetland,Water,Wetland,Water
60,NULL,Wetland,Water,Wetland,Forest
61,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
62,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
63,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
64,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
65,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
66,NULL,Bareland,NULL,Non_Wetland,Grassland
67,NULL,Bareland,NULL,Non_Wetland,Wetland
68,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
69,NULL,Bareland,NULL,Non_Wetland,Bareland
70,NULL,Bareland,NULL,Non_Wetland,Water
71,NULL,Bareland,NULL,Non_Wetland,Forest
72,NULL,Bareland,Non_Water,Non_Wetland,Grassland
73,NULL,Bareland,Non_Water,Non_Wetland,Wetland
74,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
75,NULL,Bareland,Non_Water,Non_Wetland,Bareland
76,NULL,Bareland,Non_Water,Non_Wetland,Water
77,NULL,Bareland,Non_Water,Non_Wetland,Forest
78,NULL,Bareland,Water,Non_Wetland,Grassland
79,NULL,Bareland,Water,Non_Wetland,Wetland
80,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
81,NULL,Bareland,Water,Non_Wetland,Bareland
82,NULL,Bareland,Water,Non_Wetland,Water
83,NULL,Bareland,Water,Non_Wetland,Forest
84,NULL,Built-up,NULL,Non_Wetland,Grassland
85,NULL,Built-up,NULL,Non_Wetland,Wetland
86,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
87,NULL,Built-up,NULL,Non_Wetland,Bareland
88,NULL,Built-up,NULL,Non_Wetland,Water
89,NULL,Built-up,NULL,Non_Wetland,Forest
90,NULL,Built-up,Non_Water,Non_Wetland,Wetland
91,NULL,Built-up,Non_Water,Non_Wetland,Forest
92,NULL,Built-up,Water,Non_Wetland,Grassland
93,NULL,Built-up,Water,Non_Wetland,Wetland
94,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
95,NULL,Built-up,Water,Non_Wetland,Bareland
96,NULL,Built-up,Water,Non_Wetland,Water
97,NULL,Built-up,Water,Non_Wetland,Forest
98,NULL,Water,NULL,Water,Grassland
99,NULL,Water,NULL,Water,Wetland
100,NULL,Water,NULL,Water,Lichens_and_Mosses
101,NULL,Water,NULL,Water,Water
102,NULL,Water,NULL,Water,Forest
103,NULL,Water,Non_Water,Water,Wetland
104,NULL,Water,Non_Water,Water,Water
105,NULL,Water,Non_Water,Water,Forest
106,NULL,Water,Water,Water,Grassland
107,NULL,Water,Water,Water,Wetland
108,NULL,Water,Water,Water,Lichens_and_Mosses
109,NULL,Water,Water,Water,Water
110,NULL,Water,Water,Water,Forest
111,NULL,Forest,NULL,Non_Wetland,NULL
112,NULL,Forest,NULL,Non_Wetland,Grassland
113,NULL,Forest,NULL,Non_Wetland,Wetland
114,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
115,NULL,Forest,NULL,Non_Wetland,Bareland
116,NULL,Forest,NULL,Non_Wetland,Water
117,NULL,Forest,NULL,Non_Wetland,Forest
118,NULL,Forest,Non_Water,Non_Wetland,Grassland
119,NULL,Forest,Non_Water,Non_Wetland,Wetland
120,NULL,Forest,Non_Water,Non_Wetland,Water
121,NULL,Forest,Non_Water,Non_Wetland,Forest
122,NULL,Forest,Water,Non_Wetland,Grassland
123,NULL,Forest,Water,Non_Wetland,Wetland
124,NULL,Forest,Water,Non_Wetland,Bareland
125,NULL,Forest,Water,Non_Wetland,Water
126,NULL,Forest,Water,Non_Wetland,Forest
127,Cropland,NULL,NULL,Non_Wetland,Wetland
128,Cropland,NULL,NULL,Non_Wetland,Forest
129,Cropland,NULL,Water,Non_Wetland,Wetland
130,Cropland,Shrubland,NULL,Non_Wetland,Grassland
131,Cropland,Shrubland,NULL,Non_Wetland,Wetland
132,Cropland,Shrubland,NULL,Non_Wetland,Forest
133,Cropland,Grassland,NULL,Non_Wetland,Grassland
134,Cropland,Wetland,NULL,Wetland,Grassland
135,Cropland,Wetland,NULL,Wetland,Wetland
136,Cropland,Wetland,NULL,Wetland,Lichens_and_Mosses
137,Cropland,Wetland,NULL,Wetland,Forest
138,Cropland,Wetland,Water,Wetland,Water
139,Cropland,Wetland,Water,Wetland,Forest
140,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
141,Cropland,Bareland,NULL,Non_Wetland,Grassland
142,Cropland,Bareland,NULL,Non_Wetland,Wetland
143,Cropland,Bareland,NULL,Non_Wetland,Bareland
144,Cropland,Bareland,NULL,Non_Wetland,Water
145,Cropland,Bareland,NULL,Non_Wetland,Forest
146,Cropland,Bareland,Water,Non_Wetland,Bareland
147,Cropland,Bareland,Water,Non_Wetland,Water
148,Cropland,Bareland,Water,Non_Wetland,Forest
149,Cropland,Built-up,NULL,Non_Wetland,Bareland
150,Cropland,Built-up,Water,Non_Wetland,Bareland
151,Cropland,Forest,NULL,Non_Wetland,Grassland
152,Cropland,Forest,NULL,Non_Wetland,Wetland
153,Cropland,Forest,NULL,Non_Wetland,Forest
154,Wetland,NULL,NULL,Non_Wetland,Grassland
155,Wetland,NULL,NULL,Non_Wetland,Wetland
156,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
157,Wetland,NULL,NULL,Non_Wetland,Water
158,Wetland,NULL,NULL,Non_Wetland,Forest
159,Wetland,NULL,Non_Water,Non_Wetland,Grassland
160,Wetland,NULL,Non_Water,Non_Wetland,Wetland
161,Wetland,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
162,Wetland,NULL,Non_Water,Non_Wetland,Water
163,Wetland,NULL,Non_Water,Non_Wetland,Forest
164,Wetland,NULL,Water,Non_Wetland,Grassland
165,Wetland,NULL,Water,Non_Wetland,Wetland
166,Wetland,NULL,Water,Non_Wetland,Lichens_and_Mosses
167,Wetland,NULL,Water,Non_Wetland,Bareland
168,Wetland,NULL,Water,Non_Wetland,Water
169,Wetland,NULL,Water,Non_Wetland,Forest
170,Wetland,Shrubland,NULL,Non_Wetland,Grassland
171,Wetland,Shrubland,NULL,Non_Wetland,Wetland
172,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
173,Wetland,Shrubland,NULL,Non_Wetland,Water
