Value,SIBERIA_2024_ESRI_Annual_LULC_2024_42VVP_M_R,SIBERIA_2024_GLC_FCS30D_2022_42VVP_M_R,SIBERIA_2024_GSW_Yearly_2021_42VVP_M_R,SIBERIA_2024_GWL_FCS30D_2022_42VVP_M_R,SIBERIA_2024_WorldCover_2021_42VVP_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,Non_Wetland,Water
7,NULL,NULL,NULL,Non_Wetland,Forest
8,NULL,NULL,Non_Water,Non_Wetland,NULL
9,NULL,NULL,Non_Water,Non_Wetland,Grassland
10,NULL,NULL,Non_Water,Non_Wetland,Wetland
11,NULL,NULL,Non_Water,Non_Wetland,Bareland
12,NULL,NULL,Non_Water,Non_Wetland,Forest
13,NULL,NULL,Water,Non_Wetland,Grassland
14,NULL,NULL,Water,Non_Wetland,Wetland
15,NULL,NULL,Water,Non_Wetland,Bareland
16,NULL,NULL,Water,Non_Wetland,Forest
17,NULL,Shrubland,NULL,Non_Wetland,NULL
18,NULL,Shrubland,NULL,Non_Wetland,Grassland
19,NULL,Shrubland,NULL,Non_Wetland,Wetland
20,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
21,NULL,Shrubland,NULL,Non_Wetland,Bareland
22,NULL,Shrubland,NULL,Non_Wetland,Built-up
23,NULL,Shrubland,NULL,Non_Wetland,Water
24,NULL,Shrubland,NULL,Non_Wetland,Forest
25,NULL,Shrubland,Non_Water,Non_Wetland,NULL
26,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
27,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
28,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
29,NULL,Shrubland,Non_Water,Non_Wetland,Water
30,NULL,Shrubland,Non_Water,Non_Wetland,Forest
31,NULL,Shrubland,Water,Non_Wetland,Grassland
32,NULL,Shrubland,Water,Non_Wetland,Wetland
33,NULL,Shrubland,Water,Non_Wetland,Bareland
34,NULL,Shrubland,Water,Non_Wetland,Forest
35,NULL,Grassland,NULL,Non_Wetland,NULL
36,NULL,Grassland,NULL,Non_Wetland,Grassland
37,NULL,Grassland,NULL,Non_Wetland,Cropland
38,NULL,Grassland,NULL,Non_Wetland,Wetland
39,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
40,NULL,Grassland,NULL,Non_Wetland,Bareland
41,NULL,Grassland,NULL,Non_Wetland,Built-up
42,NULL,Grassland,NULL,Non_Wetland,Forest
43,NULL,Grassland,Non_Water,Non_Wetland,Grassland
44,NULL,Grassland,Non_Water,Non_Wetland,Wetland
45,NULL,Grassland,Non_Water,Non_Wetland,Forest
46,NULL,Grassland,Water,Non_Wetland,Grassland
47,NULL,Grassland,Water,Non_Wetland,Wetland
48,NULL,Cropland,NULL,Non_Wetland,NULL
49,NULL,Cropland,NULL,Non_Wetland,Grassland
50,NULL,Cropland,NULL,Non_Wetland,Cropland
51,NULL,Cropland,NULL,Non_Wetland,Wetland
52,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
53,NULL,Cropland,NULL,Non_Wetland,Bareland
54,NULL,Cropland,NULL,Non_Wetland,Built-up
55,NULL,Cropland,NULL,Non_Wetland,Water
56,NULL,Cropland,NULL,Non_Wetland,Forest
57,NULL,Cropland,Non_Water,Non_Wetland,Grassland
58,NULL,Cropland,Non_Water,Non_Wetland,Wetland
59,NULL,Cropland,Non_Water,Non_Wetland,Bareland
60,NULL,Cropland,Non_Water,Non_Wetland,Built-up
61,NULL,Cropland,Non_Water,Non_Wetland,Forest
62,NULL,Cropland,Water,Non_Wetland,Grassland
63,NULL,Cropland,Water,Non_Wetland,Bareland
64,NULL,Cropland,Water,Non_Wetland,Forest
65,NULL,Wetland,NULL,Wetland,NULL
66,NULL,Wetland,NULL,Wetland,Grassland
67,NULL,Wetland,NULL,Wetland,Cropland
68,NULL,Wetland,NULL,Wetland,Wetland
69,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
70,NULL,Wetland,NULL,Wetland,Bareland
71,NULL,Wetland,NULL,Wetland,Built-up
72,NULL,Wetland,NULL,Wetland,Water
73,NULL,Wetland,NULL,Wetland,Forest
74,NULL,Wetland,Non_Water,Wetland,NULL
75,NULL,Wetland,Non_Water,Wetland,Grassland
76,NULL,Wetland,Non_Water,Wetland,Cropland
77,NULL,Wetland,Non_Water,Wetland,Wetland
78,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
79,NULL,Wetland,Non_Water,Wetland,Bareland
80,NULL,Wetland,Non_Water,Wetland,Water
81,NULL,Wetland,Non_Water,Wetland,Forest
82,NULL,Wetland,Water,Wetland,NULL
83,NULL,Wetland,Water,Wetland,Grassland
84,NULL,Wetland,Water,Wetland,Cropland
85,NULL,Wetland,Water,Wetland,Wetland
86,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
87,NULL,Wetland,Water,Wetland,Bareland
88,NULL,Wetland,Water,Wetland,Water
89,NULL,Wetland,Water,Wetland,Forest
90,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
91,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
92,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
93,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
94,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
95,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
96,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
97,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
98,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
99,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
100,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
101,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
102,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
103,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
104,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
105,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
106,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
107,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
108,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
109,NULL,Bareland,NULL,Non_Wetland,NULL
110,NULL,Bareland,NULL,Non_Wetland,Grassland
111,NULL,Bareland,NULL,Non_Wetland,Cropland
112,NULL,Bareland,NULL,Non_Wetland,Wetland
113,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
114,NULL,Bareland,NULL,Non_Wetland,Bareland
115,NULL,Bareland,NULL,Non_Wetland,Built-up
116,NULL,Bareland,NULL,Non_Wetland,Water
117,NULL,Bareland,NULL,Non_Wetland,Forest
118,NULL,Bareland,Non_Water,Non_Wetland,Grassland
119,NULL,Bareland,Non_Water,Non_Wetland,Cropland
120,NULL,Bareland,Non_Water,Non_Wetland,Wetland
121,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
122,NULL,Bareland,Non_Water,Non_Wetland,Bareland
123,NULL,Bareland,Non_Water,Non_Wetland,Built-up
124,NULL,Bareland,Non_Water,Non_Wetland,Water
125,NULL,Bareland,Non_Water,Non_Wetland,Forest
126,NULL,Bareland,Water,Non_Wetland,Grassland
127,NULL,Bareland,Water,Non_Wetland,Cropland
128,NULL,Bareland,Water,Non_Wetland,Wetland
129,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
130,NULL,Bareland,Water,Non_Wetland,Bareland
131,NULL,Bareland,Water,Non_Wetland,Water
132,NULL,Bareland,Water,Non_Wetland,Permanent_ice_and_snow
133,NULL,Bareland,Water,Non_Wetland,Forest
134,NULL,Built-up,NULL,Non_Wetland,NULL
135,NULL,Built-up,NULL,Non_Wetland,Grassland
136,NULL,Built-up,NULL,Non_Wetland,Cropland
137,NULL,Built-up,NULL,Non_Wetland,Wetland
138,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
139,NULL,Built-up,NULL,Non_Wetland,Bareland
140,NULL,Built-up,NULL,Non_Wetland,Built-up
141,NULL,Built-up,NULL,Non_Wetland,Water
142,NULL,Built-up,NULL,Non_Wetland,Forest
143,NULL,Built-up,Non_Water,Non_Wetland,Grassland
144,NULL,Built-up,Non_Water,Non_Wetland,Wetland
145,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
146,NULL,Built-up,Non_Water,Non_Wetland,Bareland
147,NULL,Built-up,Non_Water,Non_Wetland,Built-up
148,NULL,Built-up,Non_Water,Non_Wetland,Water
149,NULL,Built-up,Non_Water,Non_Wetland,Forest
150,NULL,Built-up,Water,Non_Wetland,Grassland
151,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
152,NULL,Built-up,Water,Non_Wetland,Bareland
153,NULL,Built-up,Water,Non_Wetland,Water
154,NULL,Built-up,Water,Non_Wetland,Forest
155,NULL,Water,NULL,Water,NULL
156,NULL,Water,NULL,Water,Grassland
157,NULL,Water,NULL,Water,Wetland
158,NULL,Water,NULL,Water,Lichens_and_Mosses
159,NULL,Water,NULL,Water,Bareland
160,NULL,Water,NULL,Water,Water
161,NULL,Water,NULL,Water,Forest
162,NULL,Water,Non_Water,Water,Grassland
163,NULL,Water,Non_Water,Water,Wetland
164,NULL,Water,Non_Water,Water,Lichens_and_Mosses
165,NULL,Water,Non_Water,Water,Bareland
166,NULL,Water,Non_Water,Water,Water
167,NULL,Water,Non_Water,Water,Forest
168,NULL,Water,Water,Water,Grassland
169,NULL,Water,Water,Water,Wetland
170,NULL,Water,Water,Water,Bareland
171,NULL,Water,Water,Water,Water
172,NULL,Water,Water,Water,Forest
173,NULL,Forest,NULL,Non_Wetland,NULL
174,NULL,Forest,NULL,Non_Wetland,Grassland
175,NULL,Forest,NULL,Non_Wetland,Cropland
176,NULL,Forest,NULL,Non_Wetland,Wetland
177,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
178,NULL,Forest,NULL,Non_Wetland,Bareland
179,NULL,Forest,NULL,Non_Wetland,Built-up
180,NULL,Forest,NULL,Non_Wetland,Water
181,NULL,Forest,NULL,Non_Wetland,Forest
182,NULL,Forest,Non_Water,Non_Wetland,NULL
183,NULL,Forest,Non_Water,Non_Wetland,Grassland
184,NULL,Forest,Non_Water,Non_Wetland,Cropland
185,NULL,Forest,Non_Water,Non_Wetland,Wetland
186,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
187,NULL,Forest,Non_Water,Non_Wetland,Bareland
188,NULL,Forest,Non_Water,Non_Wetland,Water
189,NULL,Forest,Non_Water,Non_Wetland,Forest
190,NULL,Forest,Water,Non_Wetland,Grassland
191,NULL,Forest,Water,Non_Wetland,Wetland
192,NULL,Forest,Water,Non_Wetland,Bareland
193,NULL,Forest,Water,Non_Wetland,Water
194,NULL,Forest,Water,Non_Wetland,Forest
195,Cropland,NULL,NULL,Non_Wetland,NULL
196,Cropland,NULL,NULL,Non_Wetland,Grassland
197,Cropland,NULL,NULL,Non_Wetland,Wetland
198,Cropland,NULL,NULL,Non_Wetland,Bareland
199,Cropland,NULL,NULL,Non_Wetland,Forest
200,Cropland,NULL,Non_Water,Non_Wetland,Wetland
201,Cropland,Shrubland,NULL,Non_Wetland,NULL
202,Cropland,Shrubland,NULL,Non_Wetland,Grassland
203,Cropland,Shrubland,NULL,Non_Wetland,Wetland
204,Cropland,Shrubland,NULL,Non_Wetland,Bareland
205,Cropland,Shrubland,NULL,Non_Wetland,Forest
206,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
207,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
208,Cropland,Grassland,NULL,Non_Wetland,Grassland
209,Cropland,Grassland,NULL,Non_Wetland,Wetland
210,Cropland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
211,Cropland,Grassland,NULL,Non_Wetland,Forest
212,Cropland,Cropland,NULL,Non_Wetland,Grassland
213,Cropland,Cropland,NULL,Non_Wetland,Wetland
214,Cropland,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
215,Cropland,Cropland,NULL,Non_Wetland,Bareland
216,Cropland,Cropland,NULL,Non_Wetland,Forest
217,Cropland,Cropland,Non_Water,Non_Wetland,Bareland
218,Cropland,Wetland,NULL,Wetland,NULL
219,Cropland,Wetland,NULL,Wetland,Grassland
220,Cropland,Wetland,NULL,Wetland,Wetland
221,Cropland,Wetland,NULL,Wetland,Bareland
222,Cropland,Wetland,NULL,Wetland,Built-up
223,Cropland,Wetland,NULL,Wetland,Water
224,Cropland,Wetland,NULL,Wetland,Forest
225,Cropland,Wetland,Non_Water,Wetland,Grassland
226,Cropland,Wetland,Non_Water,Wetland,Wetland
227,Cropland,Wetland,Non_Water,Wetland,Bareland
228,Cropland,Wetland,Water,Wetland,Wetland
229,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
230,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
231,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
232,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
233,Cropland,Bareland,NULL,Non_Wetland,NULL
234,Cropland,Bareland,NULL,Non_Wetland,Grassland
235,Cropland,Bareland,NULL,Non_Wetland,Wetland
236,Cropland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
237,Cropland,Bareland,NULL,Non_Wetland,Bareland
238,Cropland,Bareland,NULL,Non_Wetland,Built-up
239,Cropland,Bareland,NULL,Non_Wetland,Water
240,Cropland,Bareland,NULL,Non_Wetland,Forest
241,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
242,Cropland,Bareland,Non_Water,Non_Wetland,Wetland
243,Cropland,Bareland,Non_Water,Non_Wetland,Bareland
244,Cropland,Bareland,Non_Water,Non_Wetland,Built-up
245,Cropland,Bareland,Water,Non_Wetland,Grassland
246,Cropland,Bareland,Water,Non_Wetland,Wetland
247,Cropland,Bareland,Water,Non_Wetland,Bareland
248,Cropland,Bareland,Water,Non_Wetland,Water
249,Cropland,Built-up,NULL,Non_Wetland,Grassland
250,Cropland,Built-up,NULL,Non_Wetland,Wetland
251,Cropland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
252,Cropland,Built-up,NULL,Non_Wetland,Bareland
253,Cropland,Built-up,NULL,Non_Wetland,Built-up
254,Cropland,Built-up,NULL,Non_Wetland,Forest
255,Cropland,Built-up,Non_Water,Non_Wetland,Grassland
256,Cropland,Built-up,Water,Non_Wetland,Bareland
257,Cropland,Water,Non_Water,Water,Water
258,Cropland,Water,Water,Water,Water
259,Cropland,Forest,NULL,Non_Wetland,NULL
