Value,SIBERIA_2024_ESRI_Annual_LULC_2024_41VNJ_M_R,SIBERIA_2024_GLC_FCS30D_2022_41VNJ_M_R,SIBERIA_2024_GSW_Yearly_2021_41VNJ_M_R,SIBERIA_2024_GWL_FCS30D_2022_41VNJ_M_R,SIBERIA_2024_WorldCover_2021_41VNJ_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
5,NULL,NULL,NULL,Non_Wetland,Bareland
6,NULL,NULL,NULL,Non_Wetland,Built-up
7,NULL,NULL,NULL,Non_Wetland,Water
8,NULL,NULL,NULL,Non_Wetland,Forest
9,NULL,NULL,Non_Water,Non_Wetland,Forest
10,NULL,NULL,Water,Non_Wetland,Grassland
11,NULL,NULL,Water,Non_Wetland,Wetland
12,NULL,NULL,Water,Non_Wetland,Forest
13,NULL,Shrubland,NULL,Non_Wetland,NULL
14,NULL,Shrubland,NULL,Non_Wetland,Grassland
15,NULL,Shrubland,NULL,Non_Wetland,Cropland
16,NULL,Shrubland,NULL,Non_Wetland,Wetland
17,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
18,NULL,Shrubland,NULL,Non_Wetland,Bareland
19,NULL,Shrubland,NULL,Non_Wetland,Built-up
20,NULL,Shrubland,NULL,Non_Wetland,Water
21,NULL,Shrubland,NULL,Non_Wetland,Forest
22,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
23,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
24,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
25,NULL,Shrubland,Non_Water,Non_Wetland,Forest
26,NULL,Shrubland,Water,Non_Wetland,Grassland
27,NULL,Shrubland,Water,Non_Wetland,Wetland
28,NULL,Shrubland,Water,Non_Wetland,Water
29,NULL,Shrubland,Water,Non_Wetland,Forest
30,NULL,Grassland,NULL,Non_Wetland,NULL
31,NULL,Grassland,NULL,Non_Wetland,Grassland
32,NULL,Grassland,NULL,Non_Wetland,Cropland
33,NULL,Grassland,NULL,Non_Wetland,Wetland
34,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
35,NULL,Grassland,NULL,Non_Wetland,Built-up
36,NULL,Grassland,NULL,Non_Wetland,Forest
37,NULL,Cropland,NULL,Non_Wetland,NULL
38,NULL,Cropland,NULL,Non_Wetland,Grassland
39,NULL,Cropland,NULL,Non_Wetland,Cropland
40,NULL,Cropland,NULL,Non_Wetland,Wetland
41,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
42,NULL,Cropland,NULL,Non_Wetland,Bareland
43,NULL,Cropland,NULL,Non_Wetland,Built-up
44,NULL,Cropland,NULL,Non_Wetland,Water
45,NULL,Cropland,NULL,Non_Wetland,Forest
46,NULL,Cropland,Non_Water,Non_Wetland,Grassland
47,NULL,Cropland,Non_Water,Non_Wetland,Cropland
48,NULL,Cropland,Non_Water,Non_Wetland,Wetland
49,NULL,Cropland,Non_Water,Non_Wetland,Lichens_and_Mosses
50,NULL,Cropland,Non_Water,Non_Wetland,Forest
51,NULL,Cropland,Water,Non_Wetland,Grassland
52,NULL,Cropland,Water,Non_Wetland,Forest
53,NULL,Wetland,NULL,Wetland,NULL
54,NULL,Wetland,NULL,Wetland,Grassland
55,NULL,Wetland,NULL,Wetland,Wetland
56,NULL,Wetland,NULL,Wetland,Built-up
57,NULL,Wetland,NULL,Wetland,Water
58,NULL,Wetland,NULL,Wetland,Forest
59,NULL,Wetland,Non_Water,Wetland,NULL
60,NULL,Wetland,Non_Water,Wetland,Grassland
61,NULL,Wetland,Non_Water,Wetland,Wetland
62,NULL,Wetland,Non_Water,Wetland,Water
63,NULL,Wetland,Non_Water,Wetland,Forest
64,NULL,Wetland,Water,Wetland,NULL
65,NULL,Wetland,Water,Wetland,Grassland
66,NULL,Wetland,Water,Wetland,Wetland
67,NULL,Wetland,Water,Wetland,Water
68,NULL,Wetland,Water,Wetland,Forest
69,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
70,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
71,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
72,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
73,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
74,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
75,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
76,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
77,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
78,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Cropland
79,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
80,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
81,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
82,NULL,Bareland,NULL,Non_Wetland,NULL
83,NULL,Bareland,NULL,Non_Wetland,Grassland
84,NULL,Bareland,NULL,Non_Wetland,Cropland
85,NULL,Bareland,NULL,Non_Wetland,Wetland
86,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
87,NULL,Bareland,NULL,Non_Wetland,Bareland
88,NULL,Bareland,NULL,Non_Wetland,Built-up
89,NULL,Bareland,NULL,Non_Wetland,Water
90,NULL,Bareland,NULL,Non_Wetland,Forest
91,NULL,Bareland,Non_Water,Non_Wetland,Grassland
92,NULL,Bareland,Non_Water,Non_Wetland,Wetland
93,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
94,NULL,Bareland,Non_Water,Non_Wetland,Bareland
95,NULL,Bareland,Non_Water,Non_Wetland,Forest
96,NULL,Bareland,Water,Non_Wetland,Grassland
97,NULL,Bareland,Water,Non_Wetland,Wetland
98,NULL,Bareland,Water,Non_Wetland,Water
99,NULL,Bareland,Water,Non_Wetland,Forest
100,NULL,Built-up,NULL,Non_Wetland,Grassland
101,NULL,Built-up,NULL,Non_Wetland,Cropland
102,NULL,Built-up,NULL,Non_Wetland,Wetland
103,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
104,NULL,Built-up,NULL,Non_Wetland,Bareland
105,NULL,Built-up,NULL,Non_Wetland,Built-up
106,NULL,Built-up,NULL,Non_Wetland,Water
107,NULL,Built-up,NULL,Non_Wetland,Forest
108,NULL,Built-up,Non_Water,Non_Wetland,Grassland
109,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
110,NULL,Built-up,Non_Water,Non_Wetland,Bareland
111,NULL,Built-up,Non_Water,Non_Wetland,Built-up
112,NULL,Built-up,Non_Water,Non_Wetland,Water
113,NULL,Built-up,Non_Water,Non_Wetland,Forest
114,NULL,Built-up,Water,Non_Wetland,Grassland
115,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
116,NULL,Built-up,Water,Non_Wetland,Bareland
117,NULL,Built-up,Water,Non_Wetland,Built-up
118,NULL,Built-up,Water,Non_Wetland,Water
119,NULL,Built-up,Water,Non_Wetland,Forest
120,NULL,Water,NULL,Water,Grassland
121,NULL,Water,NULL,Water,Wetland
122,NULL,Water,NULL,Water,Lichens_and_Mosses
123,NULL,Water,NULL,Water,Bareland
124,NULL,Water,NULL,Water,Built-up
125,NULL,Water,NULL,Water,Water
126,NULL,Water,NULL,Water,Forest
127,NULL,Water,Non_Water,Water,Grassland
128,NULL,Water,Non_Water,Water,Wetland
129,NULL,Water,Non_Water,Water,Bareland
130,NULL,Water,Non_Water,Water,Water
131,NULL,Water,Non_Water,Water,Forest
132,NULL,Water,Water,Water,Grassland
133,NULL,Water,Water,Water,Wetland
134,NULL,Water,Water,Water,Water
135,NULL,Water,Water,Water,Forest
136,NULL,Forest,NULL,Non_Wetland,NULL
137,NULL,Forest,NULL,Non_Wetland,Grassland
138,NULL,Forest,NULL,Non_Wetland,Cropland
139,NULL,Forest,NULL,Non_Wetland,Wetland
140,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
141,NULL,Forest,NULL,Non_Wetland,Bareland
142,NULL,Forest,NULL,Non_Wetland,Built-up
143,NULL,Forest,NULL,Non_Wetland,Water
144,NULL,Forest,NULL,Non_Wetland,Forest
145,NULL,Forest,Non_Water,Non_Wetland,NULL
146,NULL,Forest,Non_Water,Non_Wetland,Grassland
147,NULL,Forest,Non_Water,Non_Wetland,Wetland
148,NULL,Forest,Non_Water,Non_Wetland,Forest
149,NULL,Forest,Water,Non_Wetland,Grassland
150,NULL,Forest,Water,Non_Wetland,Wetland
151,NULL,Forest,Water,Non_Wetland,Water
152,NULL,Forest,Water,Non_Wetland,Forest
153,Cropland,NULL,NULL,Non_Wetland,Grassland
154,Cropland,NULL,NULL,Non_Wetland,Forest
155,Cropland,Shrubland,NULL,Non_Wetland,Grassland
156,Cropland,Shrubland,NULL,Non_Wetland,Cropland
157,Cropland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
158,Cropland,Shrubland,NULL,Non_Wetland,Bareland
159,Cropland,Shrubland,NULL,Non_Wetland,Forest
160,Cropland,Grassland,NULL,Non_Wetland,Grassland
161,Cropland,Grassland,NULL,Non_Wetland,Cropland
162,Cropland,Grassland,NULL,Non_Wetland,Forest
163,Cropland,Cropland,NULL,Non_Wetland,Grassland
164,Cropland,Cropland,NULL,Non_Wetland,Cropland
165,Cropland,Cropland,NULL,Non_Wetland,Bareland
166,Cropland,Cropland,NULL,Non_Wetland,Forest
167,Cropland,Wetland,NULL,Wetland,NULL
168,Cropland,Wetland,NULL,Wetland,Grassland
169,Cropland,Wetland,NULL,Wetland,Wetland
170,Cropland,Wetland,NULL,Wetland,Forest
171,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
172,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
173,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
174,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
175,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
176,Cropland,Bareland,NULL,Non_Wetland,Grassland
177,Cropland,Bareland,NULL,Non_Wetland,Cropland
178,Cropland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
179,Cropland,Bareland,NULL,Non_Wetland,Bareland
180,Cropland,Bareland,NULL,Non_Wetland,Built-up
181,Cropland,Bareland,NULL,Non_Wetland,Forest
182,Cropland,Built-up,NULL,Non_Wetland,Grassland
183,Cropland,Built-up,NULL,Non_Wetland,Cropland
184,Cropland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
185,Cropland,Built-up,NULL,Non_Wetland,Bareland
186,Cropland,Built-up,NULL,Non_Wetland,Built-up
187,Cropland,Built-up,NULL,Non_Wetland,Forest
188,Cropland,Forest,NULL,Non_Wetland,NULL
189,Cropland,Forest,NULL,Non_Wetland,Grassland
190,Cropland,Forest,NULL,Non_Wetland,Wetland
191,Cropland,Forest,NULL,Non_Wetland,Bareland
192,Cropland,Forest,NULL,Non_Wetland,Forest
193,Wetland,NULL,NULL,Non_Wetland,Wetland
194,Wetland,NULL,NULL,Non_Wetland,Water
195,Wetland,NULL,NULL,Non_Wetland,Forest
196,Wetland,NULL,Non_Water,Non_Wetland,Forest
197,Wetland,NULL,Water,Non_Wetland,Forest
198,Wetland,Shrubland,NULL,Non_Wetland,NULL
199,Wetland,Shrubland,NULL,Non_Wetland,Grassland
200,Wetland,Shrubland,NULL,Non_Wetland,Wetland
201,Wetland,Shrubland,NULL,Non_Wetland,Forest
202,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
203,Wetland,Shrubland,Water,Non_Wetland,Forest
204,Wetland,Cropland,NULL,Non_Wetland,Forest
205,Wetland,Wetland,NULL,Wetland,NULL
206,Wetland,Wetland,NULL,Wetland,Grassland
207,Wetland,Wetland,NULL,Wetland,Wetland
208,Wetland,Wetland,NULL,Wetland,Water
209,Wetland,Wetland,NULL,Wetland,Forest
210,Wetland,Wetland,Non_Water,Wetland,Wetland
211,Wetland,Wetland,Non_Water,Wetland,Water
212,Wetland,Wetland,Non_Water,Wetland,Forest
213,Wetland,Wetland,Water,Wetland,Grassland
214,Wetland,Wetland,Water,Wetland,Wetland
215,Wetland,Wetland,Water,Wetland,Water
216,Wetland,Wetland,Water,Wetland,Forest
217,Wetland,Bareland,NULL,Non_Wetland,Wetland
218,Wetland,Bareland,NULL,Non_Wetland,Built-up
219,Wetland,Bareland,NULL,Non_Wetland,Forest
220,Wetland,Water,NULL,Water,Grassland
221,Wetland,Water,NULL,Water,Wetland
222,Wetland,Water,NULL,Water,Water
223,Wetland,Water,NULL,Water,Forest
224,Wetland,Water,Non_Water,Water,Wetland
225,Wetland,Water,Non_Water,Water,Water
226,Wetland,Water,Water,Water,NULL
227,Wetland,Water,Water,Water,Wetland
228,Wetland,Water,Water,Water,Water
229,Wetland,Water,Water,Water,Forest
230,Wetland,Forest,NULL,Non_Wetland,NULL
231,Wetland,Forest,NULL,Non_Wetland,Grassland
232,Wetland,Forest,NULL,Non_Wetland,Wetland
233,Wetland,Forest,NULL,Non_Wetland,Water
234,Wetland,Forest,NULL,Non_Wetland,Forest
235,Wetland,Forest,Non_Water,Non_Wetland,Wetland
236,Wetland,Forest,Non_Water,Non_Wetland,Water
237,Wetland,Forest,Non_Water,Non_Wetland,Forest
238,Wetland,Forest,Water,Non_Wetland,Wetland
239,Wetland,Forest,Water,Non_Wetland,Water
240,Wetland,Forest,Water,Non_Wetland,Forest
241,Bareland,NULL,NULL,Non_Wetland,Grassland
242,Bareland,NULL,NULL,Non_Wetland,Bareland
243,Bareland,NULL,NULL,Non_Wetland,Forest
244,Bareland,Shrubland,NULL,Non_Wetland,Grassland
245,Bareland,Shrubland,NULL,Non_Wetland,Cropland
246,Bareland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
247,Bareland,Shrubland,NULL,Non_Wetland,Bareland
248,Bareland,Shrubland,NULL,Non_Wetland,Built-up
249,Bareland,Shrubland,NULL,Non_Wetland,Forest
250,Bareland,Grassland,NULL,Non_Wetland,Grassland
251,Bareland,Grassland,NULL,Non_Wetland,Forest
252,Bareland,Cropland,NULL,Non_Wetland,Grassland
253,Bareland,Cropland,NULL,Non_Wetland,Cropland
254,Bareland,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
255,Bareland,Cropland,NULL,Non_Wetland,Bareland
256,Bareland,Cropland,NULL,Non_Wetland,Built-up
257,Bareland,Cropland,NULL,Non_Wetland,Forest
258,Bareland,Wetland,NULL,Wetland,Grassland
259,Bareland,Wetland,NULL,Wetland,Bareland
260,Bareland,Wetland,NULL,Wetland,Water
261,Bareland,Wetland,NULL,Wetland,Forest
262,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
263,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
