Value,SIBERIA_2024_ESRI_Annual_LULC_2024_42WXS_M_R,SIBERIA_2024_GLC_FCS30D_2022_42WXS_M_R,SIBERIA_2024_GSW_Yearly_2021_42WXS_M_R,SIBERIA_2024_GWL_FCS30D_2022_42WXS_M_R,SIBERIA_2024_WorldCover_2021_42WXS_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,Non_Wetland,Water
6,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,Non_Water,Non_Wetland,Wetland
9,NULL,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
10,NULL,NULL,Non_Water,Non_Wetland,Water
11,NULL,NULL,Non_Water,Non_Wetland,Forest
12,NULL,NULL,Water,Non_Wetland,Grassland
13,NULL,NULL,Water,Non_Wetland,Wetland
14,NULL,NULL,Water,Non_Wetland,Water
15,NULL,NULL,Water,Non_Wetland,Forest
16,NULL,Shrubland,NULL,Non_Wetland,NULL
17,NULL,Shrubland,NULL,Non_Wetland,Grassland
18,NULL,Shrubland,NULL,Non_Wetland,Wetland
19,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
20,NULL,Shrubland,NULL,Non_Wetland,Bareland
21,NULL,Shrubland,NULL,Non_Wetland,Water
22,NULL,Shrubland,NULL,Non_Wetland,Forest
23,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
24,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
25,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
26,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
27,NULL,Shrubland,Non_Water,Non_Wetland,Water
28,NULL,Shrubland,Non_Water,Non_Wetland,Forest
29,NULL,Shrubland,Water,Non_Wetland,Grassland
30,NULL,Shrubland,Water,Non_Wetland,Wetland
31,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
32,NULL,Shrubland,Water,Non_Wetland,Water
33,NULL,Shrubland,Water,Non_Wetland,Forest
34,NULL,Grassland,NULL,Non_Wetland,NULL
35,NULL,Grassland,NULL,Non_Wetland,Grassland
36,NULL,Grassland,NULL,Non_Wetland,Wetland
37,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
38,NULL,Grassland,NULL,Non_Wetland,Bareland
39,NULL,Grassland,NULL,Non_Wetland,Built-up
40,NULL,Grassland,NULL,Non_Wetland,Forest
41,NULL,Grassland,Non_Water,Non_Wetland,Grassland
42,NULL,Grassland,Non_Water,Non_Wetland,Wetland
43,NULL,Grassland,Non_Water,Non_Wetland,Forest
44,NULL,Grassland,Water,Non_Wetland,Grassland
45,NULL,Grassland,Water,Non_Wetland,Wetland
46,NULL,Grassland,Water,Non_Wetland,Forest
47,NULL,Cropland,NULL,Non_Wetland,Grassland
48,NULL,Cropland,NULL,Non_Wetland,Wetland
49,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
50,NULL,Cropland,NULL,Non_Wetland,Forest
51,NULL,Cropland,Non_Water,Non_Wetland,Grassland
52,NULL,Cropland,Non_Water,Non_Wetland,Wetland
53,NULL,Cropland,Water,Non_Wetland,Wetland
54,NULL,Wetland,NULL,Wetland,NULL
55,NULL,Wetland,NULL,Wetland,Grassland
56,NULL,Wetland,NULL,Wetland,Wetland
57,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
58,NULL,Wetland,NULL,Wetland,Bareland
59,NULL,Wetland,NULL,Wetland,Water
60,NULL,Wetland,NULL,Wetland,Forest
61,NULL,Wetland,Non_Water,Wetland,Grassland
62,NULL,Wetland,Non_Water,Wetland,Wetland
63,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
64,NULL,Wetland,Non_Water,Wetland,Bareland
65,NULL,Wetland,Non_Water,Wetland,Water
66,NULL,Wetland,Non_Water,Wetland,Forest
67,NULL,Wetland,Water,Wetland,Grassland
68,NULL,Wetland,Water,Wetland,Wetland
69,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
70,NULL,Wetland,Water,Wetland,Bareland
71,NULL,Wetland,Water,Wetland,Water
72,NULL,Wetland,Water,Wetland,Forest
73,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
74,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
75,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
76,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
77,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
78,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
79,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
80,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
81,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
82,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
83,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
84,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
85,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
86,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
87,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
88,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
89,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
90,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
91,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
92,NULL,Bareland,NULL,Non_Wetland,NULL
93,NULL,Bareland,NULL,Non_Wetland,Grassland
94,NULL,Bareland,NULL,Non_Wetland,Wetland
95,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
96,NULL,Bareland,NULL,Non_Wetland,Bareland
97,NULL,Bareland,NULL,Non_Wetland,Built-up
98,NULL,Bareland,NULL,Non_Wetland,Water
99,NULL,Bareland,NULL,Non_Wetland,Forest
100,NULL,Bareland,Non_Water,Non_Wetland,Grassland
101,NULL,Bareland,Non_Water,Non_Wetland,Wetland
102,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
103,NULL,Bareland,Non_Water,Non_Wetland,Bareland
104,NULL,Bareland,Non_Water,Non_Wetland,Built-up
105,NULL,Bareland,Non_Water,Non_Wetland,Water
106,NULL,Bareland,Non_Water,Non_Wetland,Forest
107,NULL,Bareland,Water,Non_Wetland,Grassland
108,NULL,Bareland,Water,Non_Wetland,Wetland
109,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
110,NULL,Bareland,Water,Non_Wetland,Bareland
111,NULL,Bareland,Water,Non_Wetland,Water
112,NULL,Bareland,Water,Non_Wetland,Forest
113,NULL,Built-up,NULL,Non_Wetland,Grassland
114,NULL,Built-up,NULL,Non_Wetland,Wetland
115,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
116,NULL,Built-up,NULL,Non_Wetland,Bareland
117,NULL,Built-up,NULL,Non_Wetland,Built-up
118,NULL,Built-up,NULL,Non_Wetland,Water
119,NULL,Built-up,NULL,Non_Wetland,Forest
120,NULL,Built-up,Non_Water,Non_Wetland,Grassland
121,NULL,Built-up,Non_Water,Non_Wetland,Wetland
122,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
123,NULL,Built-up,Non_Water,Non_Wetland,Water
124,NULL,Built-up,Non_Water,Non_Wetland,Forest
125,NULL,Built-up,Water,Non_Wetland,Grassland
126,NULL,Built-up,Water,Non_Wetland,Bareland
127,NULL,Water,NULL,Water,Grassland
128,NULL,Water,NULL,Water,Wetland
129,NULL,Water,NULL,Water,Lichens_and_Mosses
130,NULL,Water,NULL,Water,Water
131,NULL,Water,NULL,Water,Forest
132,NULL,Water,Non_Water,Water,Grassland
133,NULL,Water,Non_Water,Water,Wetland
134,NULL,Water,Non_Water,Water,Lichens_and_Mosses
135,NULL,Water,Non_Water,Water,Bareland
136,NULL,Water,Non_Water,Water,Water
137,NULL,Water,Non_Water,Water,Forest
138,NULL,Water,Water,Water,Grassland
139,NULL,Water,Water,Water,Wetland
140,NULL,Water,Water,Water,Lichens_and_Mosses
141,NULL,Water,Water,Water,Bareland
142,NULL,Water,Water,Water,Water
143,NULL,Water,Water,Water,Forest
144,NULL,Forest,NULL,Non_Wetland,NULL
145,NULL,Forest,NULL,Non_Wetland,Grassland
146,NULL,Forest,NULL,Non_Wetland,Wetland
147,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
148,NULL,Forest,NULL,Non_Wetland,Bareland
149,NULL,Forest,NULL,Non_Wetland,Built-up
150,NULL,Forest,NULL,Non_Wetland,Water
151,NULL,Forest,NULL,Non_Wetland,Forest
152,NULL,Forest,Non_Water,Non_Wetland,NULL
153,NULL,Forest,Non_Water,Non_Wetland,Grassland
154,NULL,Forest,Non_Water,Non_Wetland,Wetland
155,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
156,NULL,Forest,Non_Water,Non_Wetland,Bareland
157,NULL,Forest,Non_Water,Non_Wetland,Water
158,NULL,Forest,Non_Water,Non_Wetland,Forest
159,NULL,Forest,Water,Non_Wetland,Grassland
160,NULL,Forest,Water,Non_Wetland,Wetland
161,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
162,NULL,Forest,Water,Non_Wetland,Bareland
163,NULL,Forest,Water,Non_Wetland,Water
164,NULL,Forest,Water,Non_Wetland,Forest
165,Cropland,NULL,NULL,Non_Wetland,Wetland
166,Cropland,Grassland,NULL,Non_Wetland,Grassland
167,Cropland,Grassland,NULL,Non_Wetland,Wetland
168,Cropland,Wetland,NULL,Wetland,Grassland
169,Cropland,Wetland,NULL,Wetland,Wetland
170,Cropland,Wetland,NULL,Wetland,Forest
171,Cropland,Bareland,NULL,Non_Wetland,Grassland
172,Cropland,Bareland,NULL,Non_Wetland,Wetland
173,Cropland,Bareland,NULL,Non_Wetland,Bareland
174,Cropland,Bareland,NULL,Non_Wetland,Forest
175,Cropland,Built-up,NULL,Non_Wetland,Bareland
176,Cropland,Forest,NULL,Non_Wetland,Grassland
177,Cropland,Forest,NULL,Non_Wetland,Wetland
178,Cropland,Forest,NULL,Non_Wetland,Forest
179,Wetland,NULL,NULL,Non_Wetland,NULL
180,Wetland,NULL,NULL,Non_Wetland,Grassland
181,Wetland,NULL,NULL,Non_Wetland,Wetland
182,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
183,Wetland,NULL,NULL,Non_Wetland,Water
184,Wetland,NULL,NULL,Non_Wetland,Forest
185,Wetland,NULL,Non_Water,Non_Wetland,Grassland
186,Wetland,NULL,Non_Water,Non_Wetland,Wetland
187,Wetland,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
188,Wetland,NULL,Non_Water,Non_Wetland,Water
189,Wetland,NULL,Non_Water,Non_Wetland,Forest
190,Wetland,NULL,Water,Non_Wetland,Grassland
191,Wetland,NULL,Water,Non_Wetland,Wetland
192,Wetland,NULL,Water,Non_Wetland,Water
193,Wetland,NULL,Water,Non_Wetland,Forest
194,Wetland,Shrubland,NULL,Non_Wetland,NULL
195,Wetland,Shrubland,NULL,Non_Wetland,Grassland
196,Wetland,Shrubland,NULL,Non_Wetland,Wetland
197,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
198,Wetland,Shrubland,NULL,Non_Wetland,Bareland
199,Wetland,Shrubland,NULL,Non_Wetland,Water
200,Wetland,Shrubland,NULL,Non_Wetland,Forest
201,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
202,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
203,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
204,Wetland,Shrubland,Non_Water,Non_Wetland,Water
205,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
206,Wetland,Shrubland,Water,Non_Wetland,Grassland
207,Wetland,Shrubland,Water,Non_Wetland,Wetland
208,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
209,Wetland,Shrubland,Water,Non_Wetland,Bareland
210,Wetland,Shrubland,Water,Non_Wetland,Water
211,Wetland,Shrubland,Water,Non_Wetland,Forest
212,Wetland,Grassland,NULL,Non_Wetland,NULL
213,Wetland,Grassland,NULL,Non_Wetland,Grassland
214,Wetland,Grassland,NULL,Non_Wetland,Wetland
215,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
216,Wetland,Grassland,NULL,Non_Wetland,Bareland
217,Wetland,Grassland,NULL,Non_Wetland,Water
218,Wetland,Grassland,NULL,Non_Wetland,Forest
219,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
220,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
221,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
222,Wetland,Grassland,Water,Non_Wetland,Grassland
223,Wetland,Grassland,Water,Non_Wetland,Wetland
224,Wetland,Grassland,Water,Non_Wetland,Water
225,Wetland,Grassland,Water,Non_Wetland,Forest
226,Wetland,Cropland,NULL,Non_Wetland,Grassland
227,Wetland,Cropland,NULL,Non_Wetland,Wetland
228,Wetland,Cropland,NULL,Non_Wetland,Bareland
229,Wetland,Cropland,NULL,Non_Wetland,Forest
230,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
231,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
232,Wetland,Cropland,Water,Non_Wetland,Grassland
233,Wetland,Wetland,NULL,Wetland,NULL
234,Wetland,Wetland,NULL,Wetland,Grassland
235,Wetland,Wetland,NULL,Wetland,Wetland
236,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
237,Wetland,Wetland,NULL,Wetland,Bareland
238,Wetland,Wetland,NULL,Wetland,Water
239,Wetland,Wetland,NULL,Wetland,Forest
240,Wetland,Wetland,Non_Water,Wetland,Grassland
241,Wetland,Wetland,Non_Water,Wetland,Wetland
242,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
243,Wetland,Wetland,Non_Water,Wetland,Bareland
244,Wetland,Wetland,Non_Water,Wetland,Water
245,Wetland,Wetland,Non_Water,Wetland,Forest
246,Wetland,Wetland,Water,Wetland,Grassland
247,Wetland,Wetland,Water,Wetland,Wetland
248,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
249,Wetland,Wetland,Water,Wetland,Bareland
250,Wetland,Wetland,Water,Wetland,Water
251,Wetland,Wetland,Water,Wetland,Forest
252,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
253,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
254,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
255,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
256,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
