Value,SIBERIA_2024_ESRI_Annual_LULC_2024_41WNM_M_R,SIBERIA_2024_GLC_FCS30D_2022_41WNM_M_R,SIBERIA_2024_GSW_Yearly_2021_41WNM_M_R,SIBERIA_2024_GWL_FCS30D_2022_41WNM_M_R,SIBERIA_2024_WorldCover_2021_41WNM_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Water
5,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,Non_Water,Non_Wetland,Wetland
8,NULL,NULL,Non_Water,Non_Wetland,Forest
9,NULL,NULL,Water,Non_Wetland,Grassland
10,NULL,NULL,Water,Non_Wetland,Wetland
11,NULL,NULL,Water,Non_Wetland,Forest
12,NULL,Shrubland,NULL,Non_Wetland,NULL
13,NULL,Shrubland,NULL,Non_Wetland,Grassland
14,NULL,Shrubland,NULL,Non_Wetland,Wetland
15,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
16,NULL,Shrubland,NULL,Non_Wetland,Water
17,NULL,Shrubland,NULL,Non_Wetland,Forest
18,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
19,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
20,NULL,Shrubland,Non_Water,Non_Wetland,Forest
21,NULL,Shrubland,Water,Non_Wetland,NULL
22,NULL,Shrubland,Water,Non_Wetland,Grassland
23,NULL,Shrubland,Water,Non_Wetland,Wetland
24,NULL,Shrubland,Water,Non_Wetland,Forest
25,NULL,Grassland,NULL,Non_Wetland,NULL
26,NULL,Grassland,NULL,Non_Wetland,Grassland
27,NULL,Grassland,NULL,Non_Wetland,Wetland
28,NULL,Grassland,NULL,Non_Wetland,Built-up
29,NULL,Grassland,NULL,Non_Wetland,Forest
30,NULL,Grassland,Non_Water,Non_Wetland,Grassland
31,NULL,Grassland,Non_Water,Non_Wetland,Forest
32,NULL,Cropland,NULL,Non_Wetland,NULL
33,NULL,Cropland,NULL,Non_Wetland,Grassland
34,NULL,Cropland,NULL,Non_Wetland,Wetland
35,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
36,NULL,Cropland,NULL,Non_Wetland,Forest
37,NULL,Cropland,Non_Water,Non_Wetland,Wetland
38,NULL,Cropland,Non_Water,Non_Wetland,Forest
39,NULL,Cropland,Water,Non_Wetland,Forest
40,NULL,Wetland,NULL,Wetland,NULL
41,NULL,Wetland,NULL,Wetland,Grassland
42,NULL,Wetland,NULL,Wetland,Wetland
43,NULL,Wetland,NULL,Wetland,Water
44,NULL,Wetland,NULL,Wetland,Forest
45,NULL,Wetland,Non_Water,Wetland,Grassland
46,NULL,Wetland,Non_Water,Wetland,Wetland
47,NULL,Wetland,Non_Water,Wetland,Water
48,NULL,Wetland,Non_Water,Wetland,Forest
49,NULL,Wetland,Water,Wetland,Grassland
50,NULL,Wetland,Water,Wetland,Wetland
51,NULL,Wetland,Water,Wetland,Forest
52,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
53,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
54,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
55,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
56,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
57,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
58,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
59,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
60,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
61,NULL,Bareland,NULL,Non_Wetland,NULL
62,NULL,Bareland,NULL,Non_Wetland,Grassland
63,NULL,Bareland,NULL,Non_Wetland,Wetland
64,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
65,NULL,Bareland,NULL,Non_Wetland,Bareland
66,NULL,Bareland,NULL,Non_Wetland,Built-up
67,NULL,Bareland,NULL,Non_Wetland,Water
68,NULL,Bareland,NULL,Non_Wetland,Forest
69,NULL,Bareland,Non_Water,Non_Wetland,Grassland
70,NULL,Bareland,Non_Water,Non_Wetland,Wetland
71,NULL,Bareland,Non_Water,Non_Wetland,Forest
72,NULL,Bareland,Water,Non_Wetland,Wetland
73,NULL,Bareland,Water,Non_Wetland,Forest
74,NULL,Built-up,NULL,Non_Wetland,NULL
75,NULL,Built-up,NULL,Non_Wetland,Grassland
76,NULL,Built-up,NULL,Non_Wetland,Wetland
77,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
78,NULL,Built-up,NULL,Non_Wetland,Bareland
79,NULL,Built-up,NULL,Non_Wetland,Built-up
80,NULL,Built-up,NULL,Non_Wetland,Water
81,NULL,Built-up,NULL,Non_Wetland,Forest
82,NULL,Built-up,Non_Water,Non_Wetland,Grassland
83,NULL,Built-up,Non_Water,Non_Wetland,Bareland
84,NULL,Built-up,Non_Water,Non_Wetland,Built-up
85,NULL,Built-up,Non_Water,Non_Wetland,Forest
86,NULL,Water,NULL,Water,Grassland
87,NULL,Water,NULL,Water,Wetland
88,NULL,Water,NULL,Water,Lichens_and_Mosses
89,NULL,Water,NULL,Water,Water
90,NULL,Water,NULL,Water,Forest
91,NULL,Water,Non_Water,Water,Wetland
92,NULL,Water,Water,Water,Grassland
93,NULL,Water,Water,Water,Wetland
94,NULL,Water,Water,Water,Forest
95,NULL,Forest,NULL,Non_Wetland,NULL
96,NULL,Forest,NULL,Non_Wetland,Grassland
97,NULL,Forest,NULL,Non_Wetland,Wetland
98,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
99,NULL,Forest,NULL,Non_Wetland,Water
100,NULL,Forest,NULL,Non_Wetland,Forest
101,NULL,Forest,Non_Water,Non_Wetland,Grassland
102,NULL,Forest,Non_Water,Non_Wetland,Wetland
103,NULL,Forest,Non_Water,Non_Wetland,Water
104,NULL,Forest,Non_Water,Non_Wetland,Forest
105,NULL,Forest,Water,Non_Wetland,Grassland
106,NULL,Forest,Water,Non_Wetland,Wetland
107,NULL,Forest,Water,Non_Wetland,Water
108,NULL,Forest,Water,Non_Wetland,Forest
109,Cropland,NULL,NULL,Non_Wetland,Grassland
110,Cropland,Shrubland,NULL,Non_Wetland,Grassland
111,Cropland,Shrubland,NULL,Non_Wetland,Wetland
112,Cropland,Shrubland,NULL,Non_Wetland,Forest
113,Cropland,Wetland,NULL,Wetland,Grassland
114,Cropland,Wetland,NULL,Wetland,Wetland
115,Cropland,Wetland,NULL,Wetland,Water
116,Cropland,Wetland,NULL,Wetland,Forest
117,Cropland,Wetland,Non_Water,Wetland,Grassland
118,Cropland,Wetland,Non_Water,Wetland,Wetland
119,Cropland,Wetland,Non_Water,Wetland,Forest
120,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
121,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
122,Cropland,Bareland,NULL,Non_Wetland,Grassland
123,Cropland,Forest,NULL,Non_Wetland,Grassland
124,Cropland,Forest,NULL,Non_Wetland,Wetland
125,Cropland,Forest,NULL,Non_Wetland,Forest
126,Wetland,NULL,NULL,Non_Wetland,NULL
127,Wetland,NULL,NULL,Non_Wetland,Grassland
128,Wetland,NULL,NULL,Non_Wetland,Wetland
129,Wetland,NULL,NULL,Non_Wetland,Water
130,Wetland,NULL,NULL,Non_Wetland,Forest
131,Wetland,NULL,Non_Water,Non_Wetland,Grassland
132,Wetland,NULL,Non_Water,Non_Wetland,Wetland
133,Wetland,NULL,Non_Water,Non_Wetland,Water
134,Wetland,NULL,Non_Water,Non_Wetland,Forest
135,Wetland,NULL,Water,Non_Wetland,Grassland
136,Wetland,NULL,Water,Non_Wetland,Wetland
137,Wetland,NULL,Water,Non_Wetland,Water
138,Wetland,NULL,Water,Non_Wetland,Forest
139,Wetland,Shrubland,NULL,Non_Wetland,NULL
140,Wetland,Shrubland,NULL,Non_Wetland,Grassland
141,Wetland,Shrubland,NULL,Non_Wetland,Wetland
142,Wetland,Shrubland,NULL,Non_Wetland,Water
143,Wetland,Shrubland,NULL,Non_Wetland,Forest
144,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
145,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
146,Wetland,Shrubland,Non_Water,Non_Wetland,Water
147,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
148,Wetland,Shrubland,Water,Non_Wetland,Grassland
149,Wetland,Shrubland,Water,Non_Wetland,Wetland
150,Wetland,Shrubland,Water,Non_Wetland,Water
151,Wetland,Shrubland,Water,Non_Wetland,Forest
152,Wetland,Grassland,NULL,Non_Wetland,Grassland
153,Wetland,Grassland,NULL,Non_Wetland,Wetland
154,Wetland,Grassland,NULL,Non_Wetland,Built-up
155,Wetland,Grassland,NULL,Non_Wetland,Water
156,Wetland,Grassland,NULL,Non_Wetland,Forest
157,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
158,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
159,Wetland,Grassland,Non_Water,Non_Wetland,Forest
160,Wetland,Grassland,Water,Non_Wetland,Grassland
161,Wetland,Grassland,Water,Non_Wetland,Wetland
162,Wetland,Cropland,NULL,Non_Wetland,Grassland
163,Wetland,Cropland,NULL,Non_Wetland,Wetland
164,Wetland,Cropland,NULL,Non_Wetland,Built-up
165,Wetland,Cropland,NULL,Non_Wetland,Water
166,Wetland,Cropland,NULL,Non_Wetland,Forest
167,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
168,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
169,Wetland,Cropland,Non_Water,Non_Wetland,Forest
170,Wetland,Cropland,Water,Non_Wetland,Grassland
171,Wetland,Cropland,Water,Non_Wetland,Wetland
172,Wetland,Cropland,Water,Non_Wetland,Water
173,Wetland,Wetland,NULL,Wetland,NULL
174,Wetland,Wetland,NULL,Wetland,Grassland
175,Wetland,Wetland,NULL,Wetland,Cropland
176,Wetland,Wetland,NULL,Wetland,Wetland
177,Wetland,Wetland,NULL,Wetland,Water
178,Wetland,Wetland,NULL,Wetland,Forest
179,Wetland,Wetland,Non_Water,Wetland,NULL
180,Wetland,Wetland,Non_Water,Wetland,Grassland
181,Wetland,Wetland,Non_Water,Wetland,Cropland
182,Wetland,Wetland,Non_Water,Wetland,Wetland
183,Wetland,Wetland,Non_Water,Wetland,Water
184,Wetland,Wetland,Non_Water,Wetland,Forest
185,Wetland,Wetland,Water,Wetland,Grassland
186,Wetland,Wetland,Water,Wetland,Cropland
187,Wetland,Wetland,Water,Wetland,Wetland
188,Wetland,Wetland,Water,Wetland,Water
189,Wetland,Wetland,Water,Wetland,Forest
190,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
191,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
192,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
193,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
194,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
195,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
196,Wetland,Bareland,NULL,Non_Wetland,NULL
197,Wetland,Bareland,NULL,Non_Wetland,Grassland
198,Wetland,Bareland,NULL,Non_Wetland,Wetland
199,Wetland,Bareland,NULL,Non_Wetland,Water
200,Wetland,Bareland,NULL,Non_Wetland,Forest
201,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
202,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
203,Wetland,Bareland,Non_Water,Non_Wetland,Water
204,Wetland,Bareland,Non_Water,Non_Wetland,Forest
205,Wetland,Bareland,Water,Non_Wetland,Grassland
206,Wetland,Bareland,Water,Non_Wetland,Wetland
207,Wetland,Bareland,Water,Non_Wetland,Water
208,Wetland,Bareland,Water,Non_Wetland,Forest
209,Wetland,Built-up,NULL,Non_Wetland,Grassland
210,Wetland,Built-up,NULL,Non_Wetland,Bareland
211,Wetland,Built-up,NULL,Non_Wetland,Built-up
212,Wetland,Built-up,NULL,Non_Wetland,Forest
213,Wetland,Built-up,Non_Water,Non_Wetland,Built-up
214,Wetland,Built-up,Non_Water,Non_Wetland,Forest
215,Wetland,Water,NULL,Water,Grassland
216,Wetland,Water,NULL,Water,Wetland
217,Wetland,Water,NULL,Water,Water
218,Wetland,Water,NULL,Water,Forest
219,Wetland,Water,Non_Water,Water,Grassland
220,Wetland,Water,Non_Water,Water,Wetland
221,Wetland,Water,Non_Water,Water,Water
222,Wetland,Water,Non_Water,Water,Forest
223,Wetland,Water,Water,Water,Grassland
224,Wetland,Water,Water,Water,Wetland
225,Wetland,Water,Water,Water,Water
226,Wetland,Water,Water,Water,Forest
227,Wetland,Forest,NULL,Non_Wetland,NULL
228,Wetland,Forest,NULL,Non_Wetland,Grassland
229,Wetland,Forest,NULL,Non_Wetland,Wetland
230,Wetland,Forest,NULL,Non_Wetland,Built-up
231,Wetland,Forest,NULL,Non_Wetland,Water
232,Wetland,Forest,NULL,Non_Wetland,Forest
233,Wetland,Forest,Non_Water,Non_Wetland,Grassland
234,Wetland,Forest,Non_Water,Non_Wetland,Wetland
235,Wetland,Forest,Non_Water,Non_Wetland,Water
236,Wetland,Forest,Non_Water,Non_Wetland,Forest
237,Wetland,Forest,Water,Non_Wetland,Grassland
238,Wetland,Forest,Water,Non_Wetland,Wetland
239,Wetland,Forest,Water,Non_Wetland,Water
240,Wetland,Forest,Water,Non_Wetland,Forest
241,Bareland,NULL,NULL,Non_Wetland,Water
242,Bareland,NULL,NULL,Non_Wetland,Forest
243,Bareland,Shrubland,NULL,Non_Wetland,Grassland
244,Bareland,Shrubland,NULL,Non_Wetland,Forest
245,Bareland,Wetland,NULL,Wetland,Grassland
246,Bareland,Wetland,NULL,Wetland,Wetland
247,Bareland,Wetland,NULL,Wetland,Water
248,Bareland,Wetland,NULL,Wetland,Forest
249,Bareland,Water,Water,Water,Water
250,Bareland,Water,Water,Water,Forest
251,Bareland,Forest,NULL,Non_Wetland,Wetland
252,Bareland,Forest,NULL,Non_Wetland,Water
253,Bareland,Forest,NULL,Non_Wetland,Forest
254,Built-up,NULL,NULL,Non_Wetland,Grassland
255,Built-up,NULL,NULL,Non_Wetland,Bareland
256,Built-up,NULL,NULL,Non_Wetland,Built-up
257,Built-up,NULL,NULL,Non_Wetland,Water
258,Built-up,NULL,NULL,Non_Wetland,Forest
259,Built-up,Shrubland,NULL,Non_Wetland,Grassland
260,Built-up,Shrubland,NULL,Non_Wetland,Wetland
261,Built-up,Shrubland,NULL,Non_Wetland,Bareland
262,Built-up,Shrubland,NULL,Non_Wetland,Built-up
263,Built-up,Shrubland,NULL,Non_Wetland,Water
264,Built-up,Shrubland,NULL,Non_Wetland,Forest
265,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
