Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44VLL_M_R,SIBERIA_2024_GLC_FCS30D_2022_44VLL_M_R,SIBERIA_2024_GSW_Yearly_2021_44VLL_M_R,SIBERIA_2024_GWL_FCS30D_2022_44VLL_M_R,SIBERIA_2024_WorldCover_2021_44VLL_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,Non_Wetland,Water
5,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,Non_Water,Non_Wetland,NULL
7,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,Non_Water,Non_Wetland,Wetland
9,NULL,NULL,Non_Water,Non_Wetland,Forest
10,NULL,NULL,Water,Non_Wetland,Grassland
11,NULL,NULL,Water,Non_Wetland,Wetland
12,NULL,NULL,Water,Non_Wetland,Forest
13,NULL,Shrubland,NULL,Non_Wetland,NULL
14,NULL,Shrubland,NULL,Non_Wetland,Grassland
15,NULL,Shrubland,NULL,Non_Wetland,Wetland
16,NULL,Shrubland,NULL,Non_Wetland,Forest
17,NULL,Grassland,NULL,Non_Wetland,Grassland
18,NULL,Grassland,NULL,Non_Wetland,Cropland
19,NULL,Grassland,NULL,Non_Wetland,Wetland
20,NULL,Grassland,NULL,Non_Wetland,Bareland
21,NULL,Grassland,NULL,Non_Wetland,Built-up
22,NULL,Grassland,NULL,Non_Wetland,Water
23,NULL,Grassland,NULL,Non_Wetland,Forest
24,NULL,Grassland,Non_Water,Non_Wetland,Grassland
25,NULL,Grassland,Non_Water,Non_Wetland,Bareland
26,NULL,Grassland,Water,Non_Wetland,Forest
27,NULL,Cropland,NULL,Non_Wetland,NULL
28,NULL,Cropland,NULL,Non_Wetland,Grassland
29,NULL,Cropland,NULL,Non_Wetland,Cropland
30,NULL,Cropland,NULL,Non_Wetland,Wetland
31,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
32,NULL,Cropland,NULL,Non_Wetland,Bareland
33,NULL,Cropland,NULL,Non_Wetland,Built-up
34,NULL,Cropland,NULL,Non_Wetland,Water
35,NULL,Cropland,NULL,Non_Wetland,Forest
36,NULL,Cropland,Non_Water,Non_Wetland,Grassland
37,NULL,Cropland,Non_Water,Non_Wetland,Wetland
38,NULL,Cropland,Non_Water,Non_Wetland,Forest
39,NULL,Cropland,Water,Non_Wetland,Grassland
40,NULL,Cropland,Water,Non_Wetland,Wetland
41,NULL,Cropland,Water,Non_Wetland,Water
42,NULL,Cropland,Water,Non_Wetland,Forest
43,NULL,Wetland,NULL,Wetland,NULL
44,NULL,Wetland,NULL,Wetland,Grassland
45,NULL,Wetland,NULL,Wetland,Cropland
46,NULL,Wetland,NULL,Wetland,Wetland
47,NULL,Wetland,NULL,Wetland,Built-up
48,NULL,Wetland,NULL,Wetland,Water
49,NULL,Wetland,NULL,Wetland,Forest
50,NULL,Wetland,Non_Water,Wetland,NULL
51,NULL,Wetland,Non_Water,Wetland,Grassland
52,NULL,Wetland,Non_Water,Wetland,Wetland
53,NULL,Wetland,Non_Water,Wetland,Forest
54,NULL,Wetland,Water,Wetland,NULL
55,NULL,Wetland,Water,Wetland,Grassland
56,NULL,Wetland,Water,Wetland,Wetland
57,NULL,Wetland,Water,Wetland,Water
58,NULL,Wetland,Water,Wetland,Forest
59,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
60,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
61,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
62,NULL,Bareland,NULL,Non_Wetland,NULL
63,NULL,Bareland,NULL,Non_Wetland,Grassland
64,NULL,Bareland,NULL,Non_Wetland,Cropland
65,NULL,Bareland,NULL,Non_Wetland,Wetland
66,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
67,NULL,Bareland,NULL,Non_Wetland,Bareland
68,NULL,Bareland,NULL,Non_Wetland,Built-up
69,NULL,Bareland,NULL,Non_Wetland,Water
70,NULL,Bareland,NULL,Non_Wetland,Forest
71,NULL,Bareland,Non_Water,Non_Wetland,NULL
72,NULL,Bareland,Non_Water,Non_Wetland,Grassland
73,NULL,Bareland,Non_Water,Non_Wetland,Wetland
74,NULL,Bareland,Non_Water,Non_Wetland,Bareland
75,NULL,Bareland,Non_Water,Non_Wetland,Forest
76,NULL,Bareland,Water,Non_Wetland,Grassland
77,NULL,Bareland,Water,Non_Wetland,Wetland
78,NULL,Bareland,Water,Non_Wetland,Water
79,NULL,Bareland,Water,Non_Wetland,Forest
80,NULL,Built-up,NULL,Non_Wetland,Grassland
81,NULL,Built-up,NULL,Non_Wetland,Cropland
82,NULL,Built-up,NULL,Non_Wetland,Wetland
83,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
84,NULL,Built-up,NULL,Non_Wetland,Bareland
85,NULL,Built-up,NULL,Non_Wetland,Built-up
86,NULL,Built-up,NULL,Non_Wetland,Water
87,NULL,Built-up,NULL,Non_Wetland,Forest
88,NULL,Built-up,Non_Water,Non_Wetland,Grassland
89,NULL,Built-up,Non_Water,Non_Wetland,Bareland
90,NULL,Built-up,Non_Water,Non_Wetland,Forest
91,NULL,Built-up,Water,Non_Wetland,Built-up
92,NULL,Built-up,Water,Non_Wetland,Water
93,NULL,Water,NULL,Water,Wetland
94,NULL,Water,NULL,Water,Water
95,NULL,Water,NULL,Water,Forest
96,NULL,Water,Non_Water,Water,Grassland
97,NULL,Water,Non_Water,Water,Wetland
98,NULL,Water,Water,Water,Grassland
99,NULL,Water,Water,Water,Wetland
100,NULL,Water,Water,Water,Water
101,NULL,Water,Water,Water,Forest
102,NULL,Forest,NULL,Non_Wetland,NULL
103,NULL,Forest,NULL,Non_Wetland,Grassland
104,NULL,Forest,NULL,Non_Wetland,Cropland
105,NULL,Forest,NULL,Non_Wetland,Wetland
106,NULL,Forest,NULL,Non_Wetland,Bareland
107,NULL,Forest,NULL,Non_Wetland,Built-up
108,NULL,Forest,NULL,Non_Wetland,Water
109,NULL,Forest,NULL,Non_Wetland,Forest
110,NULL,Forest,Non_Water,Non_Wetland,NULL
111,NULL,Forest,Non_Water,Non_Wetland,Grassland
112,NULL,Forest,Non_Water,Non_Wetland,Cropland
113,NULL,Forest,Non_Water,Non_Wetland,Wetland
114,NULL,Forest,Non_Water,Non_Wetland,Forest
115,NULL,Forest,Water,Non_Wetland,NULL
116,NULL,Forest,Water,Non_Wetland,Grassland
117,NULL,Forest,Water,Non_Wetland,Cropland
118,NULL,Forest,Water,Non_Wetland,Wetland
119,NULL,Forest,Water,Non_Wetland,Built-up
120,NULL,Forest,Water,Non_Wetland,Water
121,NULL,Forest,Water,Non_Wetland,Forest
122,Cropland,NULL,NULL,Non_Wetland,Forest
123,Cropland,Cropland,NULL,Non_Wetland,Grassland
124,Cropland,Cropland,NULL,Non_Wetland,Wetland
125,Cropland,Cropland,NULL,Non_Wetland,Forest
126,Cropland,Wetland,NULL,Wetland,NULL
127,Cropland,Wetland,NULL,Wetland,Grassland
128,Cropland,Wetland,NULL,Wetland,Wetland
129,Cropland,Wetland,NULL,Wetland,Forest
130,Cropland,Bareland,NULL,Non_Wetland,Grassland
131,Cropland,Bareland,NULL,Non_Wetland,Wetland
132,Cropland,Bareland,NULL,Non_Wetland,Built-up
133,Cropland,Bareland,NULL,Non_Wetland,Forest
134,Cropland,Built-up,NULL,Non_Wetland,Grassland
135,Cropland,Built-up,NULL,Non_Wetland,Wetland
136,Cropland,Built-up,NULL,Non_Wetland,Built-up
137,Cropland,Built-up,NULL,Non_Wetland,Forest
138,Cropland,Forest,NULL,Non_Wetland,Grassland
139,Cropland,Forest,NULL,Non_Wetland,Wetland
140,Cropland,Forest,NULL,Non_Wetland,Built-up
141,Cropland,Forest,NULL,Non_Wetland,Forest
142,Wetland,NULL,NULL,Non_Wetland,NULL
143,Wetland,NULL,NULL,Non_Wetland,Grassland
144,Wetland,NULL,NULL,Non_Wetland,Wetland
145,Wetland,NULL,NULL,Non_Wetland,Water
146,Wetland,NULL,NULL,Non_Wetland,Forest
147,Wetland,NULL,Non_Water,Non_Wetland,Grassland
148,Wetland,NULL,Non_Water,Non_Wetland,Wetland
149,Wetland,NULL,Non_Water,Non_Wetland,Water
150,Wetland,NULL,Non_Water,Non_Wetland,Forest
151,Wetland,NULL,Water,Non_Wetland,Grassland
152,Wetland,NULL,Water,Non_Wetland,Wetland
153,Wetland,NULL,Water,Non_Wetland,Water
154,Wetland,NULL,Water,Non_Wetland,Forest
155,Wetland,Shrubland,NULL,Non_Wetland,Grassland
156,Wetland,Shrubland,NULL,Non_Wetland,Forest
157,Wetland,Shrubland,Water,Non_Wetland,Forest
158,Wetland,Grassland,NULL,Non_Wetland,Grassland
159,Wetland,Grassland,NULL,Non_Wetland,Wetland
160,Wetland,Grassland,NULL,Non_Wetland,Bareland
161,Wetland,Grassland,NULL,Non_Wetland,Built-up
162,Wetland,Grassland,NULL,Non_Wetland,Water
163,Wetland,Grassland,NULL,Non_Wetland,Forest
164,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
165,Wetland,Grassland,Water,Non_Wetland,Grassland
166,Wetland,Grassland,Water,Non_Wetland,Wetland
167,Wetland,Grassland,Water,Non_Wetland,Forest
168,Wetland,Cropland,NULL,Non_Wetland,Grassland
169,Wetland,Cropland,NULL,Non_Wetland,Wetland
170,Wetland,Cropland,NULL,Non_Wetland,Bareland
171,Wetland,Cropland,NULL,Non_Wetland,Built-up
172,Wetland,Cropland,NULL,Non_Wetland,Water
173,Wetland,Cropland,NULL,Non_Wetland,Forest
174,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
175,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
176,Wetland,Cropland,Non_Water,Non_Wetland,Forest
177,Wetland,Cropland,Water,Non_Wetland,Grassland
178,Wetland,Cropland,Water,Non_Wetland,Cropland
179,Wetland,Cropland,Water,Non_Wetland,Wetland
180,Wetland,Cropland,Water,Non_Wetland,Water
181,Wetland,Cropland,Water,Non_Wetland,Forest
182,Wetland,Wetland,NULL,Wetland,NULL
183,Wetland,Wetland,NULL,Wetland,Grassland
184,Wetland,Wetland,NULL,Wetland,Wetland
185,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
186,Wetland,Wetland,NULL,Wetland,Water
187,Wetland,Wetland,NULL,Wetland,Forest
188,Wetland,Wetland,Non_Water,Wetland,NULL
189,Wetland,Wetland,Non_Water,Wetland,Grassland
190,Wetland,Wetland,Non_Water,Wetland,Wetland
191,Wetland,Wetland,Non_Water,Wetland,Water
192,Wetland,Wetland,Non_Water,Wetland,Forest
193,Wetland,Wetland,Water,Wetland,NULL
194,Wetland,Wetland,Water,Wetland,Grassland
195,Wetland,Wetland,Water,Wetland,Wetland
196,Wetland,Wetland,Water,Wetland,Water
197,Wetland,Wetland,Water,Wetland,Forest
198,Wetland,Bareland,NULL,Non_Wetland,NULL
199,Wetland,Bareland,NULL,Non_Wetland,Grassland
200,Wetland,Bareland,NULL,Non_Wetland,Wetland
201,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
202,Wetland,Bareland,NULL,Non_Wetland,Bareland
203,Wetland,Bareland,NULL,Non_Wetland,Built-up
204,Wetland,Bareland,NULL,Non_Wetland,Water
205,Wetland,Bareland,NULL,Non_Wetland,Forest
206,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
207,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
208,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
209,Wetland,Bareland,Non_Water,Non_Wetland,Built-up
210,Wetland,Bareland,Non_Water,Non_Wetland,Water
211,Wetland,Bareland,Non_Water,Non_Wetland,Forest
212,Wetland,Bareland,Water,Non_Wetland,Grassland
213,Wetland,Bareland,Water,Non_Wetland,Wetland
214,Wetland,Bareland,Water,Non_Wetland,Water
215,Wetland,Bareland,Water,Non_Wetland,Forest
216,Wetland,Built-up,NULL,Non_Wetland,Grassland
217,Wetland,Built-up,NULL,Non_Wetland,Wetland
218,Wetland,Built-up,NULL,Non_Wetland,Built-up
219,Wetland,Built-up,NULL,Non_Wetland,Forest
220,Wetland,Built-up,Water,Non_Wetland,Water
221,Wetland,Water,NULL,Water,NULL
222,Wetland,Water,NULL,Water,Grassland
223,Wetland,Water,NULL,Water,Wetland
224,Wetland,Water,NULL,Water,Water
225,Wetland,Water,NULL,Water,Forest
226,Wetland,Water,Non_Water,Water,Grassland
227,Wetland,Water,Non_Water,Water,Wetland
228,Wetland,Water,Non_Water,Water,Water
229,Wetland,Water,Non_Water,Water,Forest
230,Wetland,Water,Water,Water,NULL
231,Wetland,Water,Water,Water,Grassland
232,Wetland,Water,Water,Water,Wetland
233,Wetland,Water,Water,Water,Water
234,Wetland,Water,Water,Water,Forest
235,Wetland,Forest,NULL,Non_Wetland,NULL
236,Wetland,Forest,NULL,Non_Wetland,Grassland
237,Wetland,Forest,NULL,Non_Wetland,Cropland
238,Wetland,Forest,NULL,Non_Wetland,Wetland
239,Wetland,Forest,NULL,Non_Wetland,Built-up
240,Wetland,Forest,NULL,Non_Wetland,Water
241,Wetland,Forest,NULL,Non_Wetland,Forest
242,Wetland,Forest,Non_Water,Non_Wetland,NULL
243,Wetland,Forest,Non_Water,Non_Wetland,Grassland
244,Wetland,Forest,Non_Water,Non_Wetland,Wetland
245,Wetland,Forest,Non_Water,Non_Wetland,Water
246,Wetland,Forest,Non_Water,Non_Wetland,Forest
247,Wetland,Forest,Water,Non_Wetland,NULL
248,Wetland,Forest,Water,Non_Wetland,Grassland
249,Wetland,Forest,Water,Non_Wetland,Cropland
250,Wetland,Forest,Water,Non_Wetland,Wetland
251,Wetland,Forest,Water,Non_Wetland,Water
252,Wetland,Forest,Water,Non_Wetland,Forest
253,Bareland,NULL,NULL,Non_Wetland,Water
254,Bareland,NULL,NULL,Non_Wetland,Forest
255,Bareland,NULL,Non_Water,Non_Wetland,Forest
256,Bareland,NULL,Water,Non_Wetland,Water
257,Bareland,NULL,Water,Non_Wetland,Forest
258,Bareland,Grassland,NULL,Non_Wetland,Bareland
259,Bareland,Grassland,NULL,Non_Wetland,Forest
260,Bareland,Cropland,NULL,Non_Wetland,Grassland
261,Bareland,Wetland,NULL,Wetland,Wetland
262,Bareland,Wetland,NULL,Wetland,Water
263,Bareland,Wetland,NULL,Wetland,Forest
264,Bareland,Wetland,Water,Wetland,Bareland
265,Bareland,Wetland,Water,Wetland,Water
266,Bareland,Wetland,Water,Wetland,Forest
267,Bareland,Bareland,NULL,Non_Wetland,Grassland
268,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
269,Bareland,Bareland,NULL,Non_Wetland,Bareland
270,Bareland,Bareland,NULL,Non_Wetland,Forest
271,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
272,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
273,Bareland,Built-up,NULL,Non_Wetland,Grassland
