Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44WNT_M_R,SIBERIA_2024_GLC_FCS30D_2022_44WNT_M_R,SIBERIA_2024_GSW_Yearly_2021_44WNT_M_R,SIBERIA_2024_GWL_FCS30D_2022_44WNT_M_R,SIBERIA_2024_WorldCover_2021_44WNT_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,Non_Wetland,Water
6,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,Non_Water,Non_Wetland,Wetland
9,NULL,NULL,Non_Water,Non_Wetland,Water
10,NULL,NULL,Non_Water,Non_Wetland,Forest
11,NULL,NULL,Water,Non_Wetland,Grassland
12,NULL,NULL,Water,Non_Wetland,Wetland
13,NULL,NULL,Water,Non_Wetland,Bareland
14,NULL,NULL,Water,Non_Wetland,Water
15,NULL,NULL,Water,Non_Wetland,Forest
16,NULL,Shrubland,NULL,Non_Wetland,NULL
17,NULL,Shrubland,NULL,Non_Wetland,Grassland
18,NULL,Shrubland,NULL,Non_Wetland,Wetland
19,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
20,NULL,Shrubland,NULL,Non_Wetland,Bareland
21,NULL,Shrubland,NULL,Non_Wetland,Built-up
22,NULL,Shrubland,NULL,Non_Wetland,Water
23,NULL,Shrubland,NULL,Non_Wetland,Forest
24,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
25,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
26,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
27,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
28,NULL,Shrubland,Non_Water,Non_Wetland,Forest
29,NULL,Shrubland,Water,Non_Wetland,Grassland
30,NULL,Shrubland,Water,Non_Wetland,Wetland
31,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
32,NULL,Shrubland,Water,Non_Wetland,Bareland
33,NULL,Shrubland,Water,Non_Wetland,Water
34,NULL,Shrubland,Water,Non_Wetland,Forest
35,NULL,Grassland,NULL,Non_Wetland,NULL
36,NULL,Grassland,NULL,Non_Wetland,Grassland
37,NULL,Grassland,NULL,Non_Wetland,Wetland
38,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
39,NULL,Grassland,NULL,Non_Wetland,Bareland
40,NULL,Grassland,NULL,Non_Wetland,Water
41,NULL,Grassland,NULL,Non_Wetland,Forest
42,NULL,Grassland,Non_Water,Non_Wetland,Grassland
43,NULL,Grassland,Non_Water,Non_Wetland,Wetland
44,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
45,NULL,Grassland,Non_Water,Non_Wetland,Forest
46,NULL,Grassland,Water,Non_Wetland,Grassland
47,NULL,Grassland,Water,Non_Wetland,Wetland
48,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
49,NULL,Grassland,Water,Non_Wetland,Bareland
50,NULL,Grassland,Water,Non_Wetland,Forest
51,NULL,Cropland,NULL,Non_Wetland,Grassland
52,NULL,Cropland,NULL,Non_Wetland,Wetland
53,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
54,NULL,Cropland,NULL,Non_Wetland,Forest
55,NULL,Wetland,NULL,Wetland,NULL
56,NULL,Wetland,NULL,Wetland,Grassland
57,NULL,Wetland,NULL,Wetland,Wetland
58,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
59,NULL,Wetland,NULL,Wetland,Bareland
60,NULL,Wetland,NULL,Wetland,Built-up
61,NULL,Wetland,NULL,Wetland,Water
62,NULL,Wetland,NULL,Wetland,Forest
63,NULL,Wetland,Non_Water,Wetland,NULL
64,NULL,Wetland,Non_Water,Wetland,Grassland
65,NULL,Wetland,Non_Water,Wetland,Wetland
66,NULL,Wetland,Non_Water,Wetland,Bareland
67,NULL,Wetland,Non_Water,Wetland,Water
68,NULL,Wetland,Non_Water,Wetland,Forest
69,NULL,Wetland,Water,Wetland,Grassland
70,NULL,Wetland,Water,Wetland,Wetland
71,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
72,NULL,Wetland,Water,Wetland,Bareland
73,NULL,Wetland,Water,Wetland,Water
74,NULL,Wetland,Water,Wetland,Forest
75,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
76,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
77,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
78,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
79,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
80,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
81,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
82,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
83,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
84,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
85,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
86,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
87,NULL,Bareland,NULL,Non_Wetland,NULL
88,NULL,Bareland,NULL,Non_Wetland,Grassland
89,NULL,Bareland,NULL,Non_Wetland,Wetland
90,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
91,NULL,Bareland,NULL,Non_Wetland,Bareland
92,NULL,Bareland,NULL,Non_Wetland,Built-up
93,NULL,Bareland,NULL,Non_Wetland,Water
94,NULL,Bareland,NULL,Non_Wetland,Forest
95,NULL,Bareland,Non_Water,Non_Wetland,Grassland
96,NULL,Bareland,Non_Water,Non_Wetland,Wetland
97,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
98,NULL,Bareland,Non_Water,Non_Wetland,Bareland
99,NULL,Bareland,Non_Water,Non_Wetland,Water
100,NULL,Bareland,Non_Water,Non_Wetland,Forest
101,NULL,Bareland,Water,Non_Wetland,Grassland
102,NULL,Bareland,Water,Non_Wetland,Wetland
103,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
104,NULL,Bareland,Water,Non_Wetland,Bareland
105,NULL,Bareland,Water,Non_Wetland,Water
106,NULL,Bareland,Water,Non_Wetland,Forest
107,NULL,Built-up,NULL,Non_Wetland,Grassland
108,NULL,Built-up,NULL,Non_Wetland,Wetland
109,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
110,NULL,Built-up,NULL,Non_Wetland,Bareland
111,NULL,Built-up,NULL,Non_Wetland,Built-up
112,NULL,Built-up,NULL,Non_Wetland,Water
113,NULL,Built-up,NULL,Non_Wetland,Forest
114,NULL,Built-up,Non_Water,Non_Wetland,Grassland
115,NULL,Built-up,Non_Water,Non_Wetland,Wetland
116,NULL,Built-up,Non_Water,Non_Wetland,Bareland
117,NULL,Built-up,Water,Non_Wetland,Grassland
118,NULL,Built-up,Water,Non_Wetland,Wetland
119,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
120,NULL,Built-up,Water,Non_Wetland,Bareland
121,NULL,Water,NULL,Water,Grassland
122,NULL,Water,NULL,Water,Wetland
123,NULL,Water,NULL,Water,Lichens_and_Mosses
124,NULL,Water,NULL,Water,Bareland
125,NULL,Water,NULL,Water,Water
126,NULL,Water,NULL,Water,Forest
127,NULL,Water,Non_Water,Water,Grassland
128,NULL,Water,Non_Water,Water,Wetland
129,NULL,Water,Non_Water,Water,Water
130,NULL,Water,Non_Water,Water,Forest
131,NULL,Water,Water,Water,Grassland
132,NULL,Water,Water,Water,Wetland
133,NULL,Water,Water,Water,Bareland
134,NULL,Water,Water,Water,Water
135,NULL,Water,Water,Water,Forest
136,NULL,Forest,NULL,Non_Wetland,NULL
137,NULL,Forest,NULL,Non_Wetland,Grassland
138,NULL,Forest,NULL,Non_Wetland,Wetland
139,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
140,NULL,Forest,NULL,Non_Wetland,Water
141,NULL,Forest,NULL,Non_Wetland,Forest
142,NULL,Forest,Non_Water,Non_Wetland,NULL
143,NULL,Forest,Non_Water,Non_Wetland,Grassland
144,NULL,Forest,Non_Water,Non_Wetland,Wetland
145,NULL,Forest,Non_Water,Non_Wetland,Water
146,NULL,Forest,Non_Water,Non_Wetland,Forest
147,NULL,Forest,Water,Non_Wetland,Grassland
148,NULL,Forest,Water,Non_Wetland,Wetland
149,NULL,Forest,Water,Non_Wetland,Water
150,NULL,Forest,Water,Non_Wetland,Forest
151,Cropland,NULL,NULL,Non_Wetland,Grassland
152,Cropland,NULL,NULL,Non_Wetland,Wetland
153,Cropland,NULL,NULL,Non_Wetland,Forest
154,Cropland,NULL,Non_Water,Non_Wetland,Wetland
155,Cropland,NULL,Water,Non_Wetland,Wetland
156,Cropland,Shrubland,NULL,Non_Wetland,Grassland
157,Cropland,Shrubland,NULL,Non_Wetland,Wetland
158,Cropland,Shrubland,NULL,Non_Wetland,Forest
159,Cropland,Grassland,NULL,Non_Wetland,Grassland
160,Cropland,Grassland,NULL,Non_Wetland,Wetland
161,Cropland,Grassland,NULL,Non_Wetland,Forest
162,Cropland,Wetland,NULL,Wetland,Grassland
163,Cropland,Wetland,NULL,Wetland,Wetland
164,Cropland,Wetland,NULL,Wetland,Bareland
165,Cropland,Wetland,NULL,Wetland,Forest
166,Cropland,Wetland,Non_Water,Wetland,Grassland
167,Cropland,Wetland,Non_Water,Wetland,Wetland
168,Cropland,Wetland,Non_Water,Wetland,Forest
169,Cropland,Wetland,Water,Wetland,Grassland
170,Cropland,Wetland,Water,Wetland,Wetland
171,Cropland,Wetland,Water,Wetland,Forest
172,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
173,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
174,Cropland,Bareland,NULL,Non_Wetland,Grassland
175,Cropland,Bareland,NULL,Non_Wetland,Wetland
176,Cropland,Bareland,NULL,Non_Wetland,Bareland
177,Cropland,Bareland,NULL,Non_Wetland,Forest
178,Cropland,Bareland,Water,Non_Wetland,Wetland
179,Cropland,Built-up,NULL,Non_Wetland,Grassland
180,Cropland,Built-up,NULL,Non_Wetland,Wetland
181,Cropland,Built-up,NULL,Non_Wetland,Forest
182,Cropland,Water,NULL,Water,Wetland
183,Cropland,Forest,NULL,Non_Wetland,Grassland
184,Cropland,Forest,NULL,Non_Wetland,Wetland
185,Cropland,Forest,NULL,Non_Wetland,Forest
186,Cropland,Forest,Non_Water,Non_Wetland,Grassland
187,Cropland,Forest,Non_Water,Non_Wetland,Wetland
188,Cropland,Forest,Non_Water,Non_Wetland,Forest
189,Cropland,Forest,Water,Non_Wetland,Grassland
190,Cropland,Forest,Water,Non_Wetland,Wetland
191,Cropland,Forest,Water,Non_Wetland,Forest
192,Wetland,NULL,NULL,Non_Wetland,NULL
193,Wetland,NULL,NULL,Non_Wetland,Grassland
194,Wetland,NULL,NULL,Non_Wetland,Wetland
195,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
196,Wetland,NULL,NULL,Non_Wetland,Water
197,Wetland,NULL,NULL,Non_Wetland,Forest
198,Wetland,NULL,Non_Water,Non_Wetland,Grassland
199,Wetland,NULL,Non_Water,Non_Wetland,Wetland
200,Wetland,NULL,Non_Water,Non_Wetland,Water
201,Wetland,NULL,Non_Water,Non_Wetland,Forest
202,Wetland,NULL,Water,Non_Wetland,Grassland
203,Wetland,NULL,Water,Non_Wetland,Wetland
204,Wetland,NULL,Water,Non_Wetland,Water
205,Wetland,NULL,Water,Non_Wetland,Forest
206,Wetland,Shrubland,NULL,Non_Wetland,NULL
207,Wetland,Shrubland,NULL,Non_Wetland,Grassland
208,Wetland,Shrubland,NULL,Non_Wetland,Wetland
209,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
210,Wetland,Shrubland,NULL,Non_Wetland,Bareland
211,Wetland,Shrubland,NULL,Non_Wetland,Water
212,Wetland,Shrubland,NULL,Non_Wetland,Forest
213,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
214,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
215,Wetland,Shrubland,Non_Water,Non_Wetland,Water
216,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
217,Wetland,Shrubland,Water,Non_Wetland,Grassland
218,Wetland,Shrubland,Water,Non_Wetland,Wetland
219,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
220,Wetland,Shrubland,Water,Non_Wetland,Bareland
221,Wetland,Shrubland,Water,Non_Wetland,Water
222,Wetland,Shrubland,Water,Non_Wetland,Forest
223,Wetland,Grassland,NULL,Non_Wetland,NULL
224,Wetland,Grassland,NULL,Non_Wetland,Grassland
225,Wetland,Grassland,NULL,Non_Wetland,Wetland
226,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
227,Wetland,Grassland,NULL,Non_Wetland,Bareland
228,Wetland,Grassland,NULL,Non_Wetland,Water
229,Wetland,Grassland,NULL,Non_Wetland,Forest
230,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
231,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
232,Wetland,Grassland,Non_Water,Non_Wetland,Water
233,Wetland,Grassland,Non_Water,Non_Wetland,Forest
234,Wetland,Grassland,Water,Non_Wetland,Grassland
235,Wetland,Grassland,Water,Non_Wetland,Wetland
236,Wetland,Grassland,Water,Non_Wetland,Bareland
237,Wetland,Grassland,Water,Non_Wetland,Water
238,Wetland,Grassland,Water,Non_Wetland,Forest
239,Wetland,Cropland,NULL,Non_Wetland,Grassland
240,Wetland,Cropland,NULL,Non_Wetland,Wetland
241,Wetland,Cropland,NULL,Non_Wetland,Forest
242,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
243,Wetland,Wetland,NULL,Wetland,NULL
244,Wetland,Wetland,NULL,Wetland,Grassland
245,Wetland,Wetland,NULL,Wetland,Wetland
246,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
247,Wetland,Wetland,NULL,Wetland,Bareland
248,Wetland,Wetland,NULL,Wetland,Water
249,Wetland,Wetland,NULL,Wetland,Forest
250,Wetland,Wetland,Non_Water,Wetland,Grassland
251,Wetland,Wetland,Non_Water,Wetland,Wetland
252,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
253,Wetland,Wetland,Non_Water,Wetland,Bareland
254,Wetland,Wetland,Non_Water,Wetland,Water
255,Wetland,Wetland,Non_Water,Wetland,Forest
256,Wetland,Wetland,Water,Wetland,Grassland
257,Wetland,Wetland,Water,Wetland,Wetland
258,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
259,Wetland,Wetland,Water,Wetland,Bareland
260,Wetland,Wetland,Water,Wetland,Water
261,Wetland,Wetland,Water,Wetland,Forest
262,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
