Value,SIBERIA_2024_ESRI_Annual_LULC_2024_43VDG_M_R,SIBERIA_2024_GLC_FCS30D_2022_43VDG_M_R,SIBERIA_2024_GSW_Yearly_2021_43VDG_M_R,SIBERIA_2024_GWL_FCS30D_2022_43VDG_M_R,SIBERIA_2024_WorldCover_2021_43VDG_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,Non_Wetland,Water
6,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,Non_Water,Non_Wetland,NULL
8,NULL,NULL,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,Non_Water,Non_Wetland,Wetland
10,NULL,NULL,Non_Water,Non_Wetland,Water
11,NULL,NULL,Non_Water,Non_Wetland,Forest
12,NULL,NULL,Water,Non_Wetland,NULL
13,NULL,NULL,Water,Non_Wetland,Grassland
14,NULL,NULL,Water,Non_Wetland,Wetland
15,NULL,NULL,Water,Non_Wetland,Water
16,NULL,NULL,Water,Non_Wetland,Forest
17,NULL,Shrubland,NULL,Non_Wetland,NULL
18,NULL,Shrubland,NULL,Non_Wetland,Grassland
19,NULL,Shrubland,NULL,Non_Wetland,Wetland
20,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
21,NULL,Shrubland,NULL,Non_Wetland,Bareland
22,NULL,Shrubland,NULL,Non_Wetland,Built-up
23,NULL,Shrubland,NULL,Non_Wetland,Water
24,NULL,Shrubland,NULL,Non_Wetland,Forest
25,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
26,NULL,Shrubland,Non_Water,Non_Wetland,Water
27,NULL,Shrubland,Non_Water,Non_Wetland,Forest
28,NULL,Shrubland,Water,Non_Wetland,Grassland
29,NULL,Shrubland,Water,Non_Wetland,Wetland
30,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
31,NULL,Shrubland,Water,Non_Wetland,Water
32,NULL,Shrubland,Water,Non_Wetland,Forest
33,NULL,Grassland,NULL,Non_Wetland,NULL
34,NULL,Grassland,NULL,Non_Wetland,Grassland
35,NULL,Grassland,NULL,Non_Wetland,Wetland
36,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
37,NULL,Grassland,NULL,Non_Wetland,Bareland
38,NULL,Grassland,NULL,Non_Wetland,Built-up
39,NULL,Grassland,NULL,Non_Wetland,Forest
40,NULL,Grassland,Non_Water,Non_Wetland,Grassland
41,NULL,Grassland,Non_Water,Non_Wetland,Forest
42,NULL,Grassland,Water,Non_Wetland,Forest
43,NULL,Cropland,NULL,Non_Wetland,NULL
44,NULL,Cropland,NULL,Non_Wetland,Grassland
45,NULL,Cropland,NULL,Non_Wetland,Wetland
46,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
47,NULL,Cropland,NULL,Non_Wetland,Bareland
48,NULL,Cropland,NULL,Non_Wetland,Built-up
49,NULL,Cropland,NULL,Non_Wetland,Water
50,NULL,Cropland,NULL,Non_Wetland,Forest
51,NULL,Cropland,Non_Water,Non_Wetland,Forest
52,NULL,Wetland,NULL,Wetland,NULL
53,NULL,Wetland,NULL,Wetland,Grassland
54,NULL,Wetland,NULL,Wetland,Wetland
55,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
56,NULL,Wetland,NULL,Wetland,Bareland
57,NULL,Wetland,NULL,Wetland,Built-up
58,NULL,Wetland,NULL,Wetland,Water
59,NULL,Wetland,NULL,Wetland,Forest
60,NULL,Wetland,Non_Water,Wetland,NULL
61,NULL,Wetland,Non_Water,Wetland,Grassland
62,NULL,Wetland,Non_Water,Wetland,Wetland
63,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
64,NULL,Wetland,Non_Water,Wetland,Built-up
65,NULL,Wetland,Non_Water,Wetland,Water
66,NULL,Wetland,Non_Water,Wetland,Forest
67,NULL,Wetland,Water,Wetland,NULL
68,NULL,Wetland,Water,Wetland,Grassland
69,NULL,Wetland,Water,Wetland,Wetland
70,NULL,Wetland,Water,Wetland,Water
71,NULL,Wetland,Water,Wetland,Forest
72,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
73,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
74,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
75,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
76,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
77,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
78,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
79,NULL,Bareland,NULL,Non_Wetland,NULL
80,NULL,Bareland,NULL,Non_Wetland,Grassland
81,NULL,Bareland,NULL,Non_Wetland,Wetland
82,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
83,NULL,Bareland,NULL,Non_Wetland,Bareland
84,NULL,Bareland,NULL,Non_Wetland,Built-up
85,NULL,Bareland,NULL,Non_Wetland,Water
86,NULL,Bareland,NULL,Non_Wetland,Forest
87,NULL,Bareland,Non_Water,Non_Wetland,Grassland
88,NULL,Bareland,Non_Water,Non_Wetland,Wetland
89,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
90,NULL,Bareland,Non_Water,Non_Wetland,Bareland
91,NULL,Bareland,Non_Water,Non_Wetland,Built-up
92,NULL,Bareland,Non_Water,Non_Wetland,Forest
93,NULL,Bareland,Water,Non_Wetland,Grassland
94,NULL,Bareland,Water,Non_Wetland,Wetland
95,NULL,Bareland,Water,Non_Wetland,Bareland
96,NULL,Bareland,Water,Non_Wetland,Built-up
97,NULL,Bareland,Water,Non_Wetland,Water
98,NULL,Bareland,Water,Non_Wetland,Forest
99,NULL,Built-up,NULL,Non_Wetland,NULL
100,NULL,Built-up,NULL,Non_Wetland,Grassland
101,NULL,Built-up,NULL,Non_Wetland,Wetland
102,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
103,NULL,Built-up,NULL,Non_Wetland,Bareland
104,NULL,Built-up,NULL,Non_Wetland,Built-up
105,NULL,Built-up,NULL,Non_Wetland,Water
106,NULL,Built-up,NULL,Non_Wetland,Forest
107,NULL,Built-up,Non_Water,Non_Wetland,Grassland
108,NULL,Built-up,Non_Water,Non_Wetland,Bareland
109,NULL,Built-up,Non_Water,Non_Wetland,Built-up
110,NULL,Built-up,Non_Water,Non_Wetland,Forest
111,NULL,Built-up,Water,Non_Wetland,Bareland
112,NULL,Built-up,Water,Non_Wetland,Built-up
113,NULL,Built-up,Water,Non_Wetland,Forest
114,NULL,Water,NULL,Water,NULL
115,NULL,Water,NULL,Water,Wetland
116,NULL,Water,NULL,Water,Bareland
117,NULL,Water,NULL,Water,Water
118,NULL,Water,NULL,Water,Forest
119,NULL,Water,Non_Water,Water,Wetland
120,NULL,Water,Non_Water,Water,Water
121,NULL,Water,Non_Water,Water,Forest
122,NULL,Water,Water,Water,NULL
123,NULL,Water,Water,Water,Grassland
124,NULL,Water,Water,Water,Wetland
125,NULL,Water,Water,Water,Water
126,NULL,Water,Water,Water,Forest
127,NULL,Forest,NULL,Non_Wetland,NULL
128,NULL,Forest,NULL,Non_Wetland,Grassland
129,NULL,Forest,NULL,Non_Wetland,Wetland
130,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
131,NULL,Forest,NULL,Non_Wetland,Bareland
132,NULL,Forest,NULL,Non_Wetland,Built-up
133,NULL,Forest,NULL,Non_Wetland,Water
134,NULL,Forest,NULL,Non_Wetland,Forest
135,NULL,Forest,Non_Water,Non_Wetland,NULL
136,NULL,Forest,Non_Water,Non_Wetland,Grassland
137,NULL,Forest,Non_Water,Non_Wetland,Wetland
138,NULL,Forest,Non_Water,Non_Wetland,Water
139,NULL,Forest,Non_Water,Non_Wetland,Forest
140,NULL,Forest,Water,Non_Wetland,NULL
141,NULL,Forest,Water,Non_Wetland,Grassland
142,NULL,Forest,Water,Non_Wetland,Wetland
143,NULL,Forest,Water,Non_Wetland,Water
144,NULL,Forest,Water,Non_Wetland,Forest
145,Cropland,NULL,NULL,Non_Wetland,Forest
146,Cropland,Shrubland,NULL,Non_Wetland,Grassland
147,Cropland,Shrubland,NULL,Non_Wetland,Wetland
148,Cropland,Shrubland,NULL,Non_Wetland,Bareland
149,Cropland,Shrubland,NULL,Non_Wetland,Built-up
150,Cropland,Shrubland,NULL,Non_Wetland,Forest
151,Cropland,Grassland,NULL,Non_Wetland,Forest
152,Cropland,Wetland,NULL,Wetland,NULL
153,Cropland,Wetland,NULL,Wetland,Grassland
154,Cropland,Wetland,NULL,Wetland,Wetland
155,Cropland,Wetland,NULL,Wetland,Bareland
156,Cropland,Wetland,NULL,Wetland,Forest
157,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
158,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
159,Cropland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
160,Cropland,Bareland,NULL,Non_Wetland,NULL
161,Cropland,Bareland,NULL,Non_Wetland,Grassland
162,Cropland,Bareland,NULL,Non_Wetland,Wetland
163,Cropland,Bareland,NULL,Non_Wetland,Bareland
164,Cropland,Bareland,NULL,Non_Wetland,Built-up
165,Cropland,Bareland,NULL,Non_Wetland,Forest
166,Cropland,Built-up,NULL,Non_Wetland,Grassland
167,Cropland,Built-up,NULL,Non_Wetland,Built-up
168,Cropland,Built-up,NULL,Non_Wetland,Forest
169,Cropland,Forest,NULL,Non_Wetland,NULL
170,Cropland,Forest,NULL,Non_Wetland,Grassland
171,Cropland,Forest,NULL,Non_Wetland,Wetland
172,Cropland,Forest,NULL,Non_Wetland,Bareland
173,Cropland,Forest,NULL,Non_Wetland,Forest
174,Cropland,Forest,Non_Water,Non_Wetland,Forest
175,Wetland,NULL,NULL,Non_Wetland,NULL
176,Wetland,NULL,NULL,Non_Wetland,Grassland
177,Wetland,NULL,NULL,Non_Wetland,Wetland
178,Wetland,NULL,NULL,Non_Wetland,Bareland
179,Wetland,NULL,NULL,Non_Wetland,Water
180,Wetland,NULL,NULL,Non_Wetland,Forest
181,Wetland,NULL,Non_Water,Non_Wetland,Wetland
182,Wetland,NULL,Non_Water,Non_Wetland,Water
183,Wetland,NULL,Non_Water,Non_Wetland,Forest
184,Wetland,NULL,Water,Non_Wetland,Grassland
185,Wetland,NULL,Water,Non_Wetland,Wetland
186,Wetland,NULL,Water,Non_Wetland,Water
187,Wetland,NULL,Water,Non_Wetland,Forest
188,Wetland,Shrubland,NULL,Non_Wetland,NULL
189,Wetland,Shrubland,NULL,Non_Wetland,Grassland
190,Wetland,Shrubland,NULL,Non_Wetland,Wetland
191,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
192,Wetland,Shrubland,NULL,Non_Wetland,Bareland
193,Wetland,Shrubland,NULL,Non_Wetland,Built-up
194,Wetland,Shrubland,NULL,Non_Wetland,Water
195,Wetland,Shrubland,NULL,Non_Wetland,Forest
196,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
197,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
198,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
199,Wetland,Shrubland,Water,Non_Wetland,Wetland
200,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
201,Wetland,Shrubland,Water,Non_Wetland,Water
202,Wetland,Shrubland,Water,Non_Wetland,Forest
203,Wetland,Grassland,NULL,Non_Wetland,Grassland
204,Wetland,Grassland,NULL,Non_Wetland,Forest
205,Wetland,Grassland,Non_Water,Non_Wetland,Forest
206,Wetland,Cropland,NULL,Non_Wetland,Grassland
207,Wetland,Cropland,NULL,Non_Wetland,Wetland
208,Wetland,Cropland,NULL,Non_Wetland,Bareland
209,Wetland,Cropland,NULL,Non_Wetland,Water
210,Wetland,Cropland,NULL,Non_Wetland,Forest
211,Wetland,Wetland,NULL,Wetland,NULL
212,Wetland,Wetland,NULL,Wetland,Grassland
213,Wetland,Wetland,NULL,Wetland,Wetland
214,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
215,Wetland,Wetland,NULL,Wetland,Bareland
216,Wetland,Wetland,NULL,Wetland,Built-up
217,Wetland,Wetland,NULL,Wetland,Water
218,Wetland,Wetland,NULL,Wetland,Forest
219,Wetland,Wetland,Non_Water,Wetland,NULL
220,Wetland,Wetland,Non_Water,Wetland,Grassland
221,Wetland,Wetland,Non_Water,Wetland,Wetland
222,Wetland,Wetland,Non_Water,Wetland,Water
223,Wetland,Wetland,Non_Water,Wetland,Forest
224,Wetland,Wetland,Water,Wetland,NULL
225,Wetland,Wetland,Water,Wetland,Grassland
226,Wetland,Wetland,Water,Wetland,Wetland
227,Wetland,Wetland,Water,Wetland,Water
228,Wetland,Wetland,Water,Wetland,Forest
229,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
230,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
231,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
232,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
233,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
234,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
235,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
236,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
237,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
238,Wetland,Bareland,NULL,Non_Wetland,NULL
239,Wetland,Bareland,NULL,Non_Wetland,Grassland
240,Wetland,Bareland,NULL,Non_Wetland,Wetland
241,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
242,Wetland,Bareland,NULL,Non_Wetland,Bareland
243,Wetland,Bareland,NULL,Non_Wetland,Built-up
244,Wetland,Bareland,NULL,Non_Wetland,Water
245,Wetland,Bareland,NULL,Non_Wetland,Forest
246,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
247,Wetland,Bareland,Non_Water,Non_Wetland,Water
248,Wetland,Bareland,Non_Water,Non_Wetland,Forest
249,Wetland,Bareland,Water,Non_Wetland,Grassland
250,Wetland,Bareland,Water,Non_Wetland,Wetland
251,Wetland,Bareland,Water,Non_Wetland,Built-up
252,Wetland,Bareland,Water,Non_Wetland,Water
253,Wetland,Bareland,Water,Non_Wetland,Forest
254,Wetland,Built-up,NULL,Non_Wetland,NULL
255,Wetland,Built-up,NULL,Non_Wetland,Grassland
256,Wetland,Built-up,NULL,Non_Wetland,Wetland
257,Wetland,Built-up,NULL,Non_Wetland,Bareland
258,Wetland,Built-up,NULL,Non_Wetland,Built-up
259,Wetland,Built-up,NULL,Non_Wetland,Water
260,Wetland,Built-up,NULL,Non_Wetland,Forest
261,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
262,Wetland,Water,NULL,Water,NULL
263,Wetland,Water,NULL,Water,Grassland
