Value,SIBERIA_2024_ESA_CALU_2024_43WDP_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_43WDP_M_R,SIBERIA_2024_GLC_FCS30D_2022_43WDP_M_R,SIBERIA_2024_GSW_Yearly_2021_43WDP_M_R,SIBERIA_2024_GWL_FCS30D_2022_43WDP_M_R,SIBERIA_2024_WorldCover_2021_43WDP_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
2,NULL,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
3,NULL,NULL,NULL,NULL,Non_Wetland,Forest
4,NULL,NULL,NULL,Water,Non_Wetland,Forest
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
12,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
13,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
16,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
17,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
18,NULL,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
19,NULL,NULL,Shrubland,Water,Non_Wetland,Water
20,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
21,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
22,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
23,NULL,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
24,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
25,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
26,NULL,NULL,Grassland,NULL,Non_Wetland,Water
27,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
28,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
29,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
30,NULL,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
31,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
33,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
34,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
35,NULL,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
36,NULL,NULL,Grassland,Water,Non_Wetland,Water
37,NULL,NULL,Grassland,Water,Non_Wetland,Forest
38,NULL,NULL,Wetland,NULL,Wetland,Grassland
39,NULL,NULL,Wetland,NULL,Wetland,Wetland
40,NULL,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
41,NULL,NULL,Wetland,NULL,Wetland,Bareland
42,NULL,NULL,Wetland,NULL,Wetland,Built-up
43,NULL,NULL,Wetland,NULL,Wetland,Water
44,NULL,NULL,Wetland,NULL,Wetland,Forest
45,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
46,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
47,NULL,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
48,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
49,NULL,NULL,Wetland,Non_Water,Wetland,Water
50,NULL,NULL,Wetland,Non_Water,Wetland,Forest
51,NULL,NULL,Wetland,Water,Wetland,Grassland
52,NULL,NULL,Wetland,Water,Wetland,Wetland
53,NULL,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
54,NULL,NULL,Wetland,Water,Wetland,Bareland
55,NULL,NULL,Wetland,Water,Wetland,Water
56,NULL,NULL,Wetland,Water,Wetland,Forest
57,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
58,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
59,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
60,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
61,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
62,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
63,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
64,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
65,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
66,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
67,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
68,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
69,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
70,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
71,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
72,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
73,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
74,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
75,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
76,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
77,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
78,NULL,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
79,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
80,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
81,NULL,NULL,Bareland,NULL,Non_Wetland,Water
82,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
83,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
84,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
85,NULL,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
86,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
87,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
88,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
89,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
90,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
91,NULL,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
92,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
93,NULL,NULL,Bareland,Water,Non_Wetland,Water
94,NULL,NULL,Bareland,Water,Non_Wetland,Forest
95,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
96,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
97,NULL,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
98,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
99,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
100,NULL,NULL,Built-up,NULL,Non_Wetland,Water
101,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
102,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
103,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
104,NULL,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
105,NULL,NULL,Built-up,Non_Water,Non_Wetland,Built-up
106,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
