Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44WPB_M_R,SIBERIA_2024_GLC_FCS30D_2022_44WPB_M_R,SIBERIA_2024_GSW_Yearly_2021_44WPB_M_R,SIBERIA_2024_GWL_FCS30D_2022_44WPB_M_R,SIBERIA_2024_WorldCover_2021_44WPB_M_R
0,NULL,NULL,NULL,Non_Wetland,Grassland
1,NULL,NULL,NULL,Non_Wetland,Wetland
2,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
3,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,Non_Wetland,Water
5,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,Non_Water,Non_Wetland,Wetland
8,NULL,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
9,NULL,NULL,Non_Water,Non_Wetland,Water
10,NULL,NULL,Non_Water,Non_Wetland,Forest
11,NULL,NULL,Water,Non_Wetland,Grassland
12,NULL,NULL,Water,Non_Wetland,Wetland
13,NULL,NULL,Water,Non_Wetland,Lichens_and_Mosses
14,NULL,NULL,Water,Non_Wetland,Bareland
15,NULL,NULL,Water,Non_Wetland,Water
16,NULL,NULL,Water,Non_Wetland,Forest
17,NULL,Shrubland,NULL,Non_Wetland,Grassland
18,NULL,Shrubland,NULL,Non_Wetland,Wetland
19,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
20,NULL,Shrubland,NULL,Non_Wetland,Bareland
21,NULL,Shrubland,NULL,Non_Wetland,Water
22,NULL,Shrubland,NULL,Non_Wetland,Forest
23,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
24,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
25,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
26,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
27,NULL,Shrubland,Non_Water,Non_Wetland,Water
28,NULL,Shrubland,Non_Water,Non_Wetland,Forest
29,NULL,Shrubland,Water,Non_Wetland,Grassland
30,NULL,Shrubland,Water,Non_Wetland,Wetland
31,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
32,NULL,Shrubland,Water,Non_Wetland,Bareland
33,NULL,Shrubland,Water,Non_Wetland,Water
34,NULL,Shrubland,Water,Non_Wetland,Forest
35,NULL,Grassland,NULL,Non_Wetland,Grassland
36,NULL,Grassland,NULL,Non_Wetland,Wetland
37,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
38,NULL,Grassland,NULL,Non_Wetland,Bareland
39,NULL,Grassland,NULL,Non_Wetland,Built-up
40,NULL,Grassland,NULL,Non_Wetland,Water
41,NULL,Grassland,NULL,Non_Wetland,Forest
42,NULL,Grassland,Non_Water,Non_Wetland,Grassland
43,NULL,Grassland,Non_Water,Non_Wetland,Wetland
44,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
45,NULL,Grassland,Non_Water,Non_Wetland,Bareland
46,NULL,Grassland,Non_Water,Non_Wetland,Water
47,NULL,Grassland,Non_Water,Non_Wetland,Forest
48,NULL,Grassland,Water,Non_Wetland,Grassland
49,NULL,Grassland,Water,Non_Wetland,Wetland
50,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
51,NULL,Grassland,Water,Non_Wetland,Bareland
52,NULL,Grassland,Water,Non_Wetland,Water
53,NULL,Grassland,Water,Non_Wetland,Forest
54,NULL,Wetland,NULL,Wetland,Grassland
55,NULL,Wetland,NULL,Wetland,Wetland
56,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
57,NULL,Wetland,NULL,Wetland,Bareland
58,NULL,Wetland,NULL,Wetland,Water
59,NULL,Wetland,NULL,Wetland,Forest
60,NULL,Wetland,Non_Water,Wetland,Grassland
61,NULL,Wetland,Non_Water,Wetland,Wetland
62,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
63,NULL,Wetland,Non_Water,Wetland,Bareland
64,NULL,Wetland,Non_Water,Wetland,Water
65,NULL,Wetland,Non_Water,Wetland,Forest
66,NULL,Wetland,Water,Wetland,Grassland
67,NULL,Wetland,Water,Wetland,Wetland
68,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
69,NULL,Wetland,Water,Wetland,Bareland
70,NULL,Wetland,Water,Wetland,Water
71,NULL,Wetland,Water,Wetland,Forest
72,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
73,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
74,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
75,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
76,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
77,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
78,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
79,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
80,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
81,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
82,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
83,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
84,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
85,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
86,NULL,Bareland,NULL,Non_Wetland,Grassland
87,NULL,Bareland,NULL,Non_Wetland,Wetland
88,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
89,NULL,Bareland,NULL,Non_Wetland,Bareland
90,NULL,Bareland,NULL,Non_Wetland,Built-up
91,NULL,Bareland,NULL,Non_Wetland,Water
92,NULL,Bareland,NULL,Non_Wetland,Forest
93,NULL,Bareland,Non_Water,Non_Wetland,Grassland
94,NULL,Bareland,Non_Water,Non_Wetland,Wetland
95,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
96,NULL,Bareland,Non_Water,Non_Wetland,Bareland
97,NULL,Bareland,Non_Water,Non_Wetland,Water
98,NULL,Bareland,Non_Water,Non_Wetland,Forest
99,NULL,Bareland,Water,Non_Wetland,Grassland
100,NULL,Bareland,Water,Non_Wetland,Wetland
101,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
102,NULL,Bareland,Water,Non_Wetland,Bareland
103,NULL,Bareland,Water,Non_Wetland,Water
104,NULL,Bareland,Water,Non_Wetland,Forest
105,NULL,Built-up,NULL,Non_Wetland,Grassland
106,NULL,Built-up,NULL,Non_Wetland,Wetland
107,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
108,NULL,Built-up,NULL,Non_Wetland,Bareland
109,NULL,Built-up,NULL,Non_Wetland,Built-up
110,NULL,Built-up,NULL,Non_Wetland,Water
111,NULL,Built-up,NULL,Non_Wetland,Forest
112,NULL,Built-up,Non_Water,Non_Wetland,Grassland
113,NULL,Built-up,Non_Water,Non_Wetland,Wetland
114,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
115,NULL,Built-up,Non_Water,Non_Wetland,Bareland
116,NULL,Built-up,Non_Water,Non_Wetland,Water
117,NULL,Built-up,Non_Water,Non_Wetland,Forest
118,NULL,Built-up,Water,Non_Wetland,Grassland
119,NULL,Built-up,Water,Non_Wetland,Wetland
120,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
121,NULL,Built-up,Water,Non_Wetland,Bareland
122,NULL,Built-up,Water,Non_Wetland,Water
123,NULL,Built-up,Water,Non_Wetland,Forest
124,NULL,Water,NULL,Water,Grassland
125,NULL,Water,NULL,Water,Wetland
126,NULL,Water,NULL,Water,Lichens_and_Mosses
127,NULL,Water,NULL,Water,Bareland
128,NULL,Water,NULL,Water,Water
129,NULL,Water,NULL,Water,Forest
130,NULL,Water,Non_Water,Water,Grassland
131,NULL,Water,Non_Water,Water,Wetland
132,NULL,Water,Non_Water,Water,Lichens_and_Mosses
133,NULL,Water,Non_Water,Water,Bareland
134,NULL,Water,Non_Water,Water,Water
135,NULL,Water,Non_Water,Water,Forest
136,NULL,Water,Water,Water,Grassland
137,NULL,Water,Water,Water,Wetland
138,NULL,Water,Water,Water,Lichens_and_Mosses
139,NULL,Water,Water,Water,Bareland
140,NULL,Water,Water,Water,Water
141,NULL,Water,Water,Water,Forest
142,NULL,Forest,NULL,Non_Wetland,Grassland
143,NULL,Forest,NULL,Non_Wetland,Wetland
144,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
145,NULL,Forest,NULL,Non_Wetland,Bareland
146,NULL,Forest,NULL,Non_Wetland,Water
147,NULL,Forest,NULL,Non_Wetland,Forest
148,NULL,Forest,Non_Water,Non_Wetland,Grassland
149,NULL,Forest,Non_Water,Non_Wetland,Wetland
150,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
151,NULL,Forest,Non_Water,Non_Wetland,Bareland
152,NULL,Forest,Non_Water,Non_Wetland,Water
153,NULL,Forest,Non_Water,Non_Wetland,Forest
154,NULL,Forest,Water,Non_Wetland,Grassland
155,NULL,Forest,Water,Non_Wetland,Wetland
156,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
157,NULL,Forest,Water,Non_Wetland,Bareland
158,NULL,Forest,Water,Non_Wetland,Water
159,NULL,Forest,Water,Non_Wetland,Forest
160,Wetland,NULL,NULL,Non_Wetland,Grassland
161,Wetland,NULL,NULL,Non_Wetland,Wetland
162,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
163,Wetland,NULL,NULL,Non_Wetland,Bareland
164,Wetland,NULL,NULL,Non_Wetland,Water
165,Wetland,NULL,NULL,Non_Wetland,Forest
166,Wetland,NULL,Non_Water,Non_Wetland,Grassland
167,Wetland,NULL,Non_Water,Non_Wetland,Wetland
168,Wetland,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
169,Wetland,NULL,Non_Water,Non_Wetland,Bareland
